p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.14659145,.26078191,.45060161,.68849111,.96804661,.74100053,.52031624,.31243652,.17135,.071653463,.035599384,.014741331,.0048493985,.0019887809,.00073521188,.00013989178,.000035831701,.000012663696,0,0,0,0,0,0
.8471728,.83159757,.55452615,.31424373,.17796007,.072759688,.035320174,.011152043,.0037025248,.0011705693,.00043603138,.000098006152,.000023218152,0,0,0,0,0,0,0,0,0,0,0
.082333639,.14758293,.24740396,.39197639,.57578081,.81393814,.92610621,.6967876,.45694536,.30235401,.16691208,.084761575,.042074632,.018822566,.0075762053,.0036800192,.0012092236,.00048203504,.00011367174,.000041776413,.000013397997,0,0,0
.66021007,.45405716,.29468685,.18765584,.10288715,.048163239,.025160061,.011797794,.0047619436,.0023081671,.00070382585,.00026386426,.000090991984,.000029153689,.000010162252,0,0,0,0,0,0,0,0,0
.52126575,.7483176,.9826988,.71890032,.49633041,.28406993,.17131157,.086936511,.040166572,.016970176,.0075095994,.0027825586,.00091552199,.00031358597,.000096955977,.000018681225,0,0,0,0,0,0,0,0
.57223809,.90269649,.74831057,.442505,.21408162,.087236896,.029203735,.0092474539,.0030363707,.00065950037,.00016297644,.000033659129,0,0,0,0,0,0,0,0,0,0,0,0
.13108647,.044640016,.01222815,.003025424,.00070624886,.00011948917,.000027592847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.83129543,.53275251,.32599592,.1546284,.073087104,.029282361,.0099290153,.0028574788,.0010433097,.0002227978,.000061671497,.000014181015,0,0,0,0,0,0,0,0,0,0,0,0
.96274972,.74474174,.52453369,.35136616,.2192532,.1434007,.073324829,.037926763,.019759053,.0087291459,.0036049867,.0017151397,.000553825,.00021250006,.00007732441,.000029182715,.0000113359,0,0,0,0,0,0,0
.23120169,.12421583,.05976408,.028945738,.0107417,.0032921408,.0015913864,.0005459286,.00014541666,.000042601492,.000013413478,0,0,0,0,0,0,0,0,0,0,0,0,0
.53069556,.30184215,.15081184,.059019789,.024190225,.0081354203,.002783265,.0007946387,.00019030756,.000037880549,.000012963633,0,0,0,0,0,0,0,0,0,0,0,0,0
.075508595,.10748566,.15314814,.21655181,.28061175,.39080194,.5010336,.64701343,.76851338,.94064415,.89849627,.74020624,.60504186,.46600488,.33941829,.23806782,.18804146,.1126584,.078836322,.042899836,.026420511,.01427775,.0094811125,.004697667
.79830343,.41914257,.18999003,.04916507,.016997138,.0036288882,.00054337486,.00010782064,.000014022854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.28433466,.4790391,.74038696,.98823047,.69258517,.45461622,.25103134,.12959857,.056843188,.027534891,.010986373,.0035890443,.0010366315,.00027394699,.00010332597,.000026254607,0,0,0,0,0,0,0,0
.59189761,.3525705,.19235669,.1005774,.040889643,.015488984,.0057061608,.001719562,.00046882575,.0001430496,.00003787515,0,0,0,0,0,0,0,0,0,0,0,0,0
.47699478,.2458477,.10818531,.040607095,.015674006,.0044357399,.0011219917,.00039119023,.000060572278,.00001492878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.21203628,.096753158,.041451324,.015477246,.0060984176,.0016236267,.00049792958,.00012334896,.000026446676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.65124595,.92721045,.75591207,.48988378,.27361739,.14166091,.075558424,.031206956,.0099047329,.0035582313,.00091879873,.00034002939,.000077590841,.000025271753,0,0,0,0,0,0,0,0,0,0
.47509858,.73872799,.96672165,.68084836,.42788064,.24575357,.12247363,.056501921,.021193203,.010655886,.0032221072,.00079330662,.00023192949,.000064772845,.000015699214,0,0,0,0,0,0,0,0,0
.025569197,.0045872554,.00071359955,.000078231358,.000010004857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.78128123,.9820081,.79911071,.62145531,.43484253,.28945637,.18023121,.11318646,.064648435,.033420246,.017800013,.0097440043,.0040829009,.0016946264,.00065512158,.00030337504,.00009872493,.000037641777,.000017725921,0,0,0,0,0
.24964555,.10827819,.043705434,.014373153,.0041686911,.0011006637,.00024671716,.000053760916,.000014720453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.018758908,.07593435,.25401902,.62881124,.93944442,.44211039,.145253,.034210499,.007403065,.0010486915,.00010741915,.000012918953,0,0,0,0,0,0,0,0,0,0,0,0
.39760631,.67084247,.97449613,.6966964,.40963444,.21055828,.10133725,.039958201,.014393831,.0038608001,.0013089069,.00033853619,.00006133609,.000014660402,0,0,0,0,0,0,0,0,0,0
.77377397,.43760508,.21602292,.086211361,.029920241,.0083380872,.0017196606,.00049592153,.00010315208,.000016470392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.15930383,.28298783,.45392188,.64536655,.96407175,.83259803,.54911107,.35107088,.2002389,.11164611,.044969559,.019124247,.0075623887,.0032563347,.0010382708,.00039256713,.000085088272,.000042983196,0,0,0,0,0,0
.67865545,.4271971,.24110778,.11427938,.055792551,.01933438,.0072188093,.0027006739,.00067974383,.00022747976,.000065718465,.000012070816,0,0,0,0,0,0,0,0,0,0,0,0
.52996188,.82511121,.85432953,.54412949,.31349126,.14179556,.063968331,.024427656,.0080181863,.0023055263,.0006566323,.00014342615,.000043740991,.000010150656,0,0,0,0,0,0,0,0,0,0
.35361961,.61740524,.89277989,.7738151,.46617642,.24989021,.11813375,.042740628,.018228462,.0047204252,.0011754428,.0003830326,.000082639664,.000020405887,0,0,0,0,0,0,0,0,0,0
.47635579,.22303785,.090043925,.027828274,.0089964475,.0018593877,.00041173212,.000072442184,.000018351891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.051460981,.17588142,.43895304,.92358774,.57933784,.23478422,.084491454,.013731949,.0027089308,.00033031835,.000038139391,0,0,0,0,0,0,0,0,0,0,0,0,0
.81078064,.52671868,.29784206,.16084106,.067411296,.026076445,.0097051049,.0032943478,.00087613706,.00027016108,.00005220895,.000015535854,0,0,0,0,0,0,0,0,0,0,0,0
.71440023,.41107196,.20449378,.092615575,.032209326,.010105838,.0032923061,.0007811524,.0001543203,.000035411198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.015026618,.051516771,.12863412,.31446841,.63418818,.98480862,.62140977,.30871728,.13106601,.042334806,.01385617,.0032523498,.00055460655,.00012331342,.000022150631,0,0,0,0,0,0,0,0,0
.51636261,.84829247,.75569481,.46856385,.24632561,.096566819,.033030294,.010634347,.0027090826,.00069232628,.00011536695,.000029280187,0,0,0,0,0,0,0,0,0,0,0,0
.85025483,.94092298,.73208475,.53520346,.38838732,.24918368,.16075797,.09309534,.059534829,.026536109,.013579517,.0064149867,.0027132849,.0011187393,.00044782757,.00020406373,.000077991906,.000033963963,.000010266689,0,0,0,0,0
.86529696,.50441879,.2604762,.099939242,.040678039,.011450997,.0031085969,.00072498259,.00017575476,.000027947664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32605976,.521474,.76271892,.92446047,.66222876,.4039146,.24763787,.10889473,.05496759,.023233896,.008558779,.0025972526,.0008384973,.00034167879,.000072639923,.000031818981,0,0,0,0,0,0,0,0
.84916985,.84907776,.5492478,.31783238,.17447311,.078406706,.030616313,.012456468,.0045133405,.0012717082,.00041329482,.000087758999,.000032586639,0,0,0,0,0,0,0,0,0,0,0
.083126396,.034333076,.011834607,.0044273846,.001399647,.00037898085,.000094184164,.000032815766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.30569124,.65122998,.91325706,.48818865,.21802804,.068042822,.014941523,.0036937399,.00047993349,.00009324136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.52811497,.74359572,.99362487,.74512029,.50785995,.33055195,.20592541,.10051745,.049894534,.025322981,.011712822,.0043309908,.0012561399,.0006876858,.00018852753,.000054027521,.000019946483,0,0,0,0,0,0,0
.42853823,.67270863,.97445869,.70927167,.43952951,.25473496,.11303525,.051636551,.021116508,.0079060365,.002488706,.00068125065,.00019334305,.000045139361,0,0,0,0,0,0,0,0,0,0
.014658265,.042443197,.10838511,.22409326,.45719096,.76162177,.85180324,.54949468,.2847614,.12275314,.043479875,.011802619,.004127339,.00098917331,.00024319615,.000042807187,.000011723884,0,0,0,0,0,0,0
.85573512,.79175186,.46996421,.23262973,.10058753,.033666462,.011797067,.0040199631,.0010162828,.00018481791,.000044477649,0,0,0,0,0,0,0,0,0,0,0,0,0
.3644225,.19710267,.089040406,.040176742,.014734002,.0041846721,.0016125382,.0004555725,.00011856855,.000032855518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.80306405,.5359304,.29737842,.14967974,.06676922,.028335148,.0091080191,.0031247649,.00072395708,.00025177677,.000065082866,.000015859478,0,0,0,0,0,0,0,0,0,0,0,0
.10292856,.039482597,.014334922,.0045577898,.0011306357,.00032315287,.000061086394,.000012060408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.37538755,.58490527,.8274408,.87992704,.61119336,.39995837,.25320077,.14167671,.068441831,.027796175,.011657961,.0047439323,.0013710364,.00051068648,.00019483951,.000050193761,.000013426899,0,0,0,0,0,0,0
.6250605,.35245046,.17553493,.072998933,.025770951,.0083961869,.0022095647,.00068037381,.00016563392,.000040175953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.87836725,.54893392,.302295,.13197398,.04903926,.017973015,.0050448882,.0013937003,.00034244443,.000097757526,.000020248981,0,0,0,0,0,0,0,0,0,0,0,0,0
.35951743,.48203808,.65768301,.83311713,.97541267,.76781231,.59651411,.43442619,.29930416,.19081862,.11448851,.078330494,.043675639,.020541891,.012312701,.005989546,.0025891215,.0011862495,.00054948532,.0002211184,.000095485258,.000035925761,.000014011462,0
.071384057,.016996782,.003615292,.00055226119,.000083296036,.000014549953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.42333466,.70713472,.95559418,.64616656,.36399043,.18857509,.071658716,.027015809,.010135763,.0035001296,.0006968322,.00025327635,.000049106013,0,0,0,0,0,0,0,0,0,0,0
.10945762,.038457222,.011412789,.0031531015,.00058932137,.00014314684,.000029160054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.42186198,.17299941,.053400282,.012180761,.0028109115,.00046740138,.000055847548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.17811625,.28808501,.44090021,.64881748,.87563872,.85966402,.67155564,.43694311,.26390684,.17142792,.088628933,.044232756,.021079021,.0087474464,.0032871747,.0016292855,.00043747309,.0001615076,.000057389916,.000017409546,0,0,0,0
.27619338,.11179709,.039423443,.010298934,.0022214144,.00061654986,.000086360596,.000019983358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.0011579272,.0064676101,.025006495,.11318292,.31042549,.71155542,.85081822,.35226738,.14960732,.030812662,.0069846925,.0011512692,.00013339754,.000012689783,0,0,0,0,0,0,0,0,0,0
.55774158,.93501019,.6811493,.33833691,.1710134,.057316683,.015896231,.0040223682,.00099344784,.00020184297,.000027253293,0,0,0,0,0,0,0,0,0,0,0,0,0
.71243048,.99688882,.71176285,.46197557,.23096512,.11794838,.065354556,.022168471,.0091318171,.0023272987,.00073358609,.00021952919,.000071544586,.000021517255,0,0,0,0,0,0,0,0,0,0
.61370409,.33198437,.1595799,.060615387,.018528454,.0045781215,.0014717475,.00037863798,.000067076289,.000011738133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.029752014,.01554288,.0076092752,.0036413181,.0016318425,.00068181701,.00030266857,.00012363767,.000048675443,.000018710005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.84852844,.87174296,.60503948,.3695575,.19654022,.097466379,.046586674,.020594815,.0068007945,.0022543676,.00087434473,.00022662024,.000083582046,.000019310446,0,0,0,0,0,0,0,0,0,0
.99248409,.73195642,.48463526,.29442811,.15656193,.086361811,.041800555,.016254006,.006581082,.0023768682,.00085959316,.00030212646,.000086108012,.000028555773,0,0,0,0,0,0,0,0,0,0
.8031705,.42770207,.1750212,.059125245,.013466712,.0032539035,.0006289297,.000078524565,.000011191021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.58378851,.28033784,.11178984,.036072802,.0091019468,.0020103978,.00042335285,.000067913126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.69666034,.41577512,.2023301,.083987378,.035691191,.011412869,.0032357359,.00094410783,.00019805346,.000055560518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.92510569,.60954434,.33836451,.18147208,.075094581,.029488675,.0099307764,.0027438856,.00089383585,.00024332511,.000046401245,.000011935022,0,0,0,0,0,0,0,0,0,0,0,0
.66137338,.84945786,.9380722,.74085844,.5430128,.39410242,.2656486,.16226467,.099835359,.062798634,.032803748,.01646363,.0080011059,.0036198685,.0016738719,.0007149204,.00030238452,.00011748495,.000043001339,.000016871265,0,0,0,0
.20168746,.32476562,.49519226,.7086615,.93820399,.8321678,.57779735,.40264013,.24629274,.15422983,.072428599,.039170418,.015294679,.0058962861,.0027476873,.00094760122,.0003779789,.00010833795,.00004449777,.000013302115,0,0,0,0
.1940403,.3358421,.54293281,.80993611,.91352898,.6334098,.41499108,.23689985,.12629247,.061775718,.023388544,.0096431915,.0029692608,.00096046214,.00036161259,.00010848401,.000026260479,0,0,0,0,0,0,0
.86853892,.55445671,.31322825,.15814087,.073188193,.024466237,.0086505525,.0030586098,.00089012604,.00015501121,.000037765185,0,0,0,0,0,0,0,0,0,0,0,0,0
.039981689,.065553136,.10652625,.16911769,.24807233,.37743413,.50418943,.66436756,.86453414,.94842571,.71890265,.53441578,.37079912,.24055268,.16421705,.10065473,.051644545,.029235823,.014153248,.0090005277,.0030610797,.001461808,.00048977841,.00020594904
.18009992,.31644645,.51656705,.75568545,.96742696,.68660998,.43510911,.2506775,.14643283,.063309006,.025666716,.0090482617,.0034601649,.0011461808,.00038361861,.00013556586,.000028628305,0,0,0,0,0,0,0
.46805325,.23371451,.085456833,.031537078,.0085311811,.00254317,.00047554015,.00010692927,.000016864202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.65036768,.88496083,.85498965,.61245984,.41193146,.25191829,.15283763,.084032014,.038402852,.018931169,.0074500572,.0029654584,.00096049556,.00040848355,.00011365236,.000045658937,.00001375999,0,0,0,0,0,0,0
.99211866,.61051804,.3226231,.14247973,.045933548,.014827923,.0036176613,.00091295794,.0002050402,.000031811887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.74013519,.47972834,.27575502,.14237507,.067086451,.024653504,.0091863945,.0042777997,.0010786925,.00037116985,.000087064436,.000028722825,0,0,0,0,0,0,0,0,0,0,0,0
.065435946,.12580763,.23526442,.38819608,.62883043,.90929234,.82199585,.5577814,.34611657,.19156624,.09181165,.038575526,.018629974,.0056995149,.0021133602,.00058009737,.00018036968,.0000562143,.000016612854,0,0,0,0,0
.58414686,.8939597,.8392812,.53603518,.32564718,.14093274,.075899065,.025702601,.0092902398,.0034417226,.0010989822,.00032633074,.000075693853,.000014719766,0,0,0,0,0,0,0,0,0,0
.34207496,.53601575,.78715986,.90181458,.64154482,.37977421,.24043772,.11911049,.054046497,.023784375,.0082448022,.0035560143,.00094919925,.00032868577,.000077151431,.000023562339,0,0,0,0,0,0,0,0
.038810659,.10190531,.25327459,.52393216,.94187838,.68957806,.37860107,.13828079,.056965414,.014536343,.0039919373,.00089531718,.0001484141,.00002741971,0,0,0,0,0,0,0,0,0,0
.80319577,.92731678,.66494894,.41868839,.2693148,.13467596,.070167936,.030775838,.016441708,.0058404813,.0021681192,.00054538337,.00022287524,.000088462133,.000011498973,0,0,0,0,0,0,0,0,0
.74017417,.95595831,.66608661,.40927777,.22754613,.10947239,.048652697,.019233188,.0066621001,.002260603,.00064842304,.00020160289,.000050035203,0,0,0,0,0,0,0,0,0,0,0
.35692367,.60265768,.91424984,.75450319,.49808785,.25832179,.11626256,.053659353,.021486701,.0053649154,.0017260358,.00048263816,.00014209468,.000034113378,0,0,0,0,0,0,0,0,0,0
.037887841,.098506503,.2368235,.43556941,.72008806,.90152264,.54464364,.2587955,.11120102,.044188939,.015361528,.0042171879,.0011367927,.00022953826,.000043235297,0,0,0,0,0,0,0,0,0
.97476619,.76220042,.51900911,.31235951,.18155979,.084909953,.045315508,.020779865,.0076564881,.0026020168,.0006996505,.00030810444,.000083224171,.000024100113,0,0,0,0,0,0,0,0,0,0
.78920066,.45094174,.20633967,.077474535,.02084263,.0058852639,.0013978768,.00030003593,.000080712001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.59223312,.30236873,.13515516,.054605957,.015906669,.0042696428,.0011184812,.0002522516,.000053605509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.80090386,.89054662,.59037489,.3221322,.16304377,.080606304,.033262726,.011568721,.0031448707,.00091701647,.00027135713,.000059945272,.000013446203,0,0,0,0,0,0,0,0,0,0,0
.0075494796,.0015540101,.00025059149,.000037404341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.040168695,.010720995,.00226,.00052652921,.000091546186,.000015797857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.088581577,.18834548,.35230923,.60852301,.91906339,.72132248,.45499581,.22958684,.10926371,.046819605,.015604247,.0052163401,.001328668,.00046832452,.000076425313,.000017394819,0,0,0,0,0,0,0,0
.93296212,.6300981,.29017252,.10765818,.029429527,.006554726,.0019563357,.00024751094,.000046055331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.72504914,.93984187,.58770096,.31855956,.16640976,.066508777,.0207664,.0073851366,.0017003333,.00036424521,.000097117321,.000024986171,0,0,0,0,0,0,0,0,0,0,0,0
.79716533,.82111108,.50308734,.256145,.10457759,.037592091,.010282977,.0025283161,.00056980655,.00011152952,.000023655421,0,0,0,0,0,0,0,0,0,0,0,0,0
.5745374,.82916945,.89739084,.62791741,.41259891,.23067527,.11767291,.055968892,.025747817,.011156758,.0041281604,.0013300866,.00045933761,.0001331798,.000050872295,.000011186224,0,0,0,0,0,0,0,0
.0041371528,.0086000077,.017254023,.032215092,.064914726,.10796031,.18137878,.32991701,.48347065,.67251968,.88384986,.85389459,.60334182,.43694553,.25339261,.15153681,.07476344,.0361326,.019625468,.0079591339,.0027840442,.0012523043,.00039077198,.00014578334
.56793261,.88870347,.74211627,.44147718,.24292807,.10192021,.03871398,.012082119,.0028734736,.00077377318,.00018889603,.000037441161,0,0,0,0,0,0,0,0,0,0,0,0
.21617433,.37813395,.61013615,.87909383,.85272688,.58268917,.35430938,.19795015,.090200558,.035974909,.015730301,.0055965893,.0017101313,.00067628239,.00021223718,.000055546621,.000016256578,0,0,0,0,0,0,0
.87453759,.49191287,.22414261,.084343977,.025575157,.0072700628,.0017909606,.00018019132,.000047333822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.68025005,.35365224,.15216826,.051127013,.014245165,.0038906725,.00067585561,.00017338993,.000017123495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.046258084,.080529012,.13569418,.22179033,.35679257,.51243949,.71113461,.90515655,.82077593,.63812435,.44490981,.28099754,.16363242,.088549897,.051268686,.024261368,.010378168,.0052657104,.0019310805,.00079149334,.00024739013,.00013120979,.000036102723,.000013330456
.57954341,.81313705,.91468972,.65748471,.42639604,.26338971,.14082167,.075259149,.033444159,.014948385,.0057371059,.0023252738,.0006117255,.00028921961,.00009443835,.000019836913,0,0,0,0,0,0,0,0
.76042724,.4448714,.20874384,.084399052,.028766885,.0069712689,.0023307926,.00050751161,.00011900543,.000023102777,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.13299401,.27077955,.49992606,.75629878,.88407755,.56637007,.31266931,.15854371,.06971202,.027538776,.0086332625,.0026414436,.00073535537,.00017074228,.000029642117,0,0,0,0,0,0,0,0,0
.98031133,.68533295,.442222,.2584309,.13326566,.056698583,.026716972,.0090260087,.0035525488,.0011976718,.00032687496,.000079822064,.000030672247,0,0,0,0,0,0,0,0,0,0,0
.24769886,.43424562,.6780414,.99155688,.69039541,.40851504,.23961207,.11239301,.043896385,.019311734,.0061974335,.0016411049,.00051332643,.00016722274,.000034493627,0,0,0,0,0,0,0,0,0
.012208698,.028228536,.059018653,.11876035,.23148218,.35723466,.58130008,.86648184,.86070955,.57589775,.38923693,.21150862,.1031912,.051931582,.021488646,.0066767251,.003022782,.00076915987,.00021524522,.000069590969,.000013604855,0,0,0
.59650356,.32182026,.14075434,.047234535,.016521232,.0038431836,.00095405313,.00019766839,.000035070116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.27526322,.48257312,.75537658,.94814897,.66548711,.38123071,.20764323,.10012402,.043676279,.017622836,.0054757991,.0015649132,.00049630186,.00012833792,.000031620388,.00001059508,0,0,0,0,0,0,0,0
.26659647,.096686102,.032354087,.0078448001,.0016650432,.00035799074,.00004835664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.047447868,.023297748,.011019585,.0043454003,.0019351235,.00074633822,.00025659674,.000090131522,.000034222241,.000012144146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.56344867,.25864437,.093882903,.029055342,.007573457,.0016220983,.00031006319,.000047301273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.14432377,.24811535,.3901045,.56254047,.79922998,.95923549,.72815955,.49622717,.30216527,.19439654,.10657188,.053249609,.024096929,.0086273747,.0038945894,.0017959246,.00070882408,.00024152105,.000079806399,.000019445035,0,0,0,0
.32769552,.16004652,.069923833,.027345879,.010019112,.003123214,.00096050306,.00015527786,.000053904139,.000011307625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.38829967,.49894363,.63347954,.78267974,.92461246,.90281403,.74277645,.58374286,.46026456,.34747291,.25012267,.18589716,.11979654,.078971073,.045821544,.029314581,.015305476,.010089072,.004718767,.0028712158,.0014985317,.00066112448,.00037993176,.00016907945
.53244549,.2748864,.12434977,.049097236,.018345214,.0049864985,.0013200586,.00033849789,.000068320944,.000011424162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.63465083,.40059045,.22610442,.10455666,.052918028,.021297744,.0076118088,.0026514875,.0008134052,.00023621324,.000044891298,.000016608994,0,0,0,0,0,0,0,0,0,0,0,0
.097839899,.026639143,.007825654,.0014264168,.00025996496,.000041056377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.16591159,.33016244,.57597882,.93308091,.76525426,.46460721,.23694329,.094546281,.04719393,.012983995,.0037895306,.0010405334,.00020616285,.000069934809,.000015461264,0,0,0,0,0,0,0,0,0
.95004797,.67833799,.46086955,.26588696,.14925818,.075051397,.035168625,.013270652,.0058040265,.0018284662,.00057806337,.00018522932,.000058705849,.000016689817,0,0,0,0,0,0,0,0,0,0
.037210952,.11392694,.28592718,.61908627,.99995428,.58354729,.26248851,.08469563,.027608173,.0066268384,.0014423612,.00021823337,.000026226176,0,0,0,0,0,0,0,0,0,0,0
.68912411,.34057871,.12675016,.041723449,.01010443,.002005216,.00034279557,.000053029456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.98835617,.59698373,.28396168,.12928587,.040065244,.011312032,.0028313028,.00058816362,.00012103246,.00001312273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.58870894,.87393749,.77020663,.48017815,.27166057,.12097516,.05025547,.021770725,.0064201024,.0018313321,.00062025897,.00011579473,.000034587469,0,0,0,0,0,0,0,0,0,0,0
