p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.043562543,.14103006,.39594379,.80629855,.70235497,.31145459,.12690005,.033621058,.0069665695,.0007755048,.00016115134,.000023129196,0,0,0,0,0,0,0,0,0,0,0,0
.56852412,.94817358,.6855557,.35191083,.17412023,.055657752,.021432528,.0046168095,.0010680081,.00023319134,.000060777187,0,0,0,0,0,0,0,0,0,0,0,0,0
.10925775,.35530233,.80911678,.64608467,.25698167,.0639541,.011900132,.0018590479,.0001808732,.000019971882,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.52443159,.29681891,.15039992,.07364475,.028915096,.008566061,.0030843802,.00096207415,.00024542949,.000076736505,.000013783399,0,0,0,0,0,0,0,0,0,0,0,0,0
.793769,.52841723,.30436552,.15853806,.078150362,.028022218,.01160457,.0040010409,.0012167288,.00034668465,.00011202247,.000028130507,0,0,0,0,0,0,0,0,0,0,0,0
.98654449,.52922404,.21342361,.067820907,.013611627,.0022898337,.00031107909,.000037112481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.084308974,.019000351,.0031748682,.00046216251,.000061382343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.94993514,.52459097,.25435469,.082451127,.024561791,.0057359003,.0010033657,.00014813259,.000034261127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.87152332,.83843601,.53904808,.31953907,.16404045,.090896912,.035301656,.013212862,.0052219764,.0016381124,.00044617863,.00015426739,.000031464995,0,0,0,0,0,0,0,0,0,0,0
.44312775,.2308225,.10308627,.044241928,.013352802,.0031341773,.0012340808,.00031766557,.000059442365,.000013031881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.49733898,.24695283,.10222247,.03078259,.009792991,.0024510855,.00063060771,.00012379614,.000022123571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.024193775,.054688025,.11889181,.24147168,.39103949,.68602985,.98134166,.68927544,.45909622,.24582453,.11402872,.050457973,.021622552,.0077773938,.002041579,.00057317922,.00023548101,.000050089558,.000011947195,0,0,0,0,0
.99067724,.54149699,.23819755,.054648593,.015923359,.0029592661,.00033260984,.000049478025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.2107075,.45423275,.82465786,.80269879,.43047258,.20679897,.070402406,.021307146,.0052377325,.0014143778,.00029583188,.000046953137,0,0,0,0,0,0,0,0,0,0,0,0
.9075281,.5097537,.23844483,.098948978,.02843388,.0069523659,.0015487743,.00027135568,.000038183607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.4292936,.20148881,.079681255,.025940955,.0088567976,.0021012062,.00044386412,.00013057757,.000016982282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.11230223,.041623212,.014606561,.0043799789,.0014255821,.00029852707,.000074532887,.000014156783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.44416666,.80831659,.73470008,.3772594,.13934688,.044782992,.015665982,.0034264824,.0005001215,.000088061483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
