p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.038756199,.15095147,.47703531,.98621595,.48144737,.1555877,.045030925,.0073717856,.00099393039,.000061408937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.18908918,.046461869,.0095527759,.0012488356,.0002107779,.000016833505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.28100485,.59506994,.99456382,.57180494,.26927561,.096349053,.026868204,.0066833044,.0011948323,.00025255527,.000027955046,0,0,0,0,0,0,0,0,0,0,0,0,0
.18605776,.48453024,.94191641,.61830795,.24989498,.061088726,.015979523,.00289985,.00037078848,.000071664785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.26940674,.61954677,.87296963,.42173228,.1608568,.032962091,.00781014,.0012390374,.00015766529,.000017659195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.81184596,.70053273,.31182829,.10721494,.023376014,.00408347,.00057368155,.000068692287,.000011918338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.015220315,.002300285,.00026329412,.000030305311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.1599813,.041224122,.0097207604,.0012645921,.00018855475,.000023052331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.61222839,.9246155,.44203469,.1636776,.043012638,.012453957,.0016653425,.00024014589,.000040039969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.91347402,.44942433,.15813962,.04804153,.0075398511,.00076477655,.00017730921,.0000234211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.44334492,.16514514,.045975637,.0074568493,.0013567643,.00019203461,.000025139168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.16063039,.44413173,.94290054,.50581402,.21372196,.040568799,.0079152705,.00093024271,.00015065174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.98139191,.51120603,.21612833,.046180625,.013064181,.0022392541,.00023943302,.000034861216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.59589875,.9401257,.48471281,.214186,.062860385,.017326405,.0029944282,.00046709192,.000064358574,.000011126768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.4609938,.16548759,.045842122,.011693226,.0017446504,.00022119432,.00002509427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.7222296,.7608574,.33850044,.10554265,.030484356,.0052159512,.00065917819,.00014117485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.035872385,.0070207464,.0012955097,.00018777604,.00003141693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.011201929,.053304024,.21812131,.58746809,.83454478,.36022586,.13674039,.029607113,.0034321453,.00047023734,.000027303942,0,0,0,0,0,0,0,0,0,0,0,0,0
.77254462,.74644423,.35467732,.13496996,.0384444,.0088687316,.0015002273,.0002567975,.000028164905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.045700401,.0091654779,.0015086097,.00018374539,.000021626594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.31775039,.12575811,.036481563,.010702862,.0018513034,.00033312629,.000048595091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.12302562,.027224438,.0053465432,.00076127012,.000091017493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.02015437,.091275193,.32481301,.79839408,.72355092,.26191685,.062416907,.010530888,.0015298133,.0001462392,.000010218878,0,0,0,0,0,0,0,0,0,0,0,0,0
.27676162,.090039708,.025386812,.0053454596,.00092313834,.00012681067,.000021213182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.66416585,.80284643,.37511113,.1182844,.028018743,.0046619624,.00046479376,.000072649833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.23038723,.58151746,.94058776,.5228036,.15442719,.060678083,.011052463,.0016808946,.00022826222,.000040499217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.148692,.04006375,.0081563229,.0011581549,.00017470944,.000015414982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32398531,.74887747,.73699552,.30819464,.098252662,.016956745,.0032344912,.00038911216,.000044358178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.062270008,.22406867,.50990409,.99643016,.48354632,.17317836,.046587709,.007872845,.0014974895,.00012011616,.000011710814,0,0,0,0,0,0,0,0,0,0,0,0,0
.97354519,.47932568,.17944327,.043735929,.010790125,.0013032872,.00017415242,.000016727614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.33030826,.1232126,.038840894,.0083610043,.0015348895,.00028640454,.000051282095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.92945296,.61549473,.2680766,.10174232,.023671189,.0046088598,.00088458788,.00013464908,.000016381415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.96668643,.52849722,.19799477,.058873508,.010724454,.001633466,.00027401905,.000024045774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.43475232,.89547354,.66934109,.28481549,.085856922,.025433827,.004633076,.00084573095,.00013510787,.000013222587,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.90434659,.62858129,.26039618,.098007843,.028837601,.0049242498,.00081603421,.00012166536,.000015269774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.29938221,.1170936,.03627722,.0086686797,.0023134728,.00037877701,.000072306699,.000011979352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.68705767,.78292871,.37229967,.1077577,.030786708,.0056448868,.00079423824,.00010171412,.000013595102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.80457497,.72977465,.35349348,.11080451,.031797953,.006454431,.0013706018,.00011820946,.000016153943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.78782582,.71885598,.30167264,.095880039,.025046527,.0044416962,.00056710216,.000091960152,.000012078287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.059333224,.012242635,.0017880049,.00028800848,.000032343152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.25187865,.61262548,.90374476,.4356761,.16931996,.04183339,.0070962459,.001413468,.00013025015,.000019608367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.6001367,.92365396,.44042641,.16063862,.039901469,.0080117416,.0016321128,.00014940261,.000016860724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.037857141,.14965138,.45214137,.97443008,.48507914,.1740633,.032754194,.005599048,.00084720372,.000089260218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.66106993,.8478291,.40711534,.17062083,.043673761,.010620222,.0016261089,.00029021397,.000035628917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
