p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.35697317,.4385756,.56065565,.65989178,.7887916,.89313912,.93548852,.87095523,.71686292,.4970119,.43295538,.35212621,.27851754,.1815075,.1637077,.095421657,.074747913,.031277418,.017995616,.020292718,.0081241447,.0040721726,.0024799213,.0019518428
.067347318,.12548341,.2246732,.33961597,.48288479,.73637754,.89576495,.78844327,.57681388,.30086219,.15920565,.06400644,.056708228,.026784822,.0092567075,.001398859,.0010083632,.0003615873,.00023134853,.000022480577,0,0,0,0
.57396775,.78414875,.9997648,.72022343,.5190841,.37077165,.24048851,.11819132,.066342682,.028298495,.016539887,.0064275023,.0020167169,.0014997313,.00028680704,.00012746056,.000048466954,.00002229159,0,0,0,0,0,0
.92957944,.737939,.5682382,.44289398,.31700522,.25278398,.17387983,.09772782,.056825459,.027401226,.024000142,.0082115252,.0053934669,.00240031,.0017095646,.00089499337,.00038443145,.00012986251,.00004066767,.000015607589,.000011731291,0,0,0
.31339163,.21272349,.12792976,.06911552,.042440291,.026642779,.012211745,.0045921127,.0018183666,.00097454514,.00048519109,.00018312047,.000060476876,.00002723306,.000016042861,0,0,0,0,0,0,0,0,0
.53346258,.38318351,.25643536,.17906943,.10383733,.05603699,.030202689,.016460322,.0075373491,.0028305373,.0019891481,.00089197449,.00028086273,.000084298954,.000060661539,.000028354823,0,0,0,0,0,0,0,0
.20518586,.13813847,.078213125,.040336479,.024699256,.012365705,.0060497611,.0042537213,.0015387572,.0007252146,.00037617443,.00012246432,.000053729607,0,0,0,0,0,0,0,0,0,0,0
.034689922,.057036992,.081716955,.12753567,.19822274,.22063376,.33860585,.52232689,.59621888,.80109358,.98114181,.92770821,.72050762,.44231087,.27440903,.27809018,.18699801,.073001616,.050500151,.035462461,.020674767,.014365959,.0095669646,.00099065597
.45000246,.33001411,.21947846,.16102493,.09075091,.069178686,.03492697,.023334028,.01375411,.0049989782,.0030385202,.0015486851,.00075260666,.00032868981,.00020615436,.000052931817,.000033681172,.000010572038,0,0,0,0,0,0
.83888906,.56701595,.29244998,.16343774,.056912605,.025463486,.014346106,.0035641561,.00073376863,.000058646507,.000088702283,0,0,0,0,0,0,0,0,0,0,0,0,0
.73286486,.55522543,.40359196,.28790286,.17815989,.10721032,.066683203,.035396721,.017099567,.012399608,.0041717412,.0025775307,.0011435857,.00044671592,.0001764615,.000078630816,.000031779542,.000018653756,0,0,0,0,0,0
.81996429,.99132091,.76743841,.51585048,.38351712,.2331095,.17456967,.082041092,.0506129,.029588744,.0099010635,.0040766369,.0021213291,.001183023,.00023624477,.00012942945,.000029719607,.000010037743,0,0,0,0,0,0
.58269054,.74828666,.97054261,.90058839,.76370019,.52239466,.36244544,.23519923,.16771571,.12462129,.062233429,.033922717,.014142298,.0082833413,.004246668,.0029997153,.00083223323,.00053108548,.00016612993,.000075461874,.000016808286,.000010455577,0,0
.40153679,.62839037,.89419353,.8126418,.56988126,.31831673,.15102512,.10200252,.027931774,.018363014,.0051768869,.0010920037,.00059629494,.00010361478,.000039028339,0,0,0,0,0,0,0,0,0
.69907099,.8946175,.85458106,.64310735,.43942934,.28952274,.1562034,.092110142,.046214059,.023749225,.013132562,.0034951414,.0016812087,.0006631898,.00017315592,.000086478482,.000038876384,0,0,0,0,0,0,0
.79738593,.65653408,.50198096,.37781635,.2504667,.19907007,.12062031,.090243287,.047675539,.029227484,.020771885,.010697394,.0043060333,.0022441978,.0014175377,.00095610583,.00053884881,.00015512887,.000081403639,.000023350736,.000022092587,.000015903004,0,0
