p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.31860241,.5921883,.96658623,.66590577,.36169806,.15298297,.070927277,.021209382,.0059456206,.00091095909,.00030325164,.000051589537,0,0,0,0,0,0,0,0,0,0,0,0
.36232138,.58651245,.82898957,.83736461,.63519585,.35948977,.25565845,.099667408,.043537136,.019817038,.0093060117,.0031117606,.00082024944,.00022865512,.000059478771,.000019818433,0,0,0,0,0,0,0,0
.091379218,.21146379,.40811577,.70349908,.89811063,.56825054,.28938785,.1271479,.056961987,.021733014,.0042163641,.00100284,.00034326679,.000052660005,0,0,0,0,0,0,0,0,0,0
.23432551,.13130611,.063522868,.032729086,.014219792,.0060488782,.0026126222,.00071000715,.00030393698,.000093844072,.000033855744,0,0,0,0,0,0,0,0,0,0,0,0,0
.44083068,.24371499,.12435608,.058900185,.024617497,.0079199504,.0034079186,.0011353273,.00025253784,.000094251023,.000020089004,0,0,0,0,0,0,0,0,0,0,0,0,0
.91784203,.74315733,.41383895,.20872423,.086467676,.030034721,.0084274774,.0015644062,.00068004499,.00011421421,.000018491404,0,0,0,0,0,0,0,0,0,0,0,0,0
.28328449,.13275008,.048271943,.015986182,.0048120264,.00095739798,.00022211926,.000039894756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.22668763,.10435703,.046140976,.015728246,.0062245862,.0017563174,.00062676123,.00015790148,.000037953636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.69487846,.89716017,.8457042,.63317865,.46255326,.29745013,.16002907,.10780384,.054665953,.025039107,.011703611,.00468498,.0020867083,.001029512,.00030439507,.00015001415,.000055312834,.000018927754,0,0,0,0,0,0
.64784062,.4162474,.2199226,.1212524,.044345506,.015587287,.0072507043,.0024172934,.00069538731,.00019496652,.000041259784,.000011629167,0,0,0,0,0,0,0,0,0,0,0,0
.99641007,.72518742,.50454235,.29978955,.1705461,.083547778,.039976943,.018826421,.0059727309,.0020477683,.0007621299,.00032045267,.000077953919,.000020720898,0,0,0,0,0,0,0,0,0,0
.0082965204,.016855286,.04329576,.084451437,.14457592,.28778514,.45316646,.70352489,.95021909,.7832166,.46572849,.34208044,.20113859,.082681596,.047489032,.017234499,.007571443,.0032609848,.00079999748,.00024001714,.000079364232,.000017203292,0,0
.46066684,.771097,.87653947,.49022022,.25521699,.10750368,.037774298,.013730655,.003579197,.0007005168,.00012819472,.000024257823,0,0,0,0,0,0,0,0,0,0,0,0
.23504566,.42725617,.6392591,.9212203,.81693459,.54067671,.28586441,.15073453,.06268429,.027919594,.011736845,.0035328676,.0011496897,.0004293962,.00013288754,.000027976757,.000010550918,0,0,0,0,0,0,0
