p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.058676496,.15036137,.33613566,.57797062,.98861229,.63692623,.35916489,.15344444,.052117698,.011589364,.0040709479,.00095905369,.0001667396,.000032317152,0,0,0,0,0,0,0,0,0,0
.9561829,.70139837,.39958894,.16940874,.089626938,.033108212,.013052262,.0024500589,.00055583729,.0001260213,.000035908419,0,0,0,0,0,0,0,0,0,0,0,0,0
.4827252,.90473598,.62093693,.2855134,.093563706,.022778496,.0043523461,.00069103704,.00008312663,.00001718404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.99833608,.68156374,.38981637,.21839398,.086251296,.036197633,.013988697,.0041459561,.0011727251,.00033522106,.000066047491,.000017279281,0,0,0,0,0,0,0,0,0,0,0,0
.96816933,.75286776,.54657114,.37575859,.24265684,.12573172,.082814991,.041693419,.021066042,.0098888883,.0032238052,.001909627,.00070762663,.00022556227,.000083734194,.00002406374,.000014162372,0,0,0,0,0,0,0
.68069726,.39303595,.17869692,.066414423,.023576053,.0081194025,.0016924295,.00033834297,.00007283131,.000011214617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.05562624,.014124614,.0029487011,.00053360278,.000053144606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.21960653,.46134445,.85246581,.76710349,.41439858,.17252384,.054340936,.013081823,.0040944358,.00055314723,.00015126217,.000028007762,0,0,0,0,0,0,0,0,0,0,0,0
.92802125,.63014019,.36419797,.1789262,.082184419,.040757481,.01141887,.0041163494,.0012709432,.00040032633,.00007174434,.000024378978,0,0,0,0,0,0,0,0,0,0,0,0
.35454416,.18999162,.076614171,.034559075,.012347987,.0027905083,.00088711863,.00023222087,.000070441471,.000017924487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.34546286,.14856859,.051988188,.014188282,.0041307961,.00076814368,.00025302719,.000034379835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.076547377,.14799328,.30096263,.4905929,.72309208,.94384938,.61798376,.40814626,.22108291,.10089647,.046052162,.017769497,.0090980045,.0017747288,.00080152397,.00014156547,.000060068145,.000015690102,0,0,0,0,0,0
.56067622,.30293062,.13812532,.04693871,.013985344,.0041126809,.000618805,.0002023729,.000049783619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.35341859,.66735792,.94231218,.5640893,.29646674,.12490357,.043119721,.012892761,.002598682,.000818956,.00013733204,.000022235732,0,0,0,0,0,0,0,0,0,0,0,0
.62994635,.98294783,.68835199,.35861424,.17420249,.070997842,.023296854,.0076454193,.0015788689,.00045969605,.00010930517,.000020860663,0,0,0,0,0,0,0,0,0,0,0,0
.18948622,.077652201,.024271747,.0066758292,.002593295,.00049469154,.00008923209,.000017995641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.17407893,.089622535,.044744182,.022008611,.0098848762,.0035702288,.0012329017,.00047959402,.00014346471,.000058145903,.00001556696,0,0,0,0,0,0,0,0,0,0,0,0,0
.24656351,.44260389,.76389265,.94266361,.54645181,.30150768,.14960007,.05791935,.015061045,.005550365,.0014979973,.00041115397,.000089940775,.00001510576,0,0,0,0,0,0,0,0,0,0
.43186724,.76728886,.7709868,.40336257,.16564102,.06932421,.021545287,.0053775539,.00068320194,.00017059805,.000027750732,0,0,0,0,0,0,0,0,0,0,0,0,0
.10753887,.030183893,.0063822637,.0010661668,.00016034677,.000019826122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.70818126,.97994548,.61734611,.34704036,.17098859,.068385564,.027867069,.0089890184,.0023716043,.00068058952,.00013085357,.000040767423,0,0,0,0,0,0,0,0,0,0,0,0
.6840027,.45068476,.27612185,.15354654,.074075103,.034184214,.012428276,.0052466295,.0020062414,.00060576218,.00019166253,.000082824219,0,0,0,0,0,0,0,0,0,0,0,0
.0044740685,.020897768,.075482696,.24942818,.58587223,.96220046,.51347506,.19022456,.065429315,.009002896,.0022683383,.00031288702,.000039865205,0,0,0,0,0,0,0,0,0,0,0
.15776441,.37915242,.70495373,.82003808,.43197596,.18426923,.074822672,.018604264,.0046144337,.00062564469,.00010062362,.000012895583,0,0,0,0,0,0,0,0,0,0,0,0
.88865525,.48934957,.21810684,.085907795,.023385003,.005323207,.00077674224,.00016979167,.000033611268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.22579268,.47035781,.71948749,.89631552,.56322932,.29745844,.12172774,.037768144,.01581692,.0045742337,.001099464,.00029531447,.000063573534,0,0,0,0,0,0,0,0,0,0,0
.45702815,.19875292,.058135413,.015746485,.0049739745,.00058244215,.00010529959,.000015256558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.61233819,.30142412,.12947072,.036834307,.010179635,.0024736014,.00036898509,.000079364938,.000011133153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.64216214,.97132069,.63334119,.36676112,.1617371,.065340772,.020049291,.0066102347,.0014346547,.00025327306,.000050894989,.000014154012,0,0,0,0,0,0,0,0,0,0,0,0
.45265207,.19654414,.072930567,.020549394,.0049991757,.001150863,.000288863,.000041211431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.70844746,.96863413,.65319759,.38423055,.1945062,.094824135,.040718313,.012896121,.0037318687,.0010981576,.00029682578,.000066769382,.000019437397,0,0,0,0,0,0,0,0,0,0,0
.81010246,.46988174,.23271227,.089341864,.030492466,.0089629963,.0020607302,.00052163191,.00015121067,.000024384797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.94531286,.55193502,.2459705,.11550626,.03578027,.0074144867,.0024211886,.00056576118,.000061293242,.000010323687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.23442583,.47604373,.78489268,.79727399,.47624055,.23735182,.095359199,.02711679,.007578488,.0021491863,.00045605283,.000087422472,.000024589381,0,0,0,0,0,0,0,0,0,0,0
