p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.12371778,.30604836,.65039814,.92132926,.49240217,.21328062,.085026458,.019517403,.0036458292,.00066275266,.0001184935,.000022838572,0,0,0,0,0,0,0,0,0,0,0,0
.8641243,.80546939,.48826995,.23173599,.12657104,.040894181,.016444314,.0046701622,.0012072811,.00033941321,.00006191351,.000014472114,0,0,0,0,0,0,0,0,0,0,0,0
.23091261,.4228836,.69106328,.9718678,.64633572,.38873932,.19710818,.083078809,.028437067,.011412114,.0027750242,.00083494914,.0001893571,.000047579888,0,0,0,0,0,0,0,0,0,0
.65315074,.41586643,.22966583,.12672943,.058074139,.023384791,.0090488167,.0027452852,.0012349043,.00034321114,.000088448061,.000025069452,0,0,0,0,0,0,0,0,0,0,0,0
.47782823,.69855338,.98073626,.7950061,.52283299,.31751856,.19262064,.092463501,.047899015,.016157627,.0073759211,.0030976089,.00092475052,.00028110217,.00011068847,.000021907479,0,0,0,0,0,0,0,0
.83648741,.78310144,.41456199,.18463176,.06651441,.023574127,.0046367971,.0013381273,.0001714008,.000043136595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.5254643,.27242613,.11395534,.039332449,.01177658,.0041128811,.00084095175,.00019513688,.000037008467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.30884036,.1125033,.031182447,.007762616,.0014812031,.00028839422,.000028047158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.97875679,.75879252,.48449567,.27987131,.15035307,.085388087,.031618532,.013076744,.0054698619,.0016998037,.0004305866,.00014926368,.000036134552,.000013576673,0,0,0,0,0,0,0,0,0,0
.41485494,.21678315,.088776499,.032339811,.0086669829,.002206913,.0006470909,.00014963726,.000023652943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.70438713,.42666209,.2247396,.092181496,.040449426,.013956514,.0047141067,.001478801,.00037087343,.00007289827,.000023490302,0,0,0,0,0,0,0,0,0,0,0,0,0
.020622965,.050316736,.11898918,.24319176,.45708406,.7573092,.89154834,.55747288,.34661093,.14182277,.059336916,.023111567,.007139801,.0018806113,.00050736888,.00016181952,.000025028434,0,0,0,0,0,0,0
.84657896,.49882871,.24682502,.093855992,.035715844,.010492282,.0021278898,.00040837444,.000069285306,.000017018658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.39241382,.70764625,.9320792,.55968356,.30033073,.13183229,.048608366,.016168453,.0038087354,.001328219,.00023136301,.000062950945,.000010034732,0,0,0,0,0,0,0,0,0,0,0
.69340676,.38328993,.17001839,.069864132,.022106636,.006674408,.0014458189,.00033485465,.000068085174,.000014808114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.41210774,.22209236,.095928982,.040482543,.01678138,.0045838612,.0014895228,.00049589819,.00010422138,.000018273764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.034518611,.0095565272,.0024816527,.00065667409,.00012958751,.000025871523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.8313992,.4690443,.21350695,.082355507,.022854298,.005097447,.0016617991,.00036226961,.000042981588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.80855447,.79632378,.36875051,.17570895,.052081436,.017156472,.0054635592,.0006918257,.00017393827,.000046884583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.98851651,.56752819,.25393033,.080772579,.022481864,.0048587495,.0009346077,.00013630619,.000024667812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.39314979,.67280996,.96056265,.62882841,.35563767,.14987445,.06609147,.024195841,.0058543589,.001475004,.0004119662,.00011810186,.000021651176,0,0,0,0,0,0,0,0,0,0,0
.17310926,.073538922,.030730324,.010344843,.0033572055,.0009239146,.00023300837,.000067530971,.000016358052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.12830405,.322804,.64925355,.92109567,.52097106,.22108297,.071317144,.017509647,.0045531727,.00082386174,.00016288577,.000023024309,0,0,0,0,0,0,0,0,0,0,0,0
.40300289,.72955638,.9130637,.53900236,.27691728,.10204321,.04636411,.01315494,.0028895154,.00055405707,.00020330309,.000027741411,0,0,0,0,0,0,0,0,0,0,0,0
.58232403,.92413658,.45756984,.18358327,.050069481,.011377538,.0015975222,.00031252636,.000033583248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.11424537,.25238696,.46180239,.78828472,.87464887,.51252466,.27744395,.12248048,.055433288,.018389048,.0043154345,.0012385128,.00025246438,.000065352273,.000012572264,0,0,0,0,0,0,0,0,0
.18211529,.056555312,.012708132,.0026888403,.00048028957,.000047595498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.12943953,.26342964,.46711114,.76126617,.88960266,.55616713,.32052281,.14464433,.065910988,.021270284,.0070199645,.0022801075,.00052664179,.00013090461,.00003309366,0,0,0,0,0,0,0,0,0
.4972325,.85628968,.78594601,.46579048,.20010525,.090560041,.03114387,.0089212721,.0018644618,.00040030762,.000080682781,.000016153983,0,0,0,0,0,0,0,0,0,0,0,0
.93946612,.53797197,.26832089,.096983269,.02942441,.007205883,.0022385246,.00030295784,.000038571445,.000010859279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.37221083,.63842553,.93599355,.70654905,.42669517,.22733663,.099331565,.04255487,.011855457,.0039910069,.0010505012,.00032066071,.000073803189,.000010279985,0,0,0,0,0,0,0,0,0,0
.20311268,.41691417,.73844886,.89957994,.53661376,.27264887,.11491652,.043985549,.01176302,.0031932185,.00077733031,.0002048047,.000037172613,0,0,0,0,0,0,0,0,0,0,0
.97972798,.58645719,.28064957,.12238941,.033540659,.0086347656,.0019219073,.00046868908,.000060515591,.00001251545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.1272407,.29323587,.54586732,.92356217,.65133959,.40111813,.19014864,.053189356,.01732607,.0063388646,.0018937225,.00021634772,.000036917998,0,0,0,0,0,0,0,0,0,0,0
.57933378,.97103864,.58590025,.32244837,.10976556,.042598486,.0078600273,.0021854776,.0003543669,.00007672832,.000013235885,0,0,0,0,0,0,0,0,0,0,0,0,0
.66174388,.97505242,.6566028,.37136164,.1895685,.08233346,.028740425,.0089744907,.0028119611,.00071817893,.00017681929,.000028571832,0,0,0,0,0,0,0,0,0,0,0,0
.88674694,.73180449,.43076149,.18578291,.081126817,.022252314,.0086848484,.0021359501,.00060981332,.000092956747,.000017108798,0,0,0,0,0,0,0,0,0,0,0,0,0
.35741773,.62030876,.94957083,.68583483,.40166527,.18665808,.080294266,.025651855,.0083526717,.003302915,.00061660929,.00015342238,.00002925779,0,0,0,0,0,0,0,0,0,0,0
.30631614,.56526297,.92912984,.72087508,.39423564,.17695381,.070051603,.025547361,.0075533064,.0014746389,.00051826052,.00007375003,.00001488389,0,0,0,0,0,0,0,0,0,0,0
.24708754,.11098457,.043499827,.016313838,.0048103086,.0014242737,.00026013021,.000079480043,.000018584031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.82646596,.74372947,.39469177,.15612756,.061936721,.015514202,.0036200841,.00062721362,.000098536468,.000022826409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.9204635,.51025182,.21877021,.089921556,.019003173,.0067375507,.0011501887,.00023268863,.000038963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.34637177,.72127372,.77381599,.39756611,.12592153,.041834492,.0078320326,.0015121946,.00028646126,.00003985719,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.01780872,.060676672,.17380686,.38175642,.73045897,.91539592,.46730053,.23528793,.090925135,.023985632,.0047246362,.0010585954,.00017336618,.000028036706,0,0,0,0,0,0,0,0,0,0
.48479074,.18335734,.055031531,.01222145,.0023972616,.0003427529,.000049231079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.087452374,.030727085,.0095685516,.0026200314,.00056047761,.00011583373,.000027883725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
