p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.18040563,.33327794,.57059461,.91245627,.83672887,.47112787,.2954891,.15840572,.063742213,.02556416,.0089469003,.0017554219,.00078746176,.00016605832,.000048274233,.000029313407,0,0,0,0,0,0,0,0
.25895786,.42469794,.68051708,.93776655,.81738085,.53074813,.35307345,.18409684,.084786639,.05392627,.020968204,.0055811163,.0019442708,.0007331646,.00020721936,.000078928315,.000020072564,0,0,0,0,0,0,0
.6945942,.88110828,.5400613,.26523215,.099817351,.037709355,.010248997,.0022777838,.00042740718,.000075621851,.00002016594,0,0,0,0,0,0,0,0,0,0,0,0,0
.90907407,.81519842,.51565266,.33753526,.18233131,.084282123,.037365124,.016931864,.0063999388,.0021763772,.00075448741,.00020101947,.000064337735,.000014985806,0,0,0,0,0,0,0,0,0,0
.4572475,.63532335,.87887788,.88373935,.66047722,.45608106,.32040223,.19996694,.11515643,.062434103,.024998391,.012543521,.0055295383,.0019930108,.00090151071,.0002888586,.00010605147,.000046852427,.000010795037,0,0,0,0,0
.50237525,.26228848,.11947272,.047377139,.011065135,.003319798,.00077733042,.00016821263,.00004197891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.11677347,.037282903,.008037989,.0010647702,.00018390428,.000036104419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.81389743,.92069346,.66430032,.41977727,.21725686,.1381674,.063598849,.028155105,.013064178,.0038633868,.0012209362,.00048712402,.00016058629,.000031815143,.000011619532,0,0,0,0,0,0,0,0,0
.14455798,.061367601,.017943799,.004972979,.001274982,.00047450853,.000047548285,.000016413805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.57503736,.39212063,.2055908,.12525232,.058141388,.023128837,.010244975,.0048258579,.0013712265,.00056653959,.00011771246,.000052783867,.000010355153,0,0,0,0,0,0,0,0,0,0,0
.79410368,.92035526,.6591686,.38878533,.24771869,.11368347,.052865673,.026447531,.009480508,.0025077779,.0013915594,.0003448647,.000053690739,.000017754421,0,0,0,0,0,0,0,0,0,0
.15636763,.23112853,.34560809,.51902759,.68030477,.90738857,.87346607,.67366672,.54318118,.32317364,.22890361,.11858954,.073834442,.040519074,.021629499,.0102753,.0062501188,.0021180247,.0005471129,.00049124943,.000244675,.000054713804,.000015169808,0
.33248562,.13597564,.047846645,.014523659,.0032531093,.00096568721,.00013117713,.000023230017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.20259947,.44330972,.82495117,.80551106,.4767938,.19298129,.069348454,.018990135,.0047234739,.0010948469,.00035336774,.000032074287,.000012396214,0,0,0,0,0,0,0,0,0,0,0
.94141942,.64618015,.38687375,.18554609,.097184263,.039557643,.011470626,.0042759716,.0010655365,.00030401954,.000074890006,.000020043986,0,0,0,0,0,0,0,0,0,0,0,0
.67744821,.89276147,.79400909,.57392806,.42304,.24661735,.15058631,.084378079,.032627124,.01249499,.0089650517,.0039005047,.0011358371,.00049468031,.00010978252,.000028194303,0,0,0,0,0,0,0,0
.054857057,.019514069,.0062222821,.0023509986,.00091831142,.00015508103,.000032519943,.000014836507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.71566093,.96618503,.73711509,.4559131,.27436206,.13923824,.063596092,.03664593,.0095194243,.0036435074,.001344657,.00044377416,.000093596827,.000041444917,0,0,0,0,0,0,0,0,0,0
.24940565,.50929886,.97783548,.63521701,.26672491,.11235511,.039511964,.010915891,.0019906641,.00037221159,.000090501024,0,0,0,0,0,0,0,0,0,0,0,0,0
.12147208,.046765473,.016282763,.0042288103,.00093373266,.00016562399,.000036566751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32426676,.11774081,.023811441,.0057405336,.00084510306,.000077354256,.00001353084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.21875505,.09327092,.039618704,.012043148,.0036264805,.0011850492,.00016760619,.000052417399,.000014761662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.058767073,.11674123,.2289761,.39312187,.63763124,.91425747,.85991204,.51039988,.31206495,.17980595,.07105919,.032417551,.014279653,.0036876933,.0024493521,.00038384623,.000086517386,.000033163924,.00001233073,0,0,0,0,0
.76417834,.91454041,.58607632,.36252287,.17594823,.07362771,.032070883,.0076845442,.0049897814,.0010710785,.00024394481,.000055934561,.000019330466,0,0,0,0,0,0,0,0,0,0,0
.82401478,.54563195,.32004577,.18232389,.078026779,.034415849,.012651591,.0042219278,.0016649412,.00032604151,.00012031171,.000038390637,0,0,0,0,0,0,0,0,0,0,0,0
.84521967,.82397163,.57015574,.32989526,.15798102,.085787542,.027405385,.0085579716,.0025227994,.0010461315,.0002106793,.000038718154,0,0,0,0,0,0,0,0,0,0,0,0
.61115634,.35475761,.18520066,.078646272,.032635827,.0070018014,.0027607046,.00062717585,.00012166817,.000036317531,.000011359471,0,0,0,0,0,0,0,0,0,0,0,0,0
.76589686,.51257652,.29844156,.15373997,.075375602,.03363945,.0091657266,.0035187057,.00097791455,.00036346653,.00011029343,.000033193912,0,0,0,0,0,0,0,0,0,0,0,0
.6606977,.98783994,.70941335,.48373494,.22118114,.11280703,.034500845,.019190282,.0045660753,.0014022301,.0002758177,.00006676506,.000016363685,0,0,0,0,0,0,0,0,0,0,0
.096160308,.027757395,.0090833018,.002329008,.0004620729,.000077310862,.000018162542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.99430501,.68692768,.39196941,.18007642,.087964311,.034660034,.011097043,.0026528968,.00099233724,.00010993255,.00005707168,0,0,0,0,0,0,0,0,0,0,0,0,0
