p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.75129116,.67869449,.55797982,.46000782,.36171797,.34021556,.27742946,.20702255,.18559723,.12574853,.08003787,.082175031,.037379865,.028822267,.026645396,.015988683,.012170437,.0084033227,.0055891611,.0033149126,.0027321088,.001287426,.00058257912,.0004748693
.99511635,.87515187,.68963355,.58609557,.46325096,.3413451,.27348283,.19755819,.14664926,.059034146,.059590444,.032424603,.020906651,.012973025,.0094431145,.0035329049,.0026613246,.00081139838,.00028240829,.00025973932,.00018063055,.00005272335,.00005305708,0
.31771287,.39756161,.49297547,.62664002,.70265222,.86687523,.93816751,.83002275,.72714573,.60179907,.4639039,.38169819,.26926264,.19847961,.12685315,.10109171,.050427556,.038736351,.031916473,.024022829,.0090913614,.006688463,.0030997756,.001863902
.33713096,.27667624,.21859404,.13931811,.12107349,.093982637,.062746793,.041587498,.033009708,.017569946,.011135654,.0079776524,.0072648143,.0024404258,.00089986296,.00095185929,.00081358466,.00028199781,.00014054758,.000027552895,.000023595079,.000023503262,.000012055463,0
.1722104,.1388012,.10954568,.080545902,.065625258,.04667085,.038320735,.025982019,.019549444,.01531141,.010871366,.0074720471,.0048933066,.0022048277,.0021518469,.0011695684,.00073627738,.00053653197,.00032619873,.00030361564,.00017162166,.00010873792,.000040179551,.000036175996
.38286287,.29103547,.24802659,.15647577,.13457322,.090403236,.052545831,.035684444,.024450788,.012683831,.011736548,.0080417003,.0049387738,.0032084959,.0013192922,.00053140795,.00037795948,.00018434568,.00010584386,.000098558099,.000037342717,.000011320134,.000019557016,0
.44825041,.35887229,.26336369,.19445236,.15423946,.089427203,.058924258,.046176646,.024544287,.022146696,.0076469365,.0058064871,.002872397,.0017287449,.001189641,.00029709362,.00019623314,.000090183778,.000081602637,.000023422857,.000010490808,0,0,0
.9052493,.99765062,.85815924,.7281571,.62770021,.49716011,.42837766,.3430365,.2684269,.20672987,.17323716,.098554224,.10753501,.049130868,.030218372,.0289435,.021579631,.015855869,.0076952977,.003322711,.0035421499,.0012123692,.0010327969,.00052153436
.1532194,.17852283,.21089095,.26000702,.28732994,.31911278,.35634616,.43350953,.50678623,.55081445,.63519931,.69958675,.79919618,.87806779,.955935,.9107635,.8600651,.70606029,.73369151,.67356843,.57044715,.49614999,.45452109,.33166969
.34620914,.42726311,.5584076,.72452873,.80276906,.98943686,.7699421,.61537516,.4843626,.40394059,.27811563,.15494651,.10689741,.072595663,.040284015,.030161388,.0077311536,.0093033779,.0036774543,.0037734907,.00079852331,.00028829716,.00019478572,.000077556782
.27307892,.20807551,.15893112,.11658187,.084426448,.059927244,.028475713,.030038996,.019579269,.010054249,.0070286859,.0057746228,.003485566,.0014952312,.0013233804,.00042390602,.00037284507,.000068847752,.00004982085,.000033375723,.000014720008,.000010494132,0,0
.26094553,.31950277,.42401779,.53606093,.62823236,.79030943,.87265164,.90211934,.73111564,.63368577,.55766279,.34433693,.29688472,.21204506,.12853396,.12936656,.071403392,.057792272,.016036561,.017201336,.014595211,.010347854,.0028620057,.0017151912
.89019555,.99943423,.84783459,.717475,.59822649,.5051232,.49642462,.36187696,.19592705,.16020484,.12908639,.09164013,.059083112,.052550092,.038097888,.023956547,.012694879,.008221182,.0032229847,.0020374993,.0012545229,.00065428962,.0004556381,.00039544955
.36481643,.43313792,.53158379,.57921523,.67190456,.74565738,.92118442,.97565925,.88327998,.80355549,.66592944,.57140368,.50931019,.47304875,.34436664,.26810366,.24974334,.1786367,.13117819,.10203523,.092243165,.057600856,.032334469,.031055784
.17293017,.21964899,.28857663,.37602982,.46168348,.59485751,.66172296,.81205636,.94242805,.8920114,.76513314,.66619766,.64035594,.50853658,.32640719,.27821311,.19734855,.15350525,.11537143,.022613315,.052930567,.022903999,.0097537143,.0095627932
.25541314,.18894631,.11934984,.05095806,.04487912,.030166175,.021514418,.0061895614,.0042802277,.0017593281,.00121835,.00053079048,.00017251556,.00014889057,.00010860556,.000013522092,.000013859879,0,0,0,0,0,0,0
.57179838,.68432248,.81742954,.86881655,.95578933,.9751299,.79130578,.72766876,.58361137,.468146,.39255473,.34248951,.28206709,.1753408,.1707314,.11038449,.073437251,.059046045,.032744505,.031318072,.013462671,.012117802,.0091829393,.0084499381
.12236866,.16122809,.21247455,.32424158,.3667933,.50910246,.55769295,.70189255,.81297749,.9018836,.82089871,.63966656,.67458683,.48452309,.44876486,.31468996,.22033487,.15270311,.072742805,.048307396,.072658174,.024797302,.014009091,.011721891
.77371013,.85943735,.92936087,.98220593,.90792012,.83050311,.74364239,.69501531,.5662384,.51761913,.44398281,.36468115,.3465558,.31567824,.24180041,.19439319,.1710301,.10942738,.10450849,.071257755,.066332914,.036520574,.040027648,.023463415
.067900091,.049628984,.033250429,.024486333,.014327855,.0083314655,.006269508,.0031514023,.0021307718,.0011292693,.00071533065,.00058211095,.00020577019,.00011336873,.000057867048,.000056639987,.000014935794,.00001281822,0,0,0,0,0,0
.031207871,.038357239,.052955899,.064789228,.083783679,.10702137,.1269372,.17017418,.20538618,.2407797,.34671381,.36441028,.43387407,.46480086,.59206653,.7052542,.78736681,.92962343,.97346306,.86540455,.75597572,.60812056,.55557364,.45764941
.68315953,.84146935,.90814894,.95409441,.8489241,.66068423,.55641448,.44516078,.41351131,.23964036,.18067969,.20370664,.10549948,.074123256,.0620762,.039245438,.016716409,.025669241,.011327644,.0051676766,.0058683041,.0031360197,.00083711412,.0011433944
.48638973,.58141196,.7507121,.8235594,.96914017,.88024044,.74426752,.58577502,.5081206,.36745998,.21360037,.19124885,.13782068,.080442861,.053856719,.041914381,.032042958,.010539711,.007026562,.0059017278,.0035046525,.0015701056,.0011649341,.00053899019
.37057263,.4305284,.49123964,.57756245,.61670715,.75593519,.85559881,.90290779,.97428703,.88013095,.8050549,.71296,.59691083,.54189616,.42101306,.37984362,.32651973,.24088068,.16891956,.16459782,.1152024,.079849161,.060803697,.05266026
.46769658,.54181153,.6057353,.72190464,.8079325,.86343932,.98113853,.88314652,.80263281,.67917246,.59677994,.57360733,.38353983,.36576295,.26649275,.22989294,.15218338,.14250976,.13838759,.080325082,.051687784,.033149317,.024554934,.028231479
.05132807,.067404531,.084769711,.10475946,.13928382,.18321705,.22268951,.29345837,.3478016,.4349632,.49462712,.55689102,.60962021,.71655697,.9695732,.96949142,.90595806,.76562947,.6386773,.45829278,.47183409,.40271175,.26006129,.21383348
.60322052,.51899719,.43624973,.34627402,.28607738,.25338444,.17366077,.1425118,.10626949,.070016541,.052553359,.038392156,.02915944,.018202633,.017340682,.0075839441,.0072408495,.0028694933,.0026782078,.0015015909,.00076865952,.00063509552,.00042202428,.00018006667
.17097396,.21472929,.30095968,.36105067,.4623867,.5512585,.65663415,.81505603,.94715196,.91114122,.79742873,.77320939,.56225193,.41421437,.31812117,.2975693,.22737448,.17143705,.12356622,.045757644,.038185477,.032696329,.023374282,.011975999
.35960847,.45339406,.55093479,.69848305,.80985612,.92661113,.90510964,.72318882,.64065838,.46477857,.31865141,.21352935,.21397272,.14796898,.098895319,.056214727,.053819649,.02704983,.018948251,.0116044,.0044174581,.0036509284,.0011889237,.00038114956
.066240199,.043476529,.032566171,.02530898,.014447186,.010381139,.0071860068,.0048672771,.0032738787,.0019387206,.0010505993,.00062318012,.00052466808,.00037321457,.00012491881,.000092131333,.00003631939,.000024164421,.000013395345,0,0,0,0,0
.5133639,.60853577,.72396296,.82023764,.95481157,.90925038,.79996479,.65878141,.64149421,.41628453,.36108387,.27587593,.2086432,.14394301,.092924975,.090868674,.046820071,.02841115,.018661931,.016430994,.0099567231,.0072104554,.0028377122,.0013240519
