p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.43700376,.41727468,.3674078,.38821656,.32462761,.3003296,.21576159,.26515305,.20577933,.2104703,.1840651,.20412657,.14854109,.12116292,.10905091,.078865692,.099007286,.086582273,.062003911,.069790557,.04554126,.064310931,.034694433,.0286892
.3322556,.31547368,.27952188,.25694761,.21119279,.19942614,.19968757,.16556616,.14017661,.10527802,.10511399,.095924601,.08461453,.05095816,.070645042,.066460729,.095888726,.037555184,.023307223,.042865977,.016109288,.010964375,.026920673,.0063212244
.24513583,.26237163,.28782567,.35370794,.39825758,.41611448,.45976105,.55013967,.5092693,.59976393,.78207165,.7470758,.74804676,.80563569,.95621645,.99390298,.9030143,.84185684,.82232398,.78499901,.78915852,.69560075,.61117464,.56639683
.4551093,.47705811,.60055923,.69272816,.57628369,.86875343,.78394377,.85981101,.96040738,.91926795,.84708828,.86237013,.73392314,.65375251,.70343381,.63374728,.69687968,.42683801,.49872783,.37001824,.33252165,.24708319,.17423216,.27604249
.81188768,.78622329,.73612756,.56343615,.57961333,.57150841,.50907499,.49014983,.3883113,.39786091,.28683719,.27758178,.24941458,.19449948,.23869455,.1484752,.1790798,.15109782,.11159512,.079506867,.031187322,.084385723,.069612868,.033922862
.25797993,.26510075,.31103605,.35972974,.40740779,.36154619,.5034582,.4846856,.55944562,.67780679,.73047847,.65820968,.97658557,.81496781,.98366302,.93439913,.85749859,.9443326,.95790893,.71070975,.62024218,.54870087,.68615234,.72160953
.91954404,.89213884,.82072467,.64224041,.5862686,.61225724,.52902627,.4837282,.46463239,.34439006,.33384606,.24133216,.20704234,.20369208,.21812825,.18600965,.13019228,.1138389,.10646717,.083214954,.031755414,.034639228,.058248308,.016819671
.40134582,.43008098,.48023617,.4873786,.61178219,.58210099,.71432734,.78602105,.78130227,.85653383,.96719152,.90951139,.95847148,.75810874,.80499345,.72886533,.79834425,.61464751,.50722116,.47863874,.38960096,.34627211,.38699433,.36842075
.30072463,.27773803,.2144208,.2254407,.18186712,.18228936,.12836811,.11521792,.11350815,.1050946,.083527461,.057637174,.042572897,.048034281,.03373589,.042997815,.031544361,.014956906,.014372382,.01800406,.01150881,.0066884737,.015375479,.0097849136
.93303567,.96376431,.97654778,.66341275,.70376909,.61980474,.39163151,.41769436,.41144565,.28533998,.26712209,.25429532,.14227368,.12898456,.15615357,.05245408,.046757709,.11528222,.013434612,.0089383703,.020113239,.031049456,.014704427,.0040763412
.68093407,.61726594,.58192289,.48463205,.49838871,.40787855,.37435189,.34675136,.3807852,.30901825,.2506924,.24021563,.14869499,.18699256,.12896322,.11949226,.12113577,.063492,.12918083,.064628825,.046625618,.096932083,.053979129,.04916735
.057809856,.060358867,.07013946,.071876392,.085264333,.10279293,.10164896,.12329587,.1661434,.17595451,.20832942,.16707712,.32674867,.21841125,.24982733,.24555303,.33803371,.30335307,.26748699,.38266969,.39951846,.39633846,.61675656,.55682796
.92687064,.97002441,.99842787,.95023465,.84975398,.68010211,.54469335,.67598635,.61017138,.51936811,.45881835,.54748517,.3124488,.4754346,.3281914,.4069573,.2030998,.20229478,.23848334,.19683051,.15222624,.12830085,.16649751,.075981326
.72287875,.80975991,.8396017,.89315379,.9917134,.96478283,.69796526,.76416796,.65037465,.56532973,.47354841,.4761104,.29391107,.33669493,.43343002,.25467572,.305244,.15434213,.17458585,.11715283,.17741372,.096302859,.07377632,.10883196
