p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.6858862,.57506752,.4639312,.3403464,.27227297,.17531684,.14224866,.094563723,.086440839,.03495606,.028131023,.010521803,.0119365,.0041119433,.0023091766,.0019000378,.00079248368,.00058104348,.00039375928,.00017991128,.000041778683,.000024070467,0,0
.044967704,.076109812,.11895866,.21037818,.31512401,.44342616,.62037373,.70535856,.98908794,.79481238,.53012711,.50463367,.2256597,.17535634,.10343994,.056409176,.01172594,.0075529972,.0086011495,.0044679358,.00045764376,.0002210356,.00012401142,.000018380306
.074240029,.046252694,.022658002,.011189209,.0061089932,.0024691874,.0014396902,.00049299677,.00022948151,.00010412338,.000063057894,.000019499652,0,0,0,0,0,0,0,0,0,0,0,0
.94186914,.8706727,.73150003,.62893748,.50900143,.36161897,.26215178,.19715767,.11778309,.076900743,.046101123,.027569409,.015954314,.0067871665,.0030804737,.0027864804,.0011106945,.00040820343,.000096534459,.00012338192,.000043267788,.000025380539,0,.000011865341
.50301301,.43149501,.32926962,.25598803,.18702905,.13701633,.10109064,.076564953,.050977569,.044884544,.024496198,.023934087,.0097966613,.0064123143,.0045075556,.0025580348,.0017427191,.0010984199,.00065409229,.00027070381,.00019858297,.000067305991,.000060348048,.000033370026
.99629563,.83942527,.7026065,.50737607,.45045361,.29340738,.22582579,.15925597,.10552733,.071368009,.045671005,.024627514,.01274888,.0077831987,.002554849,.0018391517,.00058825576,.00036576047,.00039080851,.00018014376,.000036734429,.000040459501,.000019045357,0
.87707573,.7027123,.52225196,.44331834,.30675197,.20513466,.16173095,.082612805,.049727984,.043863077,.020911429,.011453047,.0038506563,.0040553631,.0013297347,.00047532475,.0001781099,.00014693478,.000086169661,.000012259807,0,0,0,0
.72067899,.88351452,.94975024,.77437198,.55026782,.40597525,.34454462,.14749211,.15334338,.077627495,.045951571,.035865899,.010488474,.0091485539,.0033557853,.0028063306,.0012948565,.00042884937,.00019141265,.000056704284,0,.000015973712,0,0
.91521829,.71340251,.51200378,.30152375,.22908917,.13102488,.072918013,.031498317,.020766735,.014581199,.0043789311,.0011176962,.00053392735,.00030957267,.000045525878,.00002760092,0,.000011741146,0,0,0,0,0,0
.092488304,.15091668,.21456777,.34002614,.4193581,.63907158,.82574034,.94107807,.80637991,.61480361,.35401338,.25831705,.20988967,.11727339,.10409723,.022294637,.017170075,.0060903393,.0028372777,.0020534543,.00051286281,.0006196656,.000087497072,.000027339096
.6316002,.50735593,.42932951,.31897172,.25176689,.20832317,.11555278,.099226095,.077745765,.040392786,.035777859,.017116057,.015053858,.0091082631,.0042570992,.0023234866,.0013749128,.00024868248,.0003824312,.00012761854,.000082968087,.000050668496,.000025418927,0
.38879773,.49195191,.67171079,.89038926,.95343202,.76738024,.61747414,.43142244,.2785801,.14795575,.10765183,.06361334,.063528322,.015380479,.015655883,.0034850389,.0055710883,.00051766477,.00036170881,.00050101336,.00014610497,.000025644775,.000014094636,0
.49751425,.36647022,.25408819,.19782883,.13360584,.095958069,.05312049,.033646997,.014909782,.0077342927,.0067440453,.0017687943,.00098020944,.00040295324,.00026708705,.000069738948,.000050195635,.000038894155,0,0,0,0,0,0
.72144717,.53404862,.35587153,.27788633,.19266373,.10514215,.077935122,.042019382,.021136615,.012162919,.0048683169,.0030125158,.0022989316,.00069560303,.00030894802,.00013610088,.000068222871,0,0,0,0,0,0,0
.83348888,.94673979,.88252276,.77092248,.6253975,.53655207,.39274672,.31697738,.21310882,.13293524,.12310603,.08979515,.063993387,.031829875,.02208093,.017063221,.016576862,.0045908662,.0031414162,.0010209216,.0021167861,.0005433964,.00029420498,.00011073113
.42101225,.52067029,.63969666,.77320707,.83323836,.96160138,.87450844,.68487304,.61766756,.56145555,.3389923,.299243,.30975986,.20544527,.1515415,.12409759,.069566272,.036168806,.021122571,.013359517,.012192718,.0054617054,.0039154976,.0028750501
.26984182,.18895853,.13545527,.096106805,.0766645,.045747269,.026603496,.018384194,.0088985814,.0046640853,.0029619916,.0018597725,.0014140499,.00046809026,.00041692521,.00021810552,.000067084657,.000057396581,.000018393128,0,0,0,0,0
.080362938,.11592404,.17228711,.23123629,.33492005,.43984932,.59592342,.65210515,.81863719,.9521727,.82381964,.7075479,.47478026,.49061662,.2374811,.15857878,.1317184,.082192108,.058093499,.02750553,.023406526,.01149524,.0015868078,.0032083739
.29613379,.21021403,.16019893,.11603422,.056861434,.053146895,.037091952,.025088577,.008958281,.0082305344,.0026109691,.002077017,.0013027259,.00067872356,.00025821273,.00011723342,.000072387658,.000024332954,.000011450826,.000012194492,0,0,0,0
.43221948,.28950867,.19926685,.13324898,.06400536,.038087104,.021713732,.010469407,.0053103096,.0015611261,.0014055553,.00043878055,.000086937296,.000060076491,.000027293603,.000010864567,0,0,0,0,0,0,0,0
