p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.16687517,.24832544,.37984201,.50582123,.69572389,.87631279,.8471027,.75513887,.54092723,.27673265,.21615312,.1361021,.084515303,.032409854,.030348474,.0084506422,.0059365309,.0011223555,.00039314039,.00042534398,.00011490632,.000036106881,.000010523345,0
.59751928,.81122589,.94124985,.75870383,.56102741,.36576131,.18868975,.15208779,.086779743,.035660058,.014533003,.0044187717,.0042174663,.0018232198,.0004599457,.000073964788,.000055618697,.000017472716,0,0,0,0,0,0
.24101411,.35124597,.48554656,.68411386,.87696636,.95321375,.76532805,.53591263,.38451561,.2283693,.17045522,.099701114,.048599113,.034502078,.012090621,.008248996,.0032154357,.0013896408,.00069885841,.00034805835,.00010600662,.000030986244,.000010351764,0
.90512419,.78391331,.49162704,.30704558,.18017235,.10187052,.050110109,.015907034,.0047147693,.0012724425,.00074470934,.000085969688,.000037769198,0,0,0,0,0,0,0,0,0,0,0
.42186052,.57646632,.772461,.99650639,.80634642,.66637433,.44513607,.27118304,.15358207,.10405139,.062009446,.036301415,.016650302,.0087570557,.0040228129,.0010966633,.00083504868,.00020443895,.000090582747,.000019857873,0,0,0,0
.12727611,.074156158,.036409006,.021490673,.0091716703,.004058111,.0013854021,.00071821793,.0003052532,.000065373213,.000036395468,.000017491315,0,0,0,0,0,0,0,0,0,0,0,0
.09654852,.047952477,.016879812,.0059259725,.0020329887,.00057277078,.00016477949,.0001056022,.000020498072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.53379083,.73307145,.92115754,.84949958,.61128449,.54805422,.31978124,.18252379,.12451335,.078988694,.030025382,.025057288,.01162683,.0014490748,.00031015903,.00055666576,.00020374724,.000015248206,0,0,0,0,0,0
.5245598,.35273111,.20820414,.13050672,.060289275,.037591122,.015799934,.0082701948,.0036359362,.00089274981,.00031237971,.00017628509,.000061764535,.000016571181,0,0,0,0,0,0,0,0,0,0
.1792448,.075951129,.019984258,.0090098521,.0012075664,.00041218972,.00017105248,.000020379603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.24288395,.14225207,.075445123,.040333282,.017911049,.0078913653,.0030219958,.0012137804,.0003578811,.00023677835,.000049958067,.000022172728,0,0,0,0,0,0,0,0,0,0,0,0
.85070634,.59619778,.34826192,.15228851,.081250094,.02990075,.017029287,.0028265684,.0013569931,.00052079617,.00006590804,.000013462832,0,0,0,0,0,0,0,0,0,0,0,0
.80250239,.94926751,.65599501,.50612527,.3586517,.18389575,.09712337,.041429896,.022210414,.011269875,.0041277474,.0014498647,.00023239281,.00014425929,.000043119206,.000020281563,0,0,0,0,0,0,0,0
.031304199,.078309476,.17572218,.33649185,.58577138,.95530027,.64239097,.45057902,.176127,.10624612,.03035789,.0063044191,.0039208001,.00049100147,.00010849107,.000049111499,0,0,0,0,0,0,0,0
.78036743,.90636879,.54695958,.29810545,.12583657,.058942568,.011773501,.0044037104,.00092815462,.00026240558,.000093146293,.000011566583,0,0,0,0,0,0,0,0,0,0,0,0
.67617041,.52011317,.36639667,.24898204,.14212501,.10910525,.052054513,.035613999,.016543565,.0079049086,.005209025,.0023811555,.0005014604,.00029560542,.00011084077,.00010952051,.000044487275,.000011547513,0,0,0,0,0,0
.42640245,.64255273,.90587974,.89681357,.59461319,.38277584,.29442218,.15255052,.079818271,.027998773,.017176628,.0037808584,.0020500075,.0008027053,.00021760943,.000075409749,.000030987139,.000010052963,0,0,0,0,0,0
.14232863,.19919857,.26970154,.37143028,.51719689,.63058299,.78262883,.97022271,.80225712,.69913524,.56951094,.36886582,.34000385,.23785487,.1302446,.084605262,.070539922,.025738945,.018004285,.013682316,.0072884811,.0035635533,.0010956312,.00070728769
.50291765,.73879522,.99690282,.69693905,.43693587,.30444551,.14359155,.074731722,.030065706,.01258284,.0055877231,.0040186294,.00068547134,.00010548242,.000042385393,.000015325106,0,0,0,0,0,0,0,0
.38687846,.29246899,.22852357,.16598633,.11940333,.071519054,.045507986,.029188156,.017780636,.010987117,.0065036267,.0041154493,.0028756352,.00082194654,.00070078654,.00029582999,.00012930212,.000069386908,.000030214052,.000017444108,0,0,0,0
.52954644,.36106026,.23573436,.12872314,.073136583,.046581902,.02045955,.007424938,.0038373547,.0013602247,.00075554149,.00025642352,.00018630146,.000034077551,.000016693193,0,0,0,0,0,0,0,0,0
.79801875,.94710255,.67562139,.47013944,.29095554,.18722337,.096815236,.059740651,.025024138,.0092700524,.0030380117,.0017738477,.00068762229,.00015218384,.000036110527,.000010643498,0,0,0,0,0,0,0,0
.90685999,.88174361,.60951096,.4481445,.31495297,.16413189,.11425541,.06683068,.037802372,.018908331,.0065957261,.0031652292,.0016277533,.00044615217,.00031016037,.000042652417,.000018088969,0,0,0,0,0,0,0
.98838121,.75621533,.57054156,.40423527,.27444962,.17199604,.087703906,.059502814,.025798323,.011445876,.0058548315,.0028466925,.0013105089,.00049177074,.00015920661,.000051481191,.00001608815,.000014281762,0,0,0,0,0,0
.95567197,.78483164,.5638628,.36380884,.17243165,.094499022,.060415469,.028275654,.010158855,.0039199917,.001005142,.00029559885,.00012747259,.000026776372,.000022328339,0,0,0,0,0,0,0,0,0
.62211388,.95002079,.76735395,.48814687,.26575536,.1426174,.057167836,.021913171,.0077026994,.001857323,.00092157396,.00025092132,.000052099756,0,0,0,0,0,0,0,0,0,0,0
.70399415,.51405662,.32764453,.20846219,.12976462,.055785887,.031725347,.020355839,.0088700466,.002598275,.0010777102,.00034172565,.00013741739,.000059812312,.000023670693,0,0,0,0,0,0,0,0,0
.18686967,.11162706,.058250848,.028038954,.010064591,.0052009821,.0017546825,.0010319384,.00029353373,.00011930941,.000021884192,0,0,0,0,0,0,0,0,0,0,0,0,0
.7772609,.966304,.79185605,.50944138,.42914784,.28673697,.14964887,.093670785,.049934283,.024843309,.0092325937,.0051372363,.0014339011,.00098623999,.00025676985,.000099524339,.000044089211,.000014002829,0,0,0,0,0,0
.92104632,.83830863,.5848555,.44326097,.28415161,.16559161,.091024742,.042877492,.021855792,.0094109951,.0070956503,.0022125116,.0011529464,.00014419206,.0001312689,.000035235498,.000023088969,0,0,0,0,0,0,0
.50338036,.71999031,.98183036,.7649312,.50109398,.28067482,.15059373,.10561795,.037215304,.018664865,.0066607553,.0033542602,.00055983593,.00019627021,.000078768549,.000024530947,0,0,0,0,0,0,0,0
.53628427,.7582829,.99083757,.74492884,.53720069,.32387954,.1987187,.10634437,.047018684,.034942959,.0089660781,.0043064803,.0014520672,.0005134907,.00024195618,.000050038227,0,0,0,0,0,0,0,0
.35352227,.17972802,.090098098,.034260295,.013354899,.0032281168,.0020861162,.00042715488,.00019799173,.000016383206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.057803772,.12369717,.21719089,.41144189,.61990482,.84673023,.79348439,.50160754,.3281467,.17817099,.092584535,.035873823,.015646363,.0045202994,.0019307239,.0010473583,.00012464494,.000031783817,.00001198819,0,0,0,0,0
.42398211,.24637808,.14452136,.057501104,.025818905,.013470978,.0031004264,.0018832654,.00040475329,.00022281303,.000025379739,0,0,0,0,0,0,0,0,0,0,0,0,0
.97176498,.7046966,.46507099,.28543732,.17409411,.092638902,.048032947,.021817692,.0084855333,.0034197248,.0013051244,.00060538918,.00020683015,.000028387127,.000021875983,0,0,0,0,0,0,0,0,0
.59780413,.85214674,.89506125,.67030168,.44004342,.29605994,.17914279,.087063029,.04744757,.020687731,.0074654878,.0030450861,.0017733597,.00034835859,.00012495607,.000065184882,.00004248854,0,0,0,0,0,0,0
.0047031506,.016007483,.058716524,.1305199,.37986279,.75790679,.95017385,.44333288,.28528881,.058332566,.025875257,.0049435114,.0010773161,.000081090031,.00002487233,.000016889189,0,0,0,0,0,0,0,0
.7813586,.57198131,.37859505,.25347874,.14253369,.08420372,.037453525,.022819817,.0093797185,.0035010255,.0017528824,.00055652665,.00021730164,.000087155961,.000022644746,0,0,0,0,0,0,0,0,0
.70993674,.99122399,.73093504,.43689096,.24998993,.15397777,.057361975,.025691601,.012020033,.0037479722,.0011031532,.00047840676,.000056436795,.000032652501,.000011448846,0,0,0,0,0,0,0,0,0
.36877438,.64862126,.90740371,.73977524,.48936087,.28052923,.13090329,.062089007,.027195318,.0095844083,.0020111974,.00065590744,.00019628869,.000029170955,.000018002982,0,0,0,0,0,0,0,0,0
.0052625826,.01591753,.046565559,.13086903,.25404209,.42190406,.77485693,.81562668,.53008014,.2445026,.10374344,.051389351,.021583201,.0067401305,.00062551792,.00014135343,.000059656712,0,.000010627361,0,0,0,0,0
.34334141,.20943035,.12294972,.05359925,.027900558,.0067951423,.0046189763,.0013091885,.00032238071,.00021548312,.000049879272,0,0,0,0,0,0,0,0,0,0,0,0,0
.99007565,.72192115,.47603279,.29900104,.14717928,.10358214,.046580445,.016328476,.0087995464,.0026352743,.0013590105,.00060682901,.000074134652,.000051728217,.000010895343,0,0,0,0,0,0,0,0,0
.57767999,.76668864,.93945795,.81033123,.60195863,.36066443,.2648522,.18610041,.093086556,.071724445,.019408403,.010142681,.0060665435,.0029765111,.0016150008,.00038681587,.00030693327,.00011080152,.00001695812,0,0,0,0,0
.063569777,.023338106,.0093261329,.0034419585,.00100098,.00028495208,.0000803648,.000014170348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.68709511,.50555712,.34558299,.19614227,.13762888,.064633943,.029296329,.021590568,.0087637072,.0035504038,.0011892495,.00051161431,.00029008256,.00011729181,.000033373399,0,0,0,0,0,0,0,0,0
.18241721,.11756457,.069274545,.037540011,.021097148,.0094512962,.0050233384,.0021115749,.0010143984,.00037687618,.00014576397,.000058903002,.000017351753,.00001220205,0,0,0,0,0,0,0,0,0,0
.082066022,.1742163,.35068297,.53585511,.8735227,.7632302,.50304836,.32097653,.14127573,.090967968,.040443182,.013363862,.0026185028,.0017254653,.00041822233,.000027826753,0,0,0,0,0,0,0,0
.37872142,.18902737,.066241696,.026773395,.0065257465,.0017130814,.00039422169,.00010318942,.000015387897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.78818345,.92656577,.62483436,.47103918,.22631581,.14482598,.044709291,.021905309,.01014174,.0024106384,.0014091949,.00018096274,.000096565651,.00003918081,.000011822631,0,0,0,0,0,0,0,0,0
.061540581,.13314547,.25633714,.49890313,.73807007,.96031064,.64178663,.34707403,.11597814,.056614116,.031172046,.013091915,.0041607697,.0013506609,.00031260165,.000086038061,.000021611302,0,0,0,0,0,0,0
.49825385,.31611368,.16828576,.11163769,.054633997,.02799033,.013389139,.0038641149,.0023386443,.00080272398,.00042275581,.00011160657,.000036799753,.000022016147,0,0,0,0,0,0,0,0,0,0
