p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20
.24486558,.30767217,.42628723,.56994283,.67434347,.86648363,.93578619,.717884,.62509108,.43915886,.28338784,.22172929,.1227945,.097818367,.066261277,.026715692,.011275894,.003932687,.0022524088,.00037667769
.17008929,.12618506,.064680785,.046697449,.025947234,.016672499,.0054240925,.0021672579,.0032406461,.00095725246,.00066554459,.00010420538,.00010003186,.000062374755,0,0,0,0,0,0
.68316573,.45083615,.29331595,.14794283,.080823839,.033477407,.010404837,.0050177616,.0022332279,.00051480724,.00012286491,.00002441504,0,0,0,0,0,0,0,0
.54353893,.40231785,.32787502,.19225203,.13225473,.097842723,.059657075,.041411895,.015349154,.0089823725,.00450709,.0021900153,.00092874124,.00034401708,.000064667423,.000042272761,.000030655101,0,0,0
.0031035109,.0014172608,.000433851,.00012398753,.000035079942,.000022463451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.52492827,.6963684,.82287914,.94845635,.69777644,.54027385,.36583593,.2541123,.2089633,.083298706,.057728481,.020788584,.018964782,.0082029272,.0021016763,.00033922514,.00028920753,.000075365111,.000017881792,0
.12801665,.097629994,.059348375,.041651618,.024073992,.015542654,.011446262,.0063262703,.0034962248,.0017771048,.00090314285,.0005980921,.00028725667,.00013292798,.000070545444,.000019734232,.000012055512,0,0,0
.38757336,.50253648,.69650906,.86282182,.71718109,.59776407,.48093146,.31895533,.20418124,.11631703,.060996365,.021160195,.0061921459,.0047943215,.0039776149,.0013386681,.000094193892,.000045699602,.000024992891,0
.79607522,.65620703,.5453195,.42862758,.33147535,.25753486,.16822423,.09957546,.078060806,.049760461,.023379143,.019589957,.008846323,.0072375918,.0041551683,.0023014636,.00051997585,.00059934583,.000068933135,.000035150806
.30544844,.39569637,.55535424,.62454116,.76590872,.98167217,.85862106,.71972477,.51629579,.40683445,.2261654,.18755746,.12125026,.080013566,.023199432,.024359157,.0060201441,.012898219,.00063992664,.000094651579
.87193948,.73505527,.40198198,.38346261,.27918303,.21486089,.11844624,.04359252,.037667915,.0083960351,.0067043961,.0034629027,.0032118321,.00085201731,.00001625004,.000036342757,0,0,0,0
.0026752648,.0046318648,.009351559,.030421885,.030117569,.063504517,.21133816,.22019044,.19354931,.71317279,.84170616,.98557997,.73513108,.56503212,.24958657,.080561608,.029093759,.035520088,.0021136168,.0040159835
.81794381,.64013857,.44082889,.29429638,.17738606,.11157843,.075739242,.04690817,.016565528,.012095422,.004870391,.0018595802,.0009637269,.0002782575,.0001218364,.000017800121,0,0,0,0
.096790135,.15345216,.21192063,.28687292,.44508892,.5580042,.70805043,.88499761,.89367324,.68636918,.49743721,.32694757,.25856343,.12901656,.077789642,.037584946,.016604925,.005663638,.0055082478,.0009477695
.65129966,.54207689,.4275938,.35700077,.2572391,.17788938,.14507708,.099682979,.068451896,.035375282,.028569013,.013336853,.011434123,.0043734433,.003225184,.0015671124,.00052447326,.00037329027,.00019840029,.00006041666
.85340822,.70462638,.50805867,.46430391,.39311638,.24308753,.17434405,.077341974,.053881329,.035259284,.00852721,.034801986,.013144503,.0044825636,.0014445712,.0011826754,.0011983061,.0003423384,.000066459681,0
.08801277,.14609243,.26570287,.43899387,.66113502,.79682344,.90196431,.62081158,.51748115,.24274954,.16160299,.06225574,.011507687,.0028689478,.0015992913,.00016091352,.00014350642,.000011421099,0,0
.98749006,.92203981,.89357275,.83465856,.73270351,.66245073,.63671273,.58536029,.42531076,.43785238,.36298802,.336766,.23370939,.25553998,.16560765,.12786925,.17061128,.11536092,.07136178,.062867649
.80771375,.99322128,.79507029,.59323364,.46443453,.32576752,.19970676,.11745319,.073152758,.032472976,.022767069,.0069044805,.0045160768,.002160365,.0010105956,.00030732961,.000052183917,.000027903337,0,0
.040641103,.079307273,.11428211,.18707576,.28029197,.42745048,.54334897,.88123405,.8898108,.63194519,.53539288,.29879421,.16105533,.084795371,.051660221,.011544171,.0056080874,.0033525871,.0012953306,.00029472954
.18984611,.28130648,.39843699,.54914951,.76158202,.938021,.85662091,.61433059,.42759934,.28293335,.10786799,.082181707,.034447007,.016657736,.0060417168,.004152569,.00079006812,.0004374471,.000074744072,.000014094258
.30253968,.47144237,.74708432,.99802476,.85373574,.58466989,.29696563,.18173897,.091381893,.051633559,.016233083,.0055622444,.0012731346,.00025847438,.000088187517,.00003220269,0,0,0,0
.86065787,.97955221,.84882593,.71895278,.57272327,.50830007,.39521703,.22198226,.18573791,.12638937,.09983696,.052621864,.031702749,.015942857,.01188578,.0044161859,.0034678152,.0011045184,.00051741552,.00018137963
.8699199,.97387528,.81147605,.66085023,.50147486,.44915682,.26040161,.18714094,.14824106,.089679018,.049561121,.029491622,.014722452,.0080926931,.006519469,.0048453705,.00080898515,.0005329405,.00023074038,.000096016251
.38256243,.54863131,.83792061,.95385206,.72536594,.39754027,.17268713,.096949935,.10587953,.023545329,.010483731,.0027004865,.0015819566,.000058623031,.00011991895,0,0,0,0,0
.77599913,.9103986,.99805945,.84584302,.7395575,.63518745,.47958219,.37164712,.30895826,.23476747,.14200442,.11795853,.076332763,.048424281,.035568595,.015295165,.0088974508,.0052255536,.0025975236,.0016957894
.48111293,.34325093,.23897126,.14958876,.090548337,.037578695,.026765704,.010636273,.0091469875,.0028259463,.0010826172,.00034730491,.00015220382,.000061412647,.000015600328,0,0,0,0,0
.94542211,.81916511,.5424161,.33812892,.21309236,.10801268,.068478264,.0438684,.0093114004,.0018843713,.0011367885,.00033163576,.000058619422,.000055170847,0,0,0,0,0,0
.52672166,.38078696,.23554647,.18501677,.12293722,.054900397,.036685083,.018305505,.0083031133,.006557663,.0013557761,.0013978768,.000084482774,.00020238489,.000016732023,.000028836172,.000011432324,0,0,0
.42124492,.31200454,.21532565,.14262328,.097663775,.071122967,.040238976,.016089454,.0098773921,.006583801,.0040064794,.0011693522,.00076354021,.00061205891,.00013845021,.000071487062,.000016935848,0,0,0
.53204125,.8106817,.96689111,.71289665,.41989443,.2335182,.082834825,.046186745,.019772824,.0071727987,.00081111281,.00094195013,.00018460768,0,.00001031109,0,0,0,0,0
.44476113,.74027723,.86715209,.58798724,.33581403,.17757493,.067520872,.021680623,.0065637943,.00052833476,.00058185798,.000037611568,0,0,0,0,0,0,0,0
.49888998,.67458951,.76233298,.90808618,.98525107,.7179327,.48642334,.38599217,.24824931,.27657637,.1112111,.074951716,.052743841,.030970473,.012722578,.0067043062,.0011491423,.0008980651,.00031227936,.00036132775
.9745664,.75551087,.58472735,.3624143,.2722936,.15994532,.092374332,.029055785,.013980807,.0088269683,.0026009672,.00077611458,.00062156771,.0002632094,.000017549513,.000017363089,0,0,0,0
.9869315,.82545191,.65403348,.46536863,.30910116,.20757194,.14891818,.10755862,.04217805,.027229493,.017604776,.0077263052,.0026460274,.00078982703,.00045582419,.000081246762,.000053972773,.000038522619,0,0
.19793646,.28215742,.44438577,.686396,.80804461,.9996078,.71096194,.47902924,.26683852,.1986243,.145477,.06709265,.031050581,.015762649,.0035499313,.0025584837,.00084006973,.00016612963,.000097197946,.000021875163
.56748104,.75901812,.98329616,.7553919,.63125932,.37749106,.22277108,.21333998,.071001038,.033809453,.023643292,.0041447491,.0030732856,.0016323016,.00051142648,.000051218107,.000016919583,0,0,0
.37037361,.27298868,.17318027,.12123206,.066168055,.045741886,.023051284,.016102888,.0059879147,.0030314731,.0015653062,.00063462486,.00022956352,.000087195564,.00003870434,.000013898713,0,0,0,0
.77645308,.59733737,.44114655,.30024144,.20579518,.10372152,.085105486,.045705825,.014682949,.014920644,.0018007209,.0011214834,.00064858369,.000036989291,.000036988269,.00002926908,0,0,0,0
.08972884,.040672123,.015182153,.0078122336,.0023668837,.00082022679,.00024611081,.000047289705,.000036347228,0,0,0,0,0,0,0,0,0,0,0
.0040053809,.0013019132,.00056811137,.00020218804,.000051103209,.000012626485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.26081091,.33899885,.4254218,.5557211,.67899585,.78486234,.94404703,.85104281,.74690014,.62683016,.48012501,.35108656,.24572819,.16406195,.13323715,.099789977,.057680558,.028187612,.019443158,.011202875
.36584014,.27894461,.21427238,.14287353,.095917277,.047689907,.027740853,.014182174,.010126869,.0080721369,.0018405929,.0013713225,.00043419405,.0005182462,.00016519339,.000083919564,.00006109196,0,0,0
.74226761,.63267952,.46148273,.33528879,.26388079,.18671446,.1466987,.079318926,.064186893,.043196663,.025518365,.015746174,.0056484076,.0042738398,.0016333997,.0007713805,.00071971124,.00016226716,.000052210526,.000034612469
.18748596,.12211838,.075152807,.04298757,.027352093,.011609901,.0056515289,.003737434,.0018628808,.00037384251,.00015415097,.00010937048,0,0,0,0,0,0,0,0
.94470239,.92043662,.73570031,.61792058,.48081344,.41190058,.27993804,.23832537,.13347979,.10180827,.067654707,.036804944,.016578849,.012554551,.0041200891,.0013659851,.0010989254,.00037818181,.00043953664,.00016613772
.017475855,.010550639,.0061811348,.0046032057,.0018248843,.0009941078,.00032885879,.00013970374,.00022734625,.000071240494,.000022023201,0,0,0,0,0,0,0,0,0
.48615304,.60936552,.7866596,.9632262,.91755652,.74547029,.59159148,.38048849,.30982488,.23020941,.19849373,.071750045,.053833235,.027961969,.01066937,.0080189817,.0031477553,.0012210723,.00031349293,.00021705496
.94269985,.86849225,.67902273,.39623499,.29425713,.12628813,.083836198,.031418279,.029291831,.0047635157,.0046305489,.00084237126,.0001833797,.00011023308,.000020302048,0,0,0,0,0
.93280631,.86764967,.66602194,.48985004,.30978313,.21303278,.15303296,.074054107,.034686998,.020578362,.011805806,.0029979523,.0015822547,.00021187871,.00016531059,.000026974563,0,0,0,0
.39904076,.55559826,.69838959,.91824573,.80060887,.63334644,.43090257,.27114773,.1527662,.059402458,.023038246,.013677028,.0059323101,.0027067347,.00054817623,.00015114753,.00019262408,0,0,0
.45517999,.66453856,.96710241,.79833353,.41915652,.25322348,.17354374,.07232815,.046725303,.0096724788,.0041629216,.0012112103,.0003390864,.00013084084,.000010530222,0,0,0,0,0
.22966215,.13257949,.071806654,.03544879,.013012689,.0083363447,.0033288607,.00094218104,.00040911103,.000050417606,.000026078804,.000012937857,0,0,0,0,0,0,0,0
.87937981,.72161955,.57394499,.42079902,.28079596,.18082847,.10018572,.085628487,.038183089,.020869477,.014557141,.0053470749,.0023196272,.0016324904,.00050300325,.00014307609,.00007636856,.000034876237,.000017583423,0
.6741761,.48150438,.27996612,.11978583,.083399087,.049571648,.011785226,.0062142564,.0023369496,.00042425134,.00028503197,.000028653876,0,0,0,0,0,0,0,0
.55958068,.4580712,.3622666,.28809997,.22384992,.15852286,.092325129,.050888535,.03820226,.030193221,.016083097,.010405831,.0059974892,.0039068717,.00081719813,.00086192496,.00054845127,.00015412767,.000083800347,.000062401567
.024498455,.049657207,.11008306,.25746319,.35879025,.5826295,.99617749,.74539524,.52358848,.26965934,.085389547,.057558499,.0071690064,.0013167487,.00068931235,.000026465263,.000062431121,0,0,0
.031766567,.02082631,.0095928628,.0058346037,.0028222131,.0023907688,.0011595819,.00050178746,.00011478407,.000085754524,.000039763927,.000018799386,.000012506073,0,0,0,0,0,0,0
.9359839,.86471564,.67006004,.51681364,.34588867,.23591456,.13367164,.071442202,.028861199,.0088687101,.00077221222,.0014499755,.0032852599,.00014107225,.000019309105,0,0,0,0,0
.57919675,.73225647,.86144763,.86788476,.77209193,.4989624,.31274745,.24013688,.18181087,.032218713,.057253987,.041170012,.0060774852,.0010663919,.0008224796,.00092707161,.0005417848,.00005813429,0,0
.84229356,.68671209,.55591291,.44527641,.36403501,.23486945,.15030037,.10135657,.078946084,.056932896,.043136045,.014755503,.0038063049,.0029119817,.0012207787,.0018695793,.0005754123,.00018007202,.000051196334,.000031430904
.52123165,.33098477,.19286257,.11189485,.076521598,.028556207,.017069776,.0086573372,.0033310195,.001292572,.00038016497,.000046773479,.000019269028,.000017782755,0,0,0,0,0,0
.33694252,.30767176,.28344485,.25529462,.2286579,.20196608,.18573208,.1684549,.14442471,.12297706,.10766523,.09209957,.07616505,.063511476,.061071403,.045373544,.035749923,.029493842,.025200071,.021111367
.96755576,.73710394,.48534441,.33801237,.24476512,.12919527,.068816558,.03935333,.017339824,.0050078952,.0019244991,.00064591726,.00026955074,.000071256138,.000013181557,0,0,0,0,0
.15947904,.11782485,.079348877,.06226502,.041892339,.021330414,.011709021,.010994728,.0065618637,.0030745142,.0020738181,.00067801052,.00026635217,.00016749447,.000085301755,.000033405435,.00002019645,.000013206047,0,0
.51942664,.36367691,.25140673,.16499656,.098134674,.036604468,.02852411,.012444649,.0039667003,.0016569111,.00055249222,.00024898615,.00015537626,.000037713919,.000015116233,0,0,0,0,0
.16104709,.20786253,.25575978,.29541877,.36362532,.46097517,.50177592,.63312298,.74812883,.81928813,.99664205,.90587837,.75938129,.69288343,.51315778,.46679705,.29424119,.24641618,.20457929,.14840519
.50939786,.31414321,.17821003,.10860844,.045797121,.027226618,.011217796,.0015663397,.0013635728,.00028969694,.000086203283,.000031409934,0,0,0,0,0,0,0,0
