p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.065145344,.17502768,.40473655,.69844949,.84010506,.46705666,.22819893,.077307247,.021691121,.0031404742,.0012779841,.00022761108,.000026326945,0,0,0,0,0,0,0,0,0,0,0
.61343199,.29630044,.1053534,.024716618,.0087286793,.0017428551,.00045175391,.000031771462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.80925333,.46902478,.21839218,.087527752,.02857073,.0076100808,.0016545107,.00031681833,.000071943345,.000015417125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.71601522,.33903471,.11265851,.033563126,.0058977958,.0010930606,.00018104752,.000028828897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.21048483,.11974648,.061914187,.02996894,.013731982,.0044460464,.0023170284,.00078046444,.00029418018,.000095506934,.000022269765,.000012187321,0,0,0,0,0,0,0,0,0,0,0,0
.67452669,.39049846,.17971268,.066879675,.02425177,.0077874614,.0018188508,.00036895429,.000081718004,.000014531873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.6676895,.28495833,.086679548,.020111887,.0025281273,.00029867352,.000048612204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.13728485,.38711789,.85391879,.67426372,.28514057,.085274078,.015555061,.0016848884,.00033946283,.000026349617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.18389861,.051009279,.0088558653,.001014587,.00014497965,.00002507727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.34011781,.10132723,.013711885,.0025739777,.00025536044,.000014395201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.23619772,.085680671,.024316741,.0055985376,.0013966868,.00018608866,.000046516117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.15939739,.24999845,.40946788,.58029437,.7686407,.96137619,.71966404,.53625041,.35372147,.21224196,.1193395,.066703416,.038051821,.013223419,.0077490536,.0022145098,.0011032771,.00052517536,.0001644655,.000038496099,.000015690959,0,0,0
.91873461,.48595256,.19474146,.048915558,.01071789,.0016196505,.00011071481,.000034068988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.60340679,.2658163,.089229256,.023629557,.0061648381,.0010930628,.00017965285,.000026387403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.45710883,.92613405,.60547841,.21172363,.061793379,.0132884,.001979674,.00027418535,.000025443929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.38146079,.17188917,.058582366,.01661505,.0065233926,.0010687968,.00020686288,.000044730525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.13146399,.056937806,.02319424,.0093845809,.0034728595,.00090678665,.00025111661,.000075439639,.000014992944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.31932411,.69501871,.74635959,.36038238,.092141792,.021940846,.0040316894,.00056277565,.000028040189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.70809251,.32214019,.088494822,.018757055,.0032073206,.00057400478,.000059046644,.000010275229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.523947,.3117559,.16457722,.06991253,.029173182,.010843143,.0032028516,.00083133508,.00030262949,.000082358463,.000021004302,0,0,0,0,0,0,0,0,0,0,0,0,0
.10093223,.016870068,.0015438073,.00011281706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.47577748,.94887531,.57110488,.2275632,.057662137,.014121562,.00142408,.00021315436,.000033664579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.27284434,.56905198,.96208113,.60822207,.30254987,.15457429,.043252144,.010458588,.002498559,.00029921101,.000092200571,.000013381848,0,0,0,0,0,0,0,0,0,0,0,0
.16478644,.36648622,.6590746,.92253679,.54753649,.26993322,.12396657,.039683118,.010845821,.0020898241,.00044741525,.000067721332,.000014676796,0,0,0,0,0,0,0,0,0,0,0
.85201675,.67241156,.29657742,.11730973,.027106458,.0060898745,.0008316887,.00016001024,.000021243386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.83377004,.43273541,.23391886,.084412046,.026473146,.006239268,.0013139154,.0001621796,.000048144164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.45759639,.99440426,.42100406,.12113383,.029782224,.0028346223,.00025111469,.000026057956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.14162621,.041472554,.010509975,.0017099275,.00026354243,.000037539739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.89465743,.65720367,.34115633,.15116532,.048526116,.013153252,.0027691126,.00059416611,.000071920767,.000010078783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.16850056,.050714523,.013014481,.0022727158,.00041082769,.000065869957,.000010689767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.44790584,.14030644,.028528731,.0039202804,.00040054353,.000066398345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.47793606,.8899647,.6719746,.29993132,.1114126,.029430458,.0070689721,.00099154806,.00036442006,.000040336748,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.77313578,.73750669,.30889115,.1321896,.034132935,.004745617,.001183109,.00022907463,.000011476474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32172337,.52317834,.749111,.94712287,.6749891,.44516632,.26552883,.12173066,.059488874,.028751576,.01049958,.0035074938,.0014636802,.00039558593,.00014227064,.000038195478,0,0,0,0,0,0,0,0
.75544244,.73948926,.30028877,.10632987,.027725831,.0043175542,.00068506919,.000072860283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.035419468,.0068798801,.0011160771,.0001812457,.000035987723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.80711687,.80915833,.43772033,.18818863,.0636838,.020589197,.0085163768,.001442942,.00030744553,.000038827457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.15046336,.038832456,.0090044495,.0010995434,.00011730436,.000019343081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.94069541,.5533092,.26673254,.10317489,.032288261,.0069297208,.0015230901,.00023317005,.000033183987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.31393626,.10514992,.027615275,.0065641133,.0012683099,.00016066653,.000019793846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.75057524,.32707119,.11201099,.025940953,.0048198807,.0006594999,.000095873998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.80038929,.43226483,.18314245,.057662383,.017842822,.0027534361,.00085585564,.00017359677,.00001854334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.5914619,.20675269,.044579115,.0056913719,.00037178517,.000073281954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.21223137,.42736506,.69529694,.99491543,.64360857,.40485698,.18585075,.087656908,.037897982,.0096133081,.003075459,.00085244956,.0002000213,.000037606362,.000011128308,0,0,0,0,0,0,0,0,0
.55208892,.83153033,.83548146,.54862273,.30125836,.15660228,.083268873,.034189958,.010164977,.003216669,.00095925643,.00022139236,.000041831714,.000015483183,0,0,0,0,0,0,0,0,0,0
.54047769,.89493078,.71037567,.40407148,.18469381,.058998007,.021752363,.0068551083,.0012722277,.00019786162,.000057949805,.000010932092,0,0,0,0,0,0,0,0,0,0,0,0
.23846787,.087835349,.021053392,.0055230027,.0010302989,.00020324533,.000027014148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.24099894,.087081596,.025151033,.0059034266,.0011415583,.00014454989,.000026515299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.56951261,.31449243,.16061462,.071266972,.028304221,.0097334338,.0037511354,.00096067105,.00030420261,.000072567884,.000013154644,0,0,0,0,0,0,0,0,0,0,0,0,0
.78863943,.37369573,.1279466,.037157152,.0069406168,.00090712646,.00014037178,.000018817447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.7038005,.86244333,.43707573,.16294564,.058313448,.012249189,.0027545504,.00060584472,.000049016984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.30397689,.4772526,.73827285,.99751002,.7223841,.45734021,.24531689,.16005138,.061684739,.03505009,.01025537,.0037443028,.0017810919,.00038709232,.00017819223,.000038081595,.000013731585,0,0,0,0,0,0,0
.31315118,.11316583,.028431229,.0059834467,.0006789653,.00013624286,.00002391861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.027769867,.13878058,.4130649,.86472058,.5033955,.22521183,.053747613,.0057911058,.00110961,.00012609767,.000012169644,0,0,0,0,0,0,0,0,0,0,0,0,0
.91466552,.65757614,.29750225,.10853539,.028612671,.0078126658,.0010053295,.00014868684,.000021754133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.016892176,.0048907283,.0011300689,.00028695902,.000045929854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.65954977,.95864677,.74915779,.52978593,.29032603,.13518567,.072808713,.029279703,.011075292,.0036392307,.0017136527,.00047465443,.00012738071,.000020669791,0,0,0,0,0,0,0,0,0,0
.04592713,.011968971,.0024626092,.00036094798,.000077650671,.000011711643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.0092322286,.030625183,.089227803,.2257589,.48987475,.9233197,.69709986,.33316579,.16705535,.057481725,.021323651,.0048682792,.0007707359,.00010429078,.000028700029,0,0,0,0,0,0,0,0,0
.31470764,.60431784,.96921015,.65199751,.36712277,.15641366,.047657255,.01819169,.0055648605,.0016199611,.0001412584,.000030640407,0,0,0,0,0,0,0,0,0,0,0,0
.30149868,.57701105,.94919038,.71337116,.364205,.1420745,.05514038,.018235404,.0054706098,.00070421799,.00027176089,.000032762382,0,0,0,0,0,0,0,0,0,0,0,0
.77436161,.35206661,.12475555,.033902705,.0042634509,.0007735836,.000094275129,.000012741485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.022778504,.016025068,.010790505,.0071347198,.0045030229,.0029664426,.0018194917,.00119278,.00071993173,.00041265154,.000271978,.00014377008,.000091107227,.000052188054,.000030232124,.000017454537,0,0,0,0,0,0,0,0
.048319709,.13835943,.35243997,.749219,.8123849,.41053635,.1425733,.044030968,.013011408,.0024509255,.00046002609,.000060984119,0,0,0,0,0,0,0,0,0,0,0,0
.1762739,.055704989,.01031109,.0018479563,.00030977969,.00003861912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.43962502,.16620801,.046033215,.0097874925,.001234916,.00020342096,.000017699596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.29788497,.17078368,.082561411,.044683091,.01867854,.0072343578,.002677592,.0010282907,.00031156206,.000095074931,.000036906622,.000012429598,0,0,0,0,0,0,0,0,0,0,0,0
.88795543,.6554901,.3084532,.10504381,.028760752,.0057946611,.0012914663,.00028933369,.000026823995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.66910625,.2826581,.080856591,.02442891,.0031833216,.00055308285,.000027919823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.11649363,.33977851,.75891596,.75261611,.3365719,.1079312,.022733644,.004941762,.00056331401,.000055976026,.000010002578,0,0,0,0,0,0,0,0,0,0,0,0,0
.46430439,.79313469,.83161896,.47707093,.22854443,.12018233,.031721007,.012028171,.0031327498,.00067683653,.00015606666,.000026661122,0,0,0,0,0,0,0,0,0,0,0,0
.57626045,.96677673,.52565855,.19753614,.069790162,.01889375,.0022324852,.00054803427,.000046421308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.67858481,.37445566,.1825693,.072119385,.027525654,.0063065393,.0016775155,.00029524701,.00010842887,.000014147132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.90641147,.61643463,.23886849,.05507151,.01310994,.0017768495,.00024888676,.000017696817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
