p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.024346001,.12364206,.45099738,.99841964,.44657871,.12344187,.02876376,.0032588686,.00018622058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.33027002,.093523994,.019782627,.0021898823,.00024300662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.63486838,.91574734,.49505636,.20470844,.065154493,.013894137,.0019359656,.00024621407,.000014067712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.16092579,.035185371,.0052400627,.0006303339,.000032728934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.082781158,.020302219,.0031706202,.00035964447,.000033952816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.24573399,.052802011,.0066757514,.0004696463,.000014903238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.90354437,.49186552,.12679175,.018274561,.001750297,.000052680945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.34820214,.94939864,.47818598,.098580934,.012301819,.00075405434,.000015042718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.66204351,.27186859,.066095904,.011225274,.0011353031,.00012534588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.5705027,.27381089,.10050038,.03318302,.0061966572,.00066834339,.00014790644,.000013101436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.066770464,.012439146,.0014586285,.000083970532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.098276019,.16370495,.2647104,.41173637,.56066757,.80299515,.98058718,.73143786,.55938822,.36316079,.22825779,.13118125,.07462237,.036249291,.014883069,.0056014475,.002919958,.00067775772,.00025517415,.000045854518,.000011430874,0,0,0
.44916415,.91153264,.62481439,.1993749,.062943444,.012146531,.0012595968,.000080084523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.330143,.87092125,.49958447,.15108798,.022636328,.0023348092,.000076353521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.65544194,.23502028,.056991067,.010429192,.00079555041,.000038324797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.020180263,.002496904,.00020241184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.034213994,.006931812,.0011749079,.00014447951,.000017544977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.65628159,.83539015,.34992021,.10456816,.018190624,.0023096902,.00027615542,.000012542121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.66243356,.19325283,.032040473,.002826391,.00012600629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.52611297,.24500205,.09298493,.025847889,.0053842263,.0010690524,.00012069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.94514555,.58685106,.22703373,.074786305,.01330057,.0016151238,.00012951858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.68674612,.34389946,.14438692,.045444801,.010513819,.001897726,.00022362781,.000018178829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.87864494,.63383496,.2600863,.07181672,.018376697,.0023765864,.00016006101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.25108254,.60974592,.93636519,.47539905,.16823709,.044169087,.0087309284,.001021302,.000081095262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.88900477,.32725635,.075129382,.0090146037,.00055207883,.000012571666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.27168444,.66062802,.84331161,.44770777,.11970203,.0401842,.005153853,.00058436318,.000038172551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.9801026,.42459255,.11491518,.015314517,.0017222998,.000045215296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.9398182,.6074906,.27223507,.087846585,.021343231,.0029302356,.00037983351,.000032103715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.3166658,.91536105,.51514441,.12722619,.014640386,.00088360364,.000027465658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.072649941,.010256676,.0010244688,.000043239394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.040171292,.0047788909,.00039662659,.000012872188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.056600023,.2525551,.72285748,.71190238,.22169727,.039450899,.0052086907,.0003162254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.79947817,.55626124,.15190935,.026622284,.0018300496,.000059860024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32990831,.79275984,.7322008,.29039654,.075308777,.016628878,.0020667238,.00014666162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.56271064,.83261061,.28118601,.074138805,.010782342,.00060656021,.000016758833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.73226088,.25829011,.053515859,.0056065614,.00045307216,.000011167576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.52970535,.76131904,.24424675,.030730395,.0028790659,.000083781299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.33786353,.13338742,.04149678,.007849291,.0014254833,.00012523096,.000013836565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.97938836,.50479567,.1567744,.030854546,.0045873332,.00031867952,.00001114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.23587678,.041068871,.002998071,.00017226645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.48650992,.20239024,.066259407,.015151255,.003082531,.00029389092,.000020855632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.56629801,.20880735,.045034315,.0065936083,.00052848313,.000030646581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.30210483,.097336136,.020776654,.0027899195,.00024564523,.00001834146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
