p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.042256195,.14926559,.45333448,.91874635,.56758922,.20971225,.075899243,.01529416,.0025451048,.00020570157,.000035873752,0,0,0,0,0,0,0,0,0,0,0,0,0
.34745419,.11843126,.03412075,.0065081785,.0014081004,.00016590465,.00003432529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.67939085,.93134052,.56164712,.27976426,.11946485,.039421324,.010622037,.0029580677,.00053699431,.00012543045,.00002171403,0,0,0,0,0,0,0,0,0,0,0,0,0
.15306468,.034738511,.0056556528,.00098300667,.00010205166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.19026494,.07972037,.026506089,.0077680913,.0022822868,.00043151825,.00012221736,.000021732287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32871926,.10549206,.024527026,.0046506175,.00055648497,.000058496629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.89627868,.48745406,.12755668,.018683471,.0025603694,.00015028418,.000012209232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.38793275,.86378276,.66178817,.23236492,.068633385,.015468084,.0017153155,.00020447752,.000038747388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.60851365,.22293872,.047470134,.0077366182,.00073771592,.00012058335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.38744661,.080226578,.0082484121,.00090923533,.000032180324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.11285044,.032902397,.0078426264,.001239202,.00021494762,.000032895714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.084714383,.14847863,.25280413,.41325253,.58037084,.85552448,.90005976,.62994611,.45557934,.26734623,.15304995,.07922262,.041070461,.018653264,.0067234035,.0025711346,.0012837142,.00032118199,.00013740669,.000027349814,.000010326778,0,0,0
.51286578,.99999404,.54127592,.16099587,.051153187,.010015472,.0013524293,.00017914498,.000020369574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.4211995,.91452825,.53769135,.20681606,.050997149,.010904242,.0013528342,.00015237438,.000011856161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.72428107,.34831366,.1359541,.046492968,.010500585,.0019719116,.00036411747,.000054722448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.033394564,.0065160985,.0010257565,.0001410339,.000021896773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.0181017,.0032997674,.00055923383,.000076689757,.000013004365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.62853068,.82966453,.32107961,.089047618,.014491835,.0020706989,.00030845703,.000029283945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.60598511,.17298068,.030123141,.0039189593,.0003739667,.000027044032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.51967585,.25028998,.10213292,.032623712,.0088370265,.0024530708,.00049033848,.000076249227,.000017122074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.97368395,.35606104,.065300189,.0095966654,.00043536356,.000024733543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.39871234,.068870358,.0078298561,.00048817587,.000022676029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.89855903,.64038819,.28819481,.091948815,.030902931,.0053873993,.00082812394,.00011073486,.000020240697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.2563388,.60653931,.94699979,.4922429,.18389118,.054032914,.013103797,.0025156233,.00037721184,.000030213921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.81308341,.34394419,.11149727,.023452604,.0039382149,.00039325529,.000036381982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32876948,.7081567,.83321917,.46819282,.14918377,.060800344,.011844805,.0027077296,.00040090887,.000075452466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.9911114,.50882512,.19541404,.049204111,.011889321,.0013676393,.00019261736,.000025570955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.9788183,.51533896,.21066192,.061477084,.014622791,.0021523577,.00035336168,.000050074806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.28812379,.8347261,.6047495,.18228789,.02799511,.0033517261,.00026957787,.000012512919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.11997637,.028350141,.005691384,.00077880512,.00012421068,.000012058947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.070349887,.015372,.0031007035,.00041449181,.000050247309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.079972886,.2896722,.74028367,.73059422,.25368556,.058641251,.011065143,.0015268698,.00013316984,.000013411392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.82377893,.63442379,.24352694,.07277406,.012577243,.0018688015,.00026952027,.000030910356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.12733738,.67954189,.5843488,.1028796,.0066384068,.00047197938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.716865,.7518667,.29298514,.10012211,.025170166,.0033394238,.00039764322,.00004477314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.65164733,.19034457,.031461842,.0029265741,.00033606769,.000010985086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.59958375,.83693063,.37788481,.10221065,.025700208,.0038553714,.00048351247,.000042728501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.36943093,.17576605,.073091052,.021652993,.0068656257,.0016254239,.00044500336,.000063428401,.00001451112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.94604796,.51653808,.156418,.032092758,.0056025712,.00059219642,.000048480542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.21943915,.037752427,.0033060701,.0003688086,.000019415798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.38506773,.1271176,.031545538,.0057312087,.0010084247,.00010326366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.55542052,.1949597,.040348157,.0061470773,.00061904744,.000068029498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.18941298,.032726582,.0030580768,.00020411861,.000011169357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.001024995,.010842241,.079171024,.31434911,.93639249,.44481134,.09357439,.015789175,.001431545,.000092002672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
