p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.094891593,.28577542,.70876056,.77809435,.33760208,.10290872,.032935366,.0056380467,.00084982195,.000059303205,.00001081637,0,0,0,0,0,0,0,0,0,0,0,0,0
.4106895,.12434109,.030065309,.0042688055,.00071957771,.000058366917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.67553401,.89704853,.50259578,.22326848,.082498722,.022645954,.0049074953,.0011322928,.00015935361,.000030702537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.18521678,.047313586,.0089775445,.0018159713,.00020844032,.000013119065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.18748917,.084730923,.03124393,.010395837,.0034415131,.00076592126,.00024675016,.000051736144,.00001110937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.28771326,.079260871,.01469342,.0022567033,.00019931622,.000015636757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.9277162,.42451051,.090574399,.010149646,.0010709488,.00004253145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.24876955,.6666308,.8307628,.31253073,.092443682,.020672338,.0020836263,.00023076741,.000043042357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.95052266,.52182144,.15833513,.034936562,.0045883348,.00087673787,.000066684093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.50296074,.1105369,.011467787,.0011785848,.000038964703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.029573541,.0054464368,.00080855354,.000075329168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.057828002,.1104467,.20381285,.35888833,.5291937,.82147032,.91332114,.61900157,.43258405,.23812245,.12696463,.060333606,.028528888,.01164268,.0036501042,.0012394727,.0005681527,.00012086486,.000046454788,0,0,0,0,0
.47325456,.97809005,.53749692,.14675543,.042526022,.0073366715,.00085687643,.000095166477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.38778415,.84528017,.61686552,.26101455,.073113583,.017524075,.0025281275,.00033644843,.000029620478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.82351255,.35208461,.10977905,.028169133,.0042595305,.00049111061,.000052472711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.032761764,.0055338666,.00073628745,.000085780492,.000011269844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.054586623,.015232217,.0039588572,.00086033338,.00021047289,.000030647188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
