p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.13569264,.48275086,.84882259,.2980136,.056464773,.0064937281,.0011068369,.000061029343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.55498087,.14433719,.025796909,.0022717877,.00024153947,.000011217189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.15256406,.4761048,.98898989,.45101202,.14472252,.028285854,.0036203861,.0004917453,.000032377844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.77291185,.55926913,.15260519,.031713888,.0032669643,.00012081864,.000012263276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.63473529,.75608462,.24981628,.04992833,.0080350619,.00050890719,.000065645771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.83370334,.29345843,.060456369,.0083908979,.00058016134,.000031123382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.88917404,.32782981,.069944829,.0082485182,.00096400885,.000047933445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.2411347,.68328965,.78535205,.26424035,.069758601,.013375988,.0010715835,.000096807249,.000016049125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.49184632,.85848838,.25568289,.045029629,.0035527409,.00044508919,.000017435215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.85909414,.30804175,.060048569,.010169012,.00063603284,.000021228072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.80434674,.28321695,.060707446,.0060823928,.00053208345,.000040366143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.027453572,.17228058,.66400367,.57290876,.17708151,.01649374,.00090493669,.000045342993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.17494351,.56229228,.88857269,.27193096,.078075893,.011774564,.0010593905,.000095602918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.58259463,.19035326,.038569156,.0066271876,.00071576214,.000085194668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.042423669,.0036720966,.0002305766,.000013701791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.60228193,.17202671,.029490471,.0032519435,.00034863502,.000025097999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.38139081,.072938219,.0090272455,.00065454945,.000054092001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.045408551,.24754989,.85724527,.45211536,.081671529,.009532989,.00097253296,.000053985983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.44232666,.096524142,.012383487,.0012169929,.000089758767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.70665294,.20187451,.033750486,.0029360554,.00019318596,.000013510536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.42144018,.092008978,.010291114,.0010783161,.000033048091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.82762778,.26334479,.054045342,.0062168245,.00047959803,.000022852922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.40069413,.99022257,.40574059,.087514989,.01853098,.0012088749,.000075265183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32927307,.069832966,.010939445,.0010968365,.000068770714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.69140571,.60060513,.17225096,.024895115,.0024536005,.00011056114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.16441259,.59393436,.76060683,.29832715,.040651947,.0083153704,.00046471448,.000047103676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.97527009,.4019227,.095307313,.011236136,.0012199266,.000046687448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.31286564,.84021777,.54628807,.15282828,.028161667,.0024613531,.00022630737,.000017691009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.26477334,.85350066,.54496998,.13642019,.015331243,.0013598962,.000077597768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.47817641,.11702728,.019265501,.0017229191,.00017417016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.5607776,.17546621,.040908985,.0053315712,.00054159586,.000037308557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.13049264,.4494392,.97096556,.44621617,.1063154,.01644272,.0021256721,.00021332868,.000013293743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.65595567,.68981475,.2166767,.046569966,.0046750223,.00042130647,.000037046619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.85121524,.50026518,.16365434,.028516117,.002831036,.00034588226,.000019171381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.41117388,.087436795,.0087593067,.00086862867,.000070927708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.22335331,.04004807,.004255448,.00027828151,.000027686283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.30439445,.89605665,.48248568,.10334322,.018302832,.0016608106,.00011548052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.069687143,.0079209534,.00064140616,.000019287061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.78183782,.56613559,.13702148,.019197317,.002161064,.00013172071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.45138469,.10224485,.011202291,.0013661054,.000077372548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.83121365,.27911592,.055873446,.0065305834,.0007015157,.000033230881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
