p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.033280678,.097078659,.28591949,.46076593,.90336448,.6665644,.35071072,.14206508,.050111644,.011659864,.0025402592,.00061814493,.000067704241,.000019851659,0,0,0,0,0,0,0,0,0,0
.64861882,.42693329,.25196457,.11840892,.071611129,.031304479,.014697998,.0052546151,.0018909572,.00082644459,.00018669512,.000045278615,.000020200512,0,0,0,0,0,0,0,0,0,0,0
.69136119,.900352,.90218204,.71409994,.50808388,.36303866,.23878311,.15697281,.083164714,.048417006,.024708731,.014085273,.0059823343,.0021488427,.00078241678,.00050067436,.0001496934,.00005935728,.000026693262,0,0,0,0,0
.57774198,.36517099,.2007769,.11768345,.048263144,.02382952,.010463779,.0034863334,.0015650075,.0004507562,.00010442211,.000048652877,.00001073022,0,0,0,0,0,0,0,0,0,0,0
.44305125,.19790497,.068539567,.021865651,.004790667,.00082529377,.00023493321,.000026187761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.81568879,.48148975,.24596456,.093789712,.033313978,.010276675,.0023433561,.00054512004,.00012728495,.000021670523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.53191203,.94199353,.6634692,.30308726,.10894544,.031352278,.0068273745,.0020666523,.00027341433,.000047408161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.90888089,.58598346,.33717906,.13192181,.06267114,.022414662,.0052916622,.0013913683,.00032669716,.000078450983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.71092349,.96105039,.64214671,.35471058,.19109537,.092720717,.027135171,.0082394844,.0035734163,.00086400285,.00015539135,.000060272294,0,0,0,0,0,0,0,0,0,0,0,0
.017128231,.0052535618,.0012647074,.00032057037,.000059897291,.00001567666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.17811605,.079227485,.032365214,.012407269,.0040103118,.0012106855,.00036515584,.000091998758,.000023570477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.074267894,.11734147,.19513121,.28683713,.40468955,.58747137,.76068163,.9625383,.82690424,.60462052,.46662754,.3016293,.22669934,.1212367,.081824206,.037058301,.015938293,.010020086,.0044943094,.0019852703,.0010477515,.00034766828,.00013404233,.00005298086
.17768867,.37971088,.70256239,.87110072,.55157459,.27528501,.08999636,.032218896,.0084633417,.0023665971,.00047361603,.000052326883,.000013021537,0,0,0,0,0,0,0,0,0,0,0
.22336391,.41521776,.68441659,.99903888,.69065273,.41737333,.22869565,.10286142,.034824207,.015313316,.0055959029,.0011108525,.00027942614,.000068405694,.000015030539,0,0,0,0,0,0,0,0,0
.66172183,.34507963,.1464541,.042854846,.012723153,.0035648711,.00041500706,.00016699568,.000016888402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.07905101,.02954898,.0093474453,.0025298642,.000902267,.00015325434,.00004425511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.12516145,.050456438,.019636506,.0074380254,.0026508786,.00056249183,.00015987699,.00004272335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.50229442,.30744097,.16832758,.084455207,.0355068,.012426549,.0058886833,.0024966884,.00063523976,.00016274861,.000064693661,.000017068482,0,0,0,0,0,0,0,0,0,0,0,0
.57804853,.87527239,.73480737,.42118597,.20901705,.092743024,.041621432,.012757619,.0031527549,.0010710965,.00020976429,.000047574322,.000010199985,0,0,0,0,0,0,0,0,0,0,0
.03930258,.011844656,.0030956564,.0006650557,.00013394066,.000024844063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.60574436,.78807801,.95757604,.75193888,.53920597,.36354509,.22152847,.13672207,.07620731,.04184448,.017453056,.0099215414,.0040626023,.0013640617,.0007988307,.00030406719,.000096440308,.000027567046,.000013324229,0,0,0,0,0
.51685941,.86444122,.77022588,.4304173,.17049931,.077372104,.021288253,.0068200859,.0016944245,.00033082746,.000074011674,0,0,0,0,0,0,0,0,0,0,0,0,0
.88646573,.87593853,.65970677,.45277008,.30514878,.18710606,.10025812,.043157578,.025384651,.012338001,.00496154,.0019096429,.00077884935,.00025482738,.000080887352,.000032112875,0,0,0,0,0,0,0,0
.095719419,.26552796,.59413642,.98174739,.53172791,.19639984,.074896976,.024200143,.0047247824,.00082211918,.00011017888,.00001304455,0,0,0,0,0,0,0,0,0,0,0,0
.56376511,.98906881,.59139287,.27839401,.092873149,.02512273,.0058977217,.0010439308,.00034046138,.000015043571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.088842198,.18783331,.3425369,.53589481,.84669232,.93818516,.60876745,.33748439,.18580398,.10689659,.039297659,.015428196,.0031579586,.0020899121,.00045597248,.00013685368,.000023945466,0,0,0,0,0,0,0
.53640348,.94119149,.61812174,.27300599,.10615593,.024509696,.0055152974,.0016535936,.00019305853,.00002465264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.63163888,.94501323,.51800096,.21278237,.070653573,.0212324,.0033673528,.00072690932,.00010969804,.00001108549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.56980973,.98185265,.59581894,.30930558,.1119264,.037848838,.0080109062,.0021279505,.00023541888,.000049687729,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.22645795,.070080303,.019434497,.0033859641,.00087214902,.00010134708,.000016454458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.137463,.038280249,.00917398,.0018061138,.00019911812,.000033336641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.13167638,.32937315,.71339703,.86847603,.46063358,.16789156,.047098011,.010937126,.0038645873,.00048532276,.000057527588,0,0,0,0,0,0,0,0,0,0,0,0,0
.35452491,.17005523,.067054853,.028821565,.0075125266,.0016620437,.00043901606,.000102548,.000031177042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.061576799,.19577648,.42842746,.87785929,.61462027,.34031916,.093624055,.030612115,.004088602,.00085834216,.00016852657,.000033376422,0,0,0,0,0,0,0,0,0,0,0,0
.75711459,.86115092,.49294093,.25718719,.1064721,.042470086,.0095878877,.0039574583,.00048676203,.00012432582,.000020695268,0,0,0,0,0,0,0,0,0,0,0,0,0
.90108889,.81550163,.59532177,.37800038,.24044383,.12545428,.058660731,.030986622,.01619775,.0043743709,.0016580414,.00065120606,.00020012693,.000064416417,.000016143458,0,0,0,0,0,0,0,0,0
.87780708,.54843414,.2772027,.1062988,.040464543,.0096115731,.0028917494,.0011491958,.00018419174,.000037011123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.91317505,.6700266,.44960353,.28752574,.15442926,.078669786,.042672064,.014966456,.0061874306,.0029742636,.00072505424,.00029870219,.00008909974,.000024717212,.000010895842,0,0,0,0,0,0,0,0,0
.29780531,.14203742,.056270022,.02044495,.0061667264,.0014640645,.00037021682,.00012764557,.00001877431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.46376845,.2327349,.090228483,.034850642,.012428728,.0025797323,.00077783095,.00013611262,.000043308071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.091785781,.28998452,.71236444,.78883731,.36868575,.10384771,.017965062,.0019729591,.00030221796,.000040152932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.39147195,.62743849,.94080621,.7045595,.44694275,.25547752,.15274341,.053200264,.020800875,.0079285391,.0024503386,.0010230815,.00010853921,.000073008414,.000011527266,0,0,0,0,0,0,0,0,0
.044636779,.011458336,.0025327841,.00058223715,.00004623699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.19427747,.42738485,.76228446,.8771953,.48032302,.26306403,.095436178,.028786628,.0089366809,.0016821579,.00035397575,.000061755411,.000011556095,0,0,0,0,0,0,0,0,0,0,0
