p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.10991282,.083998077,.051086903,.033021856,.01816473,.015194252,.010044242,.0051350263,.0040124599,.001769477,.0007427099,.00074350671,.00017024182,.00010755403,.000080272177,.00004740138,.000025211175,.0000136366,0,0,0,0,0,0
.31969726,.23935521,.13932507,.098126657,.060583055,.03507027,.022195917,.012515968,.0069835768,.001340254,.0013709303,.00077202928,.00028406436,.00015419972,.00007385917,.000019142706,.000024124547,0,0,0,0,0,0,0
.81651384,.67056394,.5212549,.38190693,.32462212,.21042494,.16511026,.086427152,.062103067,.036849845,.01906639,.012992807,.0058424547,.0030494183,.0011626983,.0006913793,.00018522977,.00016734762,.00012462838,.000056078654,.000012090696,0,0,0
.47575918,.37500432,.27587318,.15322384,.12792999,.090235464,.05637414,.028656494,.021387704,.0081828339,.0053492351,.0029088715,.0030399605,.00055066583,.00012444264,.00016352601,.00010365396,.000025183974,.000013812501,0,0,0,0,0
.091885142,.06128161,.038488247,.021592915,.014537866,.0076683951,.0047759381,.0025297208,.0012592636,.00077222555,.00048567614,.00020764198,.000087209803,.000025365855,.000019338519,0,0,0,0,0,0,0,0,0
.35940209,.24527152,.19433382,.099861853,.079998493,.044633001,.022475304,.012243806,.0072446838,.0027829364,.0022866304,.0012635641,.00053967413,.00029101604,.00012132698,.00002116695,.000023559409,0,0,0,0,0,0,0
.68122786,.57130384,.44640496,.34909764,.28579912,.18818556,.13275148,.10989032,.060649216,.053793076,.021952713,.017100025,.0094722221,.0060639735,.0045018252,.0013484701,.0010017217,.00055367599,.0004112832,.00012841447,.000042100077,.000048038164,.000021591308,0
.91157424,.97219938,.77931297,.63167167,.52733052,.37966838,.31132287,.22364338,.16752613,.11410189,.090299346,.041174788,.043398619,.017631065,.008514015,.009184679,.0061236941,.0029415358,.00166345,.00032846426,.00041657515,.00012645716,.00014781387,.000017298171
.035189137,.051872462,.08181908,.13630949,.17655127,.22905837,.30245781,.45180479,.63201666,.74384296,.94495767,.89803678,.68871683,.50266236,.38981101,.2412769,.17404903,.079632238,.096319452,.063363224,.032977425,.0161136,.011298537,.0031232573
.12991175,.19135827,.31964773,.50314248,.62068236,.87689686,.78624731,.57113844,.36576045,.32824335,.14470474,.065542981,.026529789,.017417718,.007309794,.0052527604,.00045260246,.00046711066,.00015970528,.00014540451,.000012675089,0,0,0
.22911742,.14154905,.087982111,.053093806,.031737383,.016527396,.0045835371,.0044770488,.0025396727,.0006298839,.00027554604,.0002579866,.000089133835,.000022351458,.000016304362,0,0,0,0,0,0,0,0,0
.16662522,.21544538,.30608398,.42311606,.51006043,.68531817,.78720033,.97468281,.74375165,.63246644,.54571569,.31361097,.2715508,.17484631,.11019043,.1016039,.063939609,.034992695,.0079052411,.0073825349,.006838135,.0052088592,.00081656384,.00062670856
.50168371,.60862094,.78013515,.92890525,.90736127,.78185749,.7593987,.57836622,.31779724,.25551051,.20610368,.13503158,.077973314,.078526393,.054002907,.034205016,.01622157,.010519143,.0025227244,.0019947286,.001586752,.00070954999,.00035191613,.00045834415
