p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.035862423,.032978795,.023498187,.029390108,.020216504,.017635487,.011724495,.012195298,.011851158,.0095579056,.0050116754,.0087639075,.0063942932,.0032318654,.0036507205,.0018411187,.0056639188,.0043531712,.0012257388,.0016016938,.00097518804,.0017438974,.00049939874,.0010337571
.062539309,.059216291,.048068319,.044248234,.033269595,.033261336,.031822719,.026329644,.021187056,.015477839,.014074636,.014048759,.012047616,.0059154709,.0098261209,.0099614142,.013095377,.0048636082,.0041339616,.0052522169,.001992451,.0015525529,.003443945,.00079251308
.053861324,.057199229,.060335424,.072495095,.077401012,.081940345,.084500462,.10213491,.093189552,.1120865,.14145833,.13567458,.13305116,.14447051,.17127013,.19032703,.20716749,.23356751,.22514106,.24188131,.23524407,.26605368,.30525494,.32086292
.002031375,.0018605598,.0012701887,.00067931751,.0013014772,.00035584695,.0004558186,.00028095717,.00028917077,.00015097951,.00015433645,.00012084637,.00005300542,.000082807637,.000062526437,.000086693304,.00008566714,.000015493881,.0000225933,.000038573751,0,.000015725102,0,.000017265509
.36110687,.37123209,.39232534,.47026494,.45635495,.46050307,.49966928,.51632529,.57901573,.5765869,.62506479,.66701025,.69478083,.79636383,.69953603,.82915521,.80699229,.8395412,.91160148,.92904961,.85020065,.9962402,.96440071,.95432401
.60428602,.58871353,.52352089,.44962007,.40936562,.45221078,.33476207,.33497545,.28232303,.20457292,.19909473,.22790731,.10853063,.15349579,.10249299,.1161013,.067243829,.13008139,.1011332,.052572001,.042334381,.03137869,.057140999,.048508938
.31364456,.29983148,.26684052,.17650142,.16384982,.18387389,.14677046,.12118329,.11048121,.077360533,.075355813,.059281074,.044933658,.045865655,.042207059,.051673368,.027553273,.023572223,.027763614,.015718212,.0064488887,.008508889,.013159929,.0035293812
.80763805,.77730829,.72886884,.71105134,.60127091,.63993472,.50615764,.48154289,.46989799,.41133845,.38119516,.29163307,.3183969,.23495971,.26612031,.21239284,.25736111,.18725114,.13657384,.15365671,.10370573,.12216777,.12306223,.097707883
.91407812,.94953758,.93431097,.95404345,.8604362,.85984021,.73908871,.68750393,.66381824,.65739048,.59039634,.50348449,.4370991,.42867216,.35325837,.41436082,.34370586,.22094736,.21054314,.24491888,.21096478,.12494145,.21239519,.15263744
.42434329,.36691809,.37881905,.24292885,.2571781,.21926494,.13282527,.14106974,.14954475,.10936701,.10208704,.10001948,.053161662,.054376237,.064991072,.023880931,.026209505,.040195215,.0096548637,.0097668506,.014478689,.0238725,.013907778,.00279949
.28388232,.24432439,.22657327,.16865873,.17561375,.12769139,.1182562,.10627837,.11500539,.083107747,.059282556,.07040929,.033127852,.041095652,.025719119,.02193239,.0258669,.0088456087,.029576903,.0085035022,.0091644209,.014201902,.012433563,.0091606015
.033068087,.029675471,.023018137,.020469587,.017072234,.010289685,.007287256,.0047088559,.002731005,.0027513364,.0011139573,.003832777,.00052541465,.00042183732,.0010055945,.0011155815,.00023994425,.00043847764,.00035001454,.00018167296,.00020772373,.00020935113,.000025477062,.000015613607
.12399659,.1044555,.10743783,.10089085,.080510125,.052454621,.039547201,.058250323,.050284445,.039189324,.029994467,.038343001,.020808846,.034329467,.021759614,.026201321,.013153153,.01338609,.01350208,.011158787,.0085230246,.0068999575,.010096512,.0046981587
.13898437,.16301455,.16807604,.18516989,.19986616,.22823517,.32504117,.31418926,.36012712,.38749495,.43102297,.45026687,.59447879,.57450992,.52044874,.63923222,.5978691,.80462575,.75942647,.88306737,.78254461,.90366369,.95183331,.9146989
.011260297,.008508198,.0092181265,.0075293332,.0059376783,.0036132003,.0032909813,.0021169076,.0021964801,.0017001305,.00054485427,.00062203209,.00078885164,.00052969623,.00060856284,.00049920299,.00026148165,.00053337333,.00015733896,.000088261208,.000081045044,.000047127171,.000036751324,.00006130043
.97069097,.97092116,.97643322,.96461529,.79965222,.74741131,.72931343,.76288146,.63871759,.6475724,.49417827,.59844267,.59061825,.50296271,.4111276,.4618232,.33118138,.3034752,.33089072,.38261306,.19316141,.25303504,.19720557,.24328913
.90371495,.96309227,.98945111,.93612105,.93455839,.91226006,.79942977,.7920357,.77102125,.7065177,.77932882,.73918617,.66329497,.57342547,.52663755,.54965842,.49825782,.44856718,.46730468,.42772606,.46632665,.32418048,.39727196,.3219907
.027734699,.032401018,.043381587,.049110617,.048901953,.045345701,.046407621,.070174426,.099149935,.10221259,.1194941,.095701337,.14883363,.16769941,.21524754,.24760413,.22483014,.19085513,.21865334,.34850651,.27089009,.35991287,.421067,.54691404
.44844702,.48728898,.51215917,.59950888,.58168209,.59803593,.6303997,.68857616,.93741971,.7394408,.86819881,.89347672,.80186456,.88384438,.97291738,.92500836,.89729512,.78793764,.78813344,.70985258,.70406497,.6240164,.58646214,.51115096
.69333375,.70877391,.73724604,.74319524,.8077535,.80594659,.83814758,.89384449,.91483468,.93651682,.93946528,.99856323,.99486029,.85262281,.87321335,.85596085,.84098661,.78016502,.76059932,.80402642,.67510343,.72278666,.75486904,.63051027
