p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.62492883,.49390072,.36552164,.23530547,.17170209,.093794078,.070753172,.038739007,.032801356,.0093300892,.0072668442,.0017122177,.0020282355,.00056675897,.00024185886,.00014846447,.00006001072,.000036602978,.00002323986,0,0,0,0,0
.99228418,.74811876,.5428865,.3283855,.18789296,.10471339,.046095144,.03434559,.013553416,.0066563552,.0020611039,.0015424617,.0001775179,.00013528456,.000023191138,0,0,0,0,0,0,0,0,0
.071466684,.035812873,.012605104,.004299588,.0020423236,.00054998347,.00027857249,.000039203598,.000023882811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.88035315,.6670453,.52582991,.42118537,.30373025,.18691778,.12457152,.075869799,.041625552,.02242716,.012375123,.0055606673,.0024586881,.001176486,.00045726637,.00036234438,.000082696657,.000034031615,0,0,0,0,0,0
.78568476,.67874128,.51959455,.40921736,.29385006,.21164618,.14580134,.11211125,.069881901,.060357042,.03120861,.028582552,.010783868,.005767595,.0039600264,.0018409997,.0014536678,.0007910385,.00039448857,.0001815101,.00010177318,.000031927408,.000032683209,.000010740863
.57801235,.42712206,.3033345,.17461877,.14265364,.07366585,.048221216,.026674215,.015793165,.0083292443,.0039220587,.0013696903,.00081263046,.00028229866,.000062779138,.000055992365,.000012318917,0,0,0,0,0,0,0
.55532587,.72551352,.92923021,.95476657,.75332302,.56213111,.47503254,.28126365,.19334115,.1558423,.079705328,.051402159,.020955265,.016267383,.0074384524,.0031437697,.0011924525,.0008169525,.00056225416,.000086663553,.000078525562,.000056317243,0,0
.24828121,.34081617,.46911895,.61493921,.85481441,.95319879,.83282566,.5077123,.53193027,.29419941,.22002788,.17952538,.053482275,.049835119,.022032347,.023110922,.01147547,.0039080107,.0014706557,.00066585536,.000076209508,.00020355987,.000042915435,.000089072841
.34516621,.19432296,.091911763,.033092603,.01861373,.006745128,.0014966909,.00030046585,.00021265533,.00015445602,.000012138326,0,0,0,0,0,0,0,0,0,0,0,0,0
.046090204,.07209225,.10371993,.16429119,.21047038,.32863718,.42626208,.58160013,.67778289,.85331136,.88309729,.7442584,.67175436,.45642188,.42742461,.15950902,.14625777,.097266667,.04981567,.036211278,.015743479,.017747877,.0073176073,.0021217177
.018338203,.0071379896,.0037632042,.0013555901,.00055833079,.0003240775,.000056849662,.000022659808,.000017643199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.045580011,.0749145,.14166541,.26045001,.39422157,.56698155,.76615739,.93879175,.61170381,.38267028,.25756681,.15837598,.16565217,.023581721,.03097623,.0039876159,.008848316,.00041062452,.00041734509,.00047061514,.000077239289,.000017067574,0,0
.97552365,.79970264,.64770633,.54055691,.43151021,.32992542,.22677505,.15799062,.091015175,.053005714,.052915372,.017138606,.01267626,.0049955328,.0037827869,.0015719851,.00078853907,.00080616452,.00013495586,.000071872128,.000062089159,.000015149211,.000012054443,0
.33049637,.21912429,.13115367,.09702298,.062816568,.02837888,.020639572,.010677286,.0046083331,.002878689,.0010054411,.00068560761,.00052111025,.00013289676,.000076040677,.000023512415,0,0,0,0,0,0,0,0
.8249507,.69564116,.52313226,.42551589,.30492467,.24404196,.15171368,.10456634,.060510319,.034088917,.028996684,.018615499,.010379999,.004876608,.0026270368,.0018274909,.0017251479,.00030732405,.00022036703,.00004383759,.00011256165,.000031921863,0,0
