p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20
.91121846,.32709274,.035452794,.0018322384,.000045505014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.0090472791,.0001148099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.0066563706,.018713681,.05157448,.11496595,.2682797,.47765839,.78245497,.80297136,.5129655,.22644533,.10957782,.035651982,.0089783194,.0026520286,.00037539337,.000075234719,.00001388664,0,0,0
.1402092,.014120907,.00067136728,.00001239323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.20663297,.27008417,.35177749,.45502406,.56734133,.69099456,.82962936,.99481767,.86933142,.6999715,.57218701,.43564719,.31750292,.21550891,.15635067,.10148493,.064071789,.034159794,.021943962,.010946297
.83292866,.80333948,.49312186,.2498344,.11004709,.036385287,.011444798,.0028164738,.00068250531,.00014056335,.000030159817,0,0,0,0,0,0,0,0,0
.81265497,.62767482,.46478337,.32475799,.21591334,.13266186,.077542223,.042365093,.021165198,.010832551,.0046307705,.002131413,.00082037185,.0003804843,.00012904423,.000039774604,.000010345971,0,0,0
.61056882,.72646064,.22386049,.033046987,.0036582577,.00024362962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.35000414,.10538635,.023387682,.0033432492,.00035211362,.000030415857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.89993572,.46608275,.18287206,.052822269,.0098111089,.0019106844,.00024262097,.000033253022,0,0,0,0,0,0,0,0,0,0,0,0
.84890378,.11704063,.0059588198,.00010443067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.31812906,.63959807,.92474276,.50594515,.21315992,.065700822,.017852845,.0034050643,.00052689435,.000077644341,0,0,0,0,0,0,0,0,0,0
.00092122384,.000042537275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.0031680542,.00028984295,.00002422841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.73432666,.046145912,.00028925488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.056676418,.00068497227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.033508409,.0079358481,.0014073784,.00026490929,.000029672039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.61379927,.81666744,.31370956,.086285271,.0093114246,.0010652175,.000097956661,0,0,0,0,0,0,0,0,0,0,0,0,0
.029011928,.059469189,.12096472,.22868405,.37979111,.60654593,.9050141,.75804478,.51747066,.29557008,.15033519,.067587502,.025834396,.0092701949,.0029036114,.00067967997,.0001643149,.000030623472,0,0
.007701356,.0030807802,.0010850468,.00036561169,.00012350232,.000034983132,.00001148112,0,0,0,0,0,0,0,0,0,0,0,0,0
.39356783,.53659064,.69762337,.88437092,.93963015,.72458386,.54699987,.3930032,.24753106,.15596589,.099201657,.056918643,.02793685,.013595406,.0058416636,.0027633174,.00096241478,.00041958867,.00016995618,.000047145444
.90603328,.40094057,.10460754,.019711645,.0026062818,.00025442441,.000017522159,0,0,0,0,0,0,0,0,0,0,0,0,0
.22876737,.042848866,.0053643757,.00055456307,.000042089076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.17980841,.014048823,.00046097278,.000015988022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.98987895,.55199206,.2679694,.083792605,.024142137,.0044698929,.00083145336,.00012790736,.000012985565,0,0,0,0,0,0,0,0,0,0,0
.096669704,.027609916,.0055618687,.0011039242,.00015047778,.000016662516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.27639028,.36981159,.48160529,.61996704,.77078766,.95163655,.86241585,.70761555,.52364922,.4140048,.27954909,.19587566,.12843142,.071771123,.041521486,.022187896,.011517604,.0047539803,.0023396297,.00092909369
.84169245,.19625245,.018538773,.0006941497,.000020661637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.13678738,.0046512084,.000085140498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.50258225,.74814141,.9872449,.71614635,.47513595,.27184582,.13995522,.062965274,.026711874,.0099901091,.0038136905,.0010936626,.0002540389,.000078117038,.00001595398,0,0,0,0,0
.83364981,.82983112,.515167,.27614859,.1353804,.04783104,.0175834,.0045623337,.0011781863,.00025959639,.000052992935,0,0,0,0,0,0,0,0,0
.011118614,.026904499,.060170665,.12593599,.24163862,.42528212,.70127368,.97062129,.64387608,.37920785,.21427852,.088480562,.03398909,.011452526,.0039333659,.00070918701,.00017292937,.000039775456,0,0
.058090325,.011094333,.0016763832,.00015883222,.000022444206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.6566208,.69521463,.23722765,.045017876,.0063396692,.00068481447,.000022143853,0,0,0,0,0,0,0,0,0,0,0,0,0
.034413557,.191053,.70666033,.60559714,.12336241,.017791081,.0014345859,.000076736091,0,0,0,0,0,0,0,0,0,0,0,0
.1435595,.041514359,.009404066,.0014413489,.00022995567,.000028338416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.6987195,.21977985,.049442887,.0057387799,.00046291985,.000033270007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.12367994,.14625227,.17155996,.20108512,.24125759,.28107458,.32380185,.37253758,.44010174,.50447643,.56984288,.6489113,.74312454,.82178795,.91190696,.97268808,.89729893,.77822095,.67435962,.59300119
.6384505,.93447345,.52563602,.22018842,.07991714,.020399557,.0040128697,.00073564379,.00011723738,.000010032815,0,0,0,0,0,0,0,0,0,0
.13814546,.35901052,.75451297,.78611475,.37436363,.14951789,.032367174,.0088285916,.0011420104,.00017698586,.000020675734,0,0,0,0,0,0,0,0,0
.78003538,.94235486,.89672446,.73062748,.58455992,.44709009,.31251216,.21834221,.14764021,.090035759,.056367435,.032182772,.020197853,.0089175282,.0042418619,.0019961786,.00085617427,.00037264207,.00013635869,.000064977758
.67245114,.75863421,.32412139,.083824858,.015275998,.0017287373,.00020584547,.000012443679,0,0,0,0,0,0,0,0,0,0,0,0
.62453496,.4799414,.046496525,.0012397739,.000021479056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.78935468,.36096779,.10924391,.025430184,.0051890048,.00076566037,.0000528643,0,0,0,0,0,0,0,0,0,0,0,0,0
.0066712368,.00051125977,.000024012945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.021300588,.00046092342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.74834257,.46506616,.25068155,.11541744,.044751253,.014560934,.0050221384,.0013778154,.00028029495,.00005212846,.000016058606,0,0,0,0,0,0,0,0,0
.53270656,.01622577,.000064763837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.034896068,.0077834548,.0012197943,.00013559945,.000022261933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.92642289,.58137941,.32136828,.14806256,.057394244,.0193737,.005928176,.0012924835,.00027780439,.000054539982,0,0,0,0,0,0,0,0,0,0
.20702647,.059706155,.016127085,.0033633814,.00044536311,.000040039537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.14809456,.63587636,.55806237,.10178829,.0075121508,.00052102521,.00001383111,0,0,0,0,0,0,0,0,0,0,0,0,0
.63373381,.60645258,.14429329,.013783838,.00090093276,.000032813063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.50711668,.11870891,.014664014,.00088802428,.000052870066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.066084623,.17622636,.39727217,.72889757,.86221862,.49782631,.19717313,.069820896,.020733258,.0038683217,.00070776709,.00010818842,.000015620668,0,0,0,0,0,0,0
.037959807,.059396919,.089424022,.1339213,.19374678,.28665388,.40335837,.52739769,.69276053,.89263183,.95574075,.75521588,.54779613,.41103464,.26679555,.15529577,.088938043,.055004623,.028183268,.014213343
.055546552,.0084416606,.0007955574,.000061649538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.42522639,.078663327,.0083635235,.00051628373,.000022908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.95639616,.77617735,.52237236,.32118052,.16669841,.086858861,.041885629,.015559938,.0055410704,.0015349168,.00050451764,.0001261377,.000028240484,0,0,0,0,0,0,0
.57553518,.23852384,.074748822,.01457119,.00287065,.00031263434,.000031552194,0,0,0,0,0,0,0,0,0,0,0,0,0
.40560278,.66335022,.99547738,.67681462,.38859046,.20786633,.085437253,.032220446,.0096012903,.0027188489,.00064270454,.0001519604,.000036726837,0,0,0,0,0,0,0
