p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.12129683,.019318644,.0016115364,.00025975503,.000034178509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.87385297,.3132726,.071080744,.0098285889,.001413954,.00019535687,.000037916776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.66683388,.11876054,.013229267,.0010198737,.00010989606,.000010215066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.12768501,.76147348,.398379,.040692762,.0028392209,.00013454887,.000012759016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.35945755,.028173188,.0009512715,.000045848115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.93323743,.10879632,.0060834414,.00013725003,.000012949713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.57084227,.086465262,.0062109223,.00041690547,.000037054924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.90663755,.09697786,.0032077474,.00010475625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.078191467,.0043415627,.00034821936,.000011248995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.6281727,.24075018,.0082425987,.00018127152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.81130576,.026192605,.00023633066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.24502499,.71173054,.6794346,.21764782,.050605323,.0084600458,.0010538946,.00013564249,.00003265655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.31300858,.0040109102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.067420043,.012881359,.0018256141,.00040464159,.000052117779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.24324733,.017361879,.00082907378,.000046707897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.95244104,.33290961,.053989306,.0054146596,.0004233814,.000045560781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32976639,.23733054,.0029817622,.000047433819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.1961852,.57381839,.77780944,.30177054,.067606129,.013440896,.0023371824,.00030079362,.000046678684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.51116383,.078497551,.0075073396,.00049815269,.000052495383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.27050173,.0068721455,.00022098175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.28323439,.23978083,.0030265171,.000031314576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.30188173,.022506218,.0013227633,.000092805363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.49433219,.15476663,.0018593273,.000017536981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.18053843,.036423415,.0069185444,.0010644316,.00017850372,.000019091127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.66237557,.24241784,.066097327,.012353745,.0021810867,.00047086767,.000069742389,.00001098349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.97448921,.065152369,.00077975146,.000015194641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.67599756,.75216651,.28089875,.088458419,.02054362,.0036960775,.00098498573,.00016004368,.000033101987,.000010794741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.30319551,.079671785,.019037561,.0026851399,.00049324625,.00010604324,.000020201574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.83425003,.40074077,.06964875,.0079737445,.00079327688,.000086243468,.000010224802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.11288507,.017479623,.0021756829,.00034867649,.000053955209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.27058366,.80713362,.10473872,.0050748456,.00023338346,.00002285566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.62801164,.1308876,.0012379,.000010991634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.48323292,.21327288,.0057401396,.00011056673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.5974763,.78408724,.30324832,.0868949,.012589438,.0036466643,.00047776417,.00016989789,.000022474725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.24218898,.034479547,.0040800041,.00033035284,.000048068872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.82873863,.081938788,.0010434099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.66508371,.21087345,.038181789,.0068079033,.00092745508,.00014923283,.00002541297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
