p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.80433738,.39880583,.14862294,.046740003,.010155833,.0021568916,.00027815139,.000037851914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.47695959,.83730912,.71427721,.39058164,.17782539,.064309314,.016354283,.0045875441,.0010060474,.00019543988,.000029300474,0,0,0,0,0,0,0,0,0,0,0,0,0
.020512311,.080257058,.22187877,.52289242,.98491096,.56491774,.22409442,.073491365,.018219853,.003294986,.00045877419,.000063935491,0,0,0,0,0,0,0,0,0,0,0,0
.12877613,.33455765,.69700885,.82367194,.43569311,.17334093,.054207258,.012411544,.0019899672,.00044452815,.000076531702,0,0,0,0,0,0,0,0,0,0,0,0,0
.63588035,.9341594,.54397303,.23684008,.080867395,.023229282,.0049435673,.0013582819,.00020189445,.000031654123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.9059068,.43542698,.14364982,.039152242,.0071038925,.0010781175,.00012111178,.000014829579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.143002,.037900671,.0072443304,.0010449485,.0001364138,.000020654357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.43038386,.24007061,.1127697,.044798363,.016206136,.0052216658,.0020638658,.00050423085,.00012327131,.000032694206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.10378841,.25390995,.54165757,.90352982,.6878286,.36997989,.15084523,.056881234,.015231103,.0037866523,.00071088155,.000159319,.000029920167,0,0,0,0,0,0,0,0,0,0,0
.36904773,.12861179,.028429858,.0057570613,.00083979551,.00013912094,.000017201379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.1678645,.046928979,.0096627278,.0017634429,.00030892994,.0000349621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.31815806,.6578145,.89537251,.49774423,.16551827,.053148095,.011748491,.0019792048,.00035371003,.000049500955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.5032804,.90195781,.65786469,.32458332,.11991239,.037328299,.01067636,.0020479283,.00035215641,.000056220542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.77509314,.75111336,.36648458,.13639851,.034066495,.006984842,.0015284439,.00024050081,.000034268491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.41639462,.80374485,.76881427,.35934997,.14663006,.05059262,.010081727,.0021308635,.00038999814,.000044675337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.75638181,.42396912,.1868149,.066313341,.019854592,.0046038851,.00096447091,.00018944153,.000046849949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.44357601,.221898,.088677973,.029437779,.0083846692,.0025863959,.00047540679,.00010174434,.000020694912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.034372479,.11462166,.311955,.68998867,.83658391,.3978934,.15872185,.044600185,.011557572,.0022763738,.00019791722,.000046308356,0,0,0,0,0,0,0,0,0,0,0,0
.9180069,.48124585,.18206692,.060513858,.01309923,.0026810272,.0004396314,.000045562392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.0068315272,.00047902425,.000026717964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.21491966,.41065937,.69664669,.96951598,.61858261,.36888355,.19721757,.081241988,.032581959,.0095556611,.0032068896,.00088664278,.00022925457,.000032260654,0,0,0,0,0,0,0,0,0,0
