p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.083575763,.28320113,.71959651,.75939107,.30440852,.096050225,.016838251,.0024929687,.00032305607,.000036073769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.23946604,.084283642,.019686885,.0047715418,.00097021397,.00014826973,.00002005989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.33721304,.70706499,.87538385,.46923158,.18949847,.062702373,.014924319,.0033513545,.00059512164,.000089912173,.000010766745,0,0,0,0,0,0,0,0,0,0,0,0,0
.15027419,.39295754,.80644637,.68669266,.32892007,.11258648,.029646356,.0055425013,.00075087731,.0001475638,.000021872918,0,0,0,0,0,0,0,0,0,0,0,0,0
.19476661,.49997213,.9406091,.55595028,.20952913,.061344568,.012072071,.0029975863,.00035572361,.000045592307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.79758912,.68319011,.27166727,.086897202,.018387105,.0031828498,.00037468315,.00004930966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.015561841,.0025606602,.00031162662,.000030274019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.038278803,.0092190215,.0015116218,.00020510153,.000023070454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.27506891,.64548683,.80744898,.39164066,.13274057,.034045,.0058943429,.0010754223,.0001078376,.000011458348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.67667526,.30467534,.092143893,.024319861,.0044691931,.0008784461,.00012745285,.00002100792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.27898511,.086422078,.01869504,.0035664446,.00061325391,.000069058304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.088433832,.26952597,.64357281,.87748295,.34687409,.11780133,.024651041,.0038908054,.00058425049,.000062608269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.88253355,.45132583,.16857876,.051732443,.011126361,.0022580295,.00037428367,.000042067873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.53450912,.99987352,.54563516,.22678758,.061858587,.013337662,.0029489577,.00046777035,.000065626693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.81726229,.40189591,.15897238,.040192142,.010234319,.0020903831,.00024814691,.000038379712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.5677402,.95664901,.46557266,.16077933,.041447897,.0073186345,.0010042052,.00014382256,.000024020364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.030895827,.007032352,.0012446293,.0001711665,.00002406929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.035171937,.13004233,.37375161,.82114297,.65915316,.25374117,.080192834,.016784411,.0035075834,.00050426228,.000029777837,0,0,0,0,0,0,0,0,0,0,0,0,0
.64792645,.92834705,.50713837,.24232116,.08210393,.024704045,.0060279872,.0009617717,.0001874858,.000026853346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.023063542,.0035071964,.00044551553,.000041939056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.60816103,.29804882,.11686593,.037561331,.0096181883,.0023795639,.00058596389,.000099182005,.000017295111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
