p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.83992374,.55559075,.30424747,.1512416,.066788077,.027664704,.011382557,.0025810704,.00085089193,.0002486388,.00004789314,.000019054422,0,0,0,0,0,0,0,0,0,0,0,0
.33053991,.52918649,.90655494,.84793377,.57988948,.30956942,.17887609,.076720975,.02897471,.01289655,.0038101168,.00091244822,.00029646492,.000057209301,.000017029353,0,0,0,0,0,0,0,0,0
.069915906,.13832442,.26817632,.45544237,.77435738,.99291915,.60006738,.38912889,.2370833,.10580263,.057179231,.018034514,.0053107683,.0019078536,.00051405176,.00017431134,.000037643498,0,0,0,0,0,0,0
.26535535,.4934482,.82976937,.87427777,.49374688,.25606555,.10127939,.039307587,.014896148,.0036037718,.0015269298,.00024265099,.000046276993,0,0,0,0,0,0,0,0,0,0,0
.7063365,.41274515,.21342751,.097527929,.033898149,.01125598,.0039334316,.00094983325,.00022487089,.000042599713,.000011908234,0,0,0,0,0,0,0,0,0,0,0,0,0
.95891076,.68614453,.37919071,.15793589,.058342002,.022396283,.0066778297,.0019650918,.00027465902,.00010449658,.000014027746,0,0,0,0,0,0,0,0,0,0,0,0,0
.38467824,.20559259,.074710779,.03192094,.008122216,.0027284157,.00061461248,.00012022857,.00003588308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.18761823,.089734122,.042254273,.017139163,.0062497342,.0020698917,.00088358903,.00016176135,.000073235693,.000027196584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.1088092,.21019539,.37159112,.57319963,.8991484,.80463374,.5585174,.30590796,.1667621,.080134436,.041497406,.011781819,.0041866777,.0019173721,.00044943549,.00012063837,.000026390921,.00001097793,0,0,0,0,0,0
.7003563,.93389684,.5355171,.26638177,.14001314,.043574955,.015618958,.0031276864,.00054272742,.0002310761,.000035471647,0,0,0,0,0,0,0,0,0,0,0,0,0
