p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.97935754,.56598097,.24704753,.087247163,.021144222,.008063986,.0011273705,.00013059167,.000022146924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.86455792,.71884787,.31535998,.12370495,.040936302,.010503873,.0020590152,.000440637,.000065228865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.13780035,.27612013,.50256509,.78785068,.8544451,.53081208,.29354641,.16454861,.073725171,.020546503,.006204593,.002335442,.00043097121,.000091126698,.00004173179,0,0,0,0,0,0,0,0,0
.45595554,.8517071,.74858779,.31246251,.12376345,.02567417,.0064807655,.0017890752,.00040680336,.000017023307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.82781667,.7237885,.33751255,.13932697,.037285075,.0075146309,.0013735204,.00023484138,.000058865611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.72152668,.81479734,.38022453,.16669229,.051668789,.010571486,.0022593911,.00036178096,.000032075834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.71802104,.36666009,.14540303,.044930737,.012483653,.0030722329,.00054324465,.000065527609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.022571117,.0056729382,.001651688,.00032051862,.000062560408,.000012704948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.022617424,.057891462,.13914651,.28920132,.49999261,.89313227,.84851289,.49979421,.29677472,.1347983,.043115065,.016227772,.0042676865,.0015177198,.00036358493,.000088240442,.000017571276,0,0,0,0,0,0,0
.18368523,.058448542,.01638769,.0036519049,.00075080292,.00012683381,.00001655437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.3302469,.11545936,.034183282,.0056250324,.0012089727,.00015900073,.000035281129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.67062461,.86885029,.4035674,.14541902,.048501056,.0089337435,.0022719565,.00028167659,.000026845224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.20125654,.39719585,.67665076,.92171705,.59001631,.34159631,.14446557,.063058175,.018990105,.0064140717,.0010643656,.00045284219,.000071533868,.000012850097,0,0,0,0,0,0,0,0,0,0
.31293651,.65116495,.93867987,.5144189,.23431806,.065878078,.027406523,.0057696039,.0012966909,.00020858202,.00002937192,0,0,0,0,0,0,0,0,0,0,0,0,0
