p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.66184062,.6434418,.5981248,.5290634,.49918711,.37659159,.43208069,.3563928,.25363484,.28285828,.13469404,.21894348,.12816031,.13483591,.1270467,.14737812,.13099809,.10564907,.095243894,.084455736,.052904371,.038915012,.040680856,.040576048
.65589648,.68558329,.77720511,.76039428,.82586986,.82398647,.84188634,.93648154,.94286108,.95769304,.90917182,.87906331,.82331443,.82561052,.87826759,.83186078,.7933504,.74859673,.7881614,.71102732,.59558868,.49899402,.52864087,.54238045
.95663798,.90437192,.83165377,.77982831,.63174158,.55459768,.47564358,.50142515,.51639551,.44276047,.45237547,.29798016,.27285674,.33358866,.16755953,.18641879,.16327024,.097737215,.069475316,.061792955,.064708829,.044024147,.026406389,.0097089848
.13963349,.1605456,.18067072,.21095465,.2500079,.36544013,.31103078,.41220501,.48867834,.57663095,.54760569,.59418774,.8864494,.85974616,.94081891,.93576485,.8167631,.90393358,.7473805,.54586643,.44280323,.43793279,.35907817,.28657368
.88927436,.95283103,.98192638,.90703464,.89200461,.8384552,.73382723,.800668,.62185776,.63151997,.54740149,.52261895,.48019996,.30301625,.40104932,.29777688,.25734481,.29684091,.19014086,.12802728,.13549335,.1793956,.11815462,.085375071
.017309735,.022018623,.026705202,.043254741,.042286064,.038308017,.055897564,.059769448,.13658784,.1202219,.11546145,.17389968,.22305632,.28837359,.21891512,.26922721,.42942312,.40526876,.36564192,.53054428,.64254397,.66664565,.67809427,.67695177
.55453408,.63930839,.70832098,.67217207,.82352275,.90821868,.89652026,.93687135,.96591479,.76150608,.58399278,.75685018,.74897033,.60485446,.37989929,.48286322,.42739698,.42478159,.29029328,.29356408,.20827587,.15032163,.19002688,.13487236
.70438421,.69322526,.66993457,.60862732,.47004595,.51242882,.365917,.40728778,.40905297,.32189953,.29658228,.26785037,.34388351,.26003373,.20823038,.22004636,.26562643,.18010753,.1737681,.16882673,.18101273,.071328543,.066029817,.091123931
.93885326,.96857142,.90953553,.8577475,.74224764,.63735402,.684879,.63505471,.50090414,.45929909,.41044375,.31623152,.22665185,.20745853,.20253202,.22784267,.073448509,.19612844,.10890935,.065195955,.03235304,.032751653,.025447119,.049161173
.32547897,.29590619,.24388756,.21084169,.22543496,.18325943,.14596014,.1360769,.12919803,.10101204,.091753148,.10641564,.073072284,.057426237,.034014996,.037764855,.030858666,.02826336,.0083804931,.016652353,.03269973,.020887129,.0086840419,.0062237773
.98967242,.95661944,.88552958,.80573481,.82259065,.73725313,.77144891,.72202969,.58635658,.56272274,.57891166,.54690611,.42565402,.34373644,.36391369,.2975381,.37470347,.24265118,.21673617,.22239557,.2041465,.1620509,.14638722,.1048198
.93621784,.88300431,.83223712,.71552545,.78906554,.64311361,.59609282,.56473863,.4866966,.48345217,.42478469,.36729464,.39248434,.3522507,.30517179,.28426406,.2291344,.1703469,.10659987,.15542409,.088808872,.066222429,.075481392,.16761394
.51973569,.48020115,.43670815,.39193287,.3534337,.30970538,.21920744,.17180388,.17784867,.18649341,.10516417,.081978202,.076993562,.065775089,.07253851,.068192422,.042209741,.045821946,.02981987,.021324847,.019500967,.0074035996,.010537799,.0042031063
.94179624,.84408921,.79793674,.7200911,.63941652,.58084929,.60994875,.53269303,.50785744,.43718031,.44961122,.351156,.26098177,.23753412,.21434733,.18425494,.15826143,.163884,.13226646,.1196845,.068832092,.082860954,.048060231,.046963625
