p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.24239811,.17530447,.10788154,.073662341,.048268687,.023956193,.016928393,.010726308,.0056124558,.0023953046,.0010699766,.0005101774,.00029340145,.00013446932,.000062002517,.000040663483,.000015793692,.000011718208,0,0,0,0,0,0
.23511924,.32093927,.52005231,.622132,.76156509,.96365529,.88183105,.61412573,.52327806,.31049305,.21817207,.13603085,.11529982,.075490892,.04553603,.01753056,.0084222667,.0061173169,.0025704692,.0017970686,.00046688903,.00028904833,.00014576816,.00005067153
.96951312,.80197984,.62893629,.5211575,.35048237,.24128221,.15299165,.11350034,.073050074,.049219832,.023101171,.0098699955,.0058059846,.0033062024,.0024572315,.00064704998,.00044662118,.00016731217,.000095228839,.000058399743,.000022866059,0,0,0
.36373565,.47860813,.65101689,.80328733,.96486235,.79605436,.64240974,.53102189,.42542025,.24772705,.18272668,.12413237,.047167167,.051429883,.016733786,.014165389,.0082431398,.0017579931,.0019178896,.00061719114,.00038266386,.00014466503,.00015252482,.00011532003
.20487727,.13022244,.07759963,.044300914,.030728726,.014357315,.0070352545,.003060675,.0010406018,.00067709229,.00038796393,.00016563792,.000040094248,.000029324685,.000011840935,0,0,0,0,0,0,0,0,0
.73750424,.56757808,.37534663,.23694761,.16933908,.12428237,.080966778,.030358324,.014371918,.011361655,.003232273,.0015841277,.00079326006,.00015449543,.00014631459,.0001086772,.000041561914,0,0,0,0,0,0,0
.3136214,.2062875,.12895285,.081516683,.039442401,.030892119,.012727907,.0059787664,.0039679301,.0014171536,.00050053356,.00022041699,.000093716983,.000026850852,.000017319027,0,0,0,0,0,0,0,0,0
.42476606,.29715666,.21092191,.12059999,.065087922,.051473327,.027887607,.014736776,.0049609952,.0042380746,.0021130587,.00079157087,.00043927989,.00022738233,.000075475422,.000028510858,0,.000013019117,0,0,0,0,0,0
.51751125,.76020843,.9015125,.67272162,.41607633,.21371278,.12952991,.060639147,.026126947,.0096487682,.0038055237,.00098835002,.00071552128,.00008041034,.000024397948,0,0,0,0,0,0,0,0,0
.13444622,.23750305,.44009483,.63219768,.83685112,.87204641,.63752347,.40492526,.25134072,.12422504,.093164347,.031086994,.01138473,.0035607072,.0011878245,.00050428155,.00012505297,.000078295714,.000011222112,0,0,0,0,0
.99299848,.76603925,.53446615,.37682587,.2309714,.1147358,.071939357,.047600798,.023709316,.0084778871,.0042394823,.0027368541,.00080168276,.00023325565,.000078090969,.00005186192,.000014890707,0,0,0,0,0,0,0
