p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.55477476,.93845826,.60951889,.29063424,.10508746,.037225422,.01186221,.0016325738,.00043276852,.000080237005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.12438816,.05764981,.016549872,.0071282731,.0024324246,.00051706628,.00018009215,.000036846344,.000010241031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.000075272015,.00057594583,.0038320026,.022224315,.1228525,.30289564,.90310121,.62216598,.26391625,.058725491,.015183939,.0013964546,.00011902634,.000015522173,0,0,0,0,0,0,0,0,0,0
.18531214,.073445454,.020105638,.0074907742,.0014545054,.00031030722,.000056754634,.000010484542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.87277985,.51822692,.26924384,.11764989,.037642613,.011456789,.0036121423,.0007630075,.00018966908,.000025888454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.68944955,.38178304,.16764897,.054404736,.016321916,.0044803564,.0013130307,.00025441623,.000025368025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.2531147,.47605038,.8570928,.80475456,.40622008,.22703977,.090275079,.023784127,.0082913116,.0016761184,.00036223736,.000080288388,.000020714409,0,0,0,0,0,0,0,0,0,0,0
.50070751,.30911106,.17786357,.088248305,.045030229,.017185383,.0080495235,.0022326773,.00085125357,.00042282598,.00015318287,.000045729787,0,0,0,0,0,0,0,0,0,0,0,0
.14969607,.28690225,.50128001,.7618162,.870372,.57540733,.3588773,.15907182,.077961579,.033446856,.013549627,.0028943855,.00087899429,.00038832135,.000060631166,.000012891873,0,0,0,0,0,0,0,0
.88539428,.72326571,.35166523,.15715887,.073840089,.017170887,.0053194766,.0010151294,.00015733605,.000062464598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
