p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.9321056,.7945236,.52753794,.31834361,.17164887,.085533321,.046480566,.016196107,.0049431953,.0019972469,.00056839798,.00016032775,.000066879998,0,0,0,0,0,0,0,0,0,0,0
.38812086,.21849474,.097814895,.045890186,.020369459,.0071136355,.0022318715,.00066783099,.00018896257,.00005649115,.000014425633,0,0,0,0,0,0,0,0,0,0,0,0,0
.24353163,.57272828,.92729861,.43593836,.15943652,.040460031,.0097485092,.0012377906,.00016609272,.000011269896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.13085946,.029104907,.0051496355,.00063113181,.000063582127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.66619903,.25733483,.076255232,.013739375,.0017325012,.00021157326,.000029275794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.37514159,.13231054,.029686442,.0057294378,.00095648982,.00012920758,.000014955291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.78801364,.30050775,.065439939,.012120308,.0010706148,.0001047618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.45653233,.91223556,.64929467,.31871659,.093327664,.025480712,.0046607791,.0012382226,.000094715426,.000019604464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.50511789,.16100313,.035422787,.0049441718,.00058070407,.000041426098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.47743732,.26363775,.12161367,.058641631,.021430656,.006166758,.0021993192,.00089830463,.00018829654,.000046424386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.94222152,.54580772,.23146072,.097345911,.026636884,.0058001406,.0011243506,.00043429155,.000044954613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.11293179,.25303012,.53607762,.86838162,.70202214,.39554724,.17974804,.069331072,.019006789,.0052793054,.0010994622,.0002218428,.000035524139,0,0,0,0,0,0,0,0,0,0,0
.26775435,.55327135,.96450949,.63675588,.31422365,.14515263,.044253316,.012923432,.0025762857,.0004706459,.000078272074,.000016660515,0,0,0,0,0,0,0,0,0,0,0,0
.072920695,.020021278,.004356192,.00095359347,.00015794577,.00002223192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32049933,.076306984,.012205132,.0019408256,.00011975536,.000010681319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.8793875,.62928027,.28724849,.098275825,.023957489,.0042738938,.00068741984,.000080221966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.34348834,.84816611,.53919524,.19600849,.038076926,.0073515922,.00058924779,.00003791687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.64267796,.99910814,.66430938,.35081008,.18638621,.062824279,.028334696,.0092523182,.0021509232,.00073341961,.000073591662,.000032680509,0,0,0,0,0,0,0,0,0,0,0,0
.43833011,.15162644,.039740801,.0066442913,.0011397826,.00011002841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.044535913,.016656889,.0061201849,.0018626016,.0006552015,.00015160906,.000045358003,.000011280631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.14123365,.039349224,.0045184209,.0012198406,.00010429723,.000012017228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.87276787,.76002401,.39709124,.19454913,.076101467,.028827414,.0067556854,.0015736694,.00047855105,.00014240044,.000023740489,0,0,0,0,0,0,0,0,0,0,0,0,0
.3274878,.77386254,.69673604,.26515484,.066329353,.017065128,.0016391313,.00025401864,.000012311803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.25230139,.063813306,.009522154,.00093902834,.000090166141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.80153602,.6174354,.22604699,.050134268,.0090038143,.00091239024,.00020541035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.64927655,.89056665,.41692305,.12668528,.048376974,.0076194927,.0012830811,.00019503223,.000035703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.81772244,.63510209,.22693714,.062113427,.011148695,.0013946706,.0002417855,.000018794453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.75909978,.23164944,.044313263,.0048496216,.00029207146,.000014504829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.75775087,.74442244,.29978865,.080030002,.02594463,.0042414502,.00073099701,.000047508172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.085747853,.029899945,.0092228251,.0028025117,.00054801675,.000093685238,.000023326898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.086106606,.034787051,.012605041,.0037920049,.001043015,.0002445438,.000086140579,.000015002212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.22030772,.048913557,.0084197186,.00068820984,.0000994273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.86552918,.55803204,.19495848,.049977235,.008847517,.0010340209,.00013741922,.000012546468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32331902,.17234078,.075265773,.034800839,.012056381,.0047703367,.0015084462,.00041098322,.00015104118,.000041245614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.92763549,.56164026,.20464815,.05706289,.0094162012,.0012348603,.00017132354,.000013407553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.16224325,.026378967,.0040265485,.00029919131,.000013427246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.67182183,.83723056,.41993749,.14525656,.037983049,.0079875719,.0016850878,.00012040439,.000023287384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.10214292,.019782171,.0020617393,.00015376777,.000015047364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.25544876,.097933225,.032581814,.0090973303,.0016478403,.00028929985,.00006704915,.000013982607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.24722864,.051001884,.0079177571,.00057583797,.000041513631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.98244584,.48460439,.14370829,.031141203,.0033973174,.00056773616,.000053656066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.61312073,.2573562,.08186534,.013317136,.0028764871,.00034167233,.000049664577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.11712559,.042866249,.011628299,.0026359146,.00052238582,.0001286092,.0000264317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.266671,.074345149,.014653958,.0023674858,.00022443912,.000016805681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.81564122,.58833951,.18067744,.032894328,.0064365221,.00034894567,.000025854037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.35475251,.17722957,.067937359,.020205796,.0073559037,.0022390147,.00047984609,.000078573183,.0000164292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.1379995,.41230205,.91629201,.57585222,.18387686,.044979956,.0053205127,.0010675775,.00015664934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
