p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.74696219,.88675565,.53218812,.28227556,.12182163,.048154924,.013267469,.0040333676,.00088531815,.00020837392,.000057379053,0,0,0,0,0,0,0,0,0,0,0,0,0
.20502993,.095203675,.035721514,.013122912,.0046006674,.001306069,.00031012352,.000091130234,.000018583918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.0028942737,.027044464,.13454039,.49355003,.87501413,.32192728,.06308993,.0088725705,.0006775505,.000039918315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.070380181,.012351324,.0017267469,.00015815973,.000017065557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.82490689,.31946728,.089167848,.014823748,.0015981816,.00015623469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32085049,.073984891,.0097871786,.0011029614,.000079245918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.50051904,.88905221,.34979644,.07549943,.010092896,.0011708505,.000081730868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.97714782,.64582062,.32251653,.12310238,.043219823,.012375453,.0027629531,.00063055404,.000097696073,.000022283673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.42083347,.99457598,.36598134,.091369778,.013447141,.0015872387,.0001170496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.69734865,.38936409,.16604298,.067164429,.022159925,.0067139557,.0014844626,.00042062657,.0001012215,.000013132038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.44302851,.12728761,.022939829,.0029466099,.0003431337,.000029124278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.024784124,.080651969,.22385257,.49643499,.98339814,.60201991,.2476503,.081681415,.020494184,.0044761612,.00073244912,.00011256184,.000013743546,0,0,0,0,0,0,0,0,0,0,0
.043879986,.13660568,.35417166,.71185338,.82240719,.42120159,.192954,.059290837,.013184068,.0024948628,.00066257076,.000055413981,.000010783366,0,0,0,0,0,0,0,0,0,0,0
.36382735,.11740532,.027929135,.0050635817,.00058035436,.000065671382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.050700333,.0090911631,.0014296145,.00014288053,.000016068998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.77461761,.35934919,.11362275,.023283089,.0042038891,.00049632759,.000071366514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
