p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.84859544,.77179664,.43108737,.21142162,.083254427,.029992556,.0073953266,.0020676283,.00039659915,.000090130095,.000022359465,0,0,0,0,0,0,0,0,0,0,0,0,0
.21695082,.091839805,.030003406,.0094754416,.0028573773,.00066288124,.00012360347,.000031294414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.0024477006,.028885268,.1623975,.61683595,.67230541,.18276897,.023599749,.0021946814,.00010868383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.071611576,.011417238,.0014438055,.00011565369,.000010170274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.75350475,.26244211,.064851105,.0089201601,.00084563746,.000069443871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.27306253,.055524528,.0061380295,.00060485554,.000036453745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.60243005,.73003697,.23474818,.038202189,.0037907464,.000326921,.000017238281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.88186377,.69453198,.32763204,.11112181,.033631232,.008210199,.0014916476,.00027612175,.000032421554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.20610519,.62178516,.71026373,.25850806,.055877648,.008947541,.00087654422,.000083877443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.76725364,.43441474,.18574615,.074541889,.024379114,.0072583403,.0015391709,.00042493237,.000097403979,.000011705821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.21825933,.04566678,.0059459773,.00057546474,.000057463705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.024005076,.082758248,.2390731,.540609,.93714589,.51739061,.19051385,.055471849,.012008542,.0022142441,.00032095716,.000041280524,0,0,0,0,0,0,0,0,0,0,0,0
.046701718,.15377751,.40777916,.81524307,.69235593,.31203231,.12505087,.031462245,.0057638222,.00087835593,.00021108326,.000013809544,0,0,0,0,0,0,0,0,0,0,0,0
.3337321,.10100099,.022000073,.0036289133,.00037901514,.000039206596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.035050415,.0047089844,.00053879962,.000037098256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.80331343,.36247417,.1081977,.020229788,.0032859007,.00034610034,.000043458553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.85987115,.6578033,.26453245,.081191719,.015773986,.0037355612,.00038756535,.000048042788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.40989172,.75210994,.84765351,.47489884,.20490186,.07651931,.025370497,.0064105582,.0014999037,.00032968426,.000034965607,0,0,0,0,0,0,0,0,0,0,0,0,0
.33478019,.072853982,.0089608617,.00095798279,.000064010928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.18096241,.067673862,.022065887,.0059809322,.0014705224,.00026504541,.000054745989,.000010597631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.67394161,.85852718,.43361753,.16243997,.044154409,.011208984,.0025563496,.00037554165,.000059337122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.88260847,.70738322,.36173233,.14972444,.04581156,.01259803,.0028721474,.00060724764,.00008210638,.000018376197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.89494401,.5276947,.17576659,.03744017,.0060287695,.00064387271,.000062576917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.51712126,.13611948,.020923775,.0018278162,.00012424629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.80494308,.53021568,.13167751,.020348974,.0020687978,.00010199222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.09626504,.3619501,.85147148,.60211444,.17619206,.043518208,.0057103522,.00051172875,.00006088899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.56257194,.19728091,.050645664,.0089292796,.00090244738,.00010915376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.71542448,.17737435,.017998619,.0014802134,.000031900192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.14774084,.53448534,.8096242,.29269397,.0653392,.0072251828,.00066287164,.000047574569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.091350965,.019746859,.0043464792,.00062320201,.000091308793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.044389151,.010809568,.0021844399,.00042019389,.000068038331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.39708033,.93367434,.46607172,.1138223,.02460414,.0027876149,.00017727727,.000017344948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.47988516,.96524799,.44364798,.13575965,.023735054,.0059015998,.00042261821,.000067065856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.58562052,.27401468,.10564453,.032260861,.0082315402,.0016108012,.00031307538,.000053617019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
