p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.22181028,.69710481,.62476742,.19245602,.032621417,.0039794617,.00021038695,.000019346207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.72907454,.25523111,.048423659,.0070786118,.00086373661,.000062742656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.05997695,.24536811,.609568,.82984626,.34832257,.099669911,.017614249,.0026502393,.00025207395,.000020724201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.99988717,.40949726,.10559949,.014616136,.0018212961,.0001529877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.72781199,.64391106,.22680838,.045628555,.0054866388,.0005539392,.000032766038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.44082794,.10653636,.013825066,.0014541801,.000092247115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.91288489,.36387035,.094391502,.013735939,.0013611277,.00012988722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.37800026,.84243858,.58132863,.18050198,.043782879,.0076394198,.00073424488,.000090861962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.29344741,.82591236,.48117876,.12999342,.019955132,.0023475478,.00016671093,.000012637796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.5809508,.17814957,.026088923,.0034361214,.00030945489,.000024890909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.82285827,.29367578,.060452852,.0080604758,.00089411269,.00006685526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.042883337,.22296546,.71833581,.61083347,.13251065,.021280592,.0013331798,.00008848463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.10437515,.37038562,.90697479,.52631438,.16173297,.03171296,.0058810948,.00052796275,.000041824955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.7178328,.27543089,.072983578,.013468081,.0014506415,.00014480548,.000017741842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.0890617,.011031811,.0010610649,.000055855049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.56895596,.18891974,.036891419,.0037360522,.00042516121,.000023800272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.72265953,.24833858,.045668058,.0057351529,.00035907055,.000041964624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
