p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.65108585,.41880536,.21686664,.11045914,.049000662,.019167449,.0068918541,.0019634888,.00063816295,.00020943669,.00006924443,.000021027456,0,0,0,0,0,0,0,0,0,0,0,0
.16835044,.087658994,.03588498,.015334273,.0070998766,.0023606324,.00081884296,.00027940248,.000072569455,.000019286312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.048048332,.12912902,.30427608,.60924768,.98568892,.56917882,.26684746,.12654202,.039693747,.0097873155,.0018690155,.00036129187,.000062345571,.000016250253,0,0,0,0,0,0,0,0,0,0
.12196629,.043912482,.01358017,.0030247269,.000735012,.00014884413,.000023858232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.99309027,.578583,.29224181,.1041426,.028374361,.0075499373,.001674714,.00030697265,.000057924528,.000012156181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.51578814,.2395639,.080629125,.026876926,.0059947497,.0013875469,.00028865566,.000036294114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.15454416,.369982,.74633223,.76914591,.42924684,.16277502,.058675468,.013838967,.0034332741,.00046358226,.000073589341,.00001624996,0,0,0,0,0,0,0,0,0,0,0,0
.6518954,.3900831,.20637138,.093271911,.041477513,.014827697,.0047117462,.0016130244,.00030217366,.00010570511,.000027369151,0,0,0,0,0,0,0,0,0,0,0,0,0
.32483831,.59373653,.94925821,.67936754,.38860857,.17980686,.063517712,.022422807,.0085168639,.0018560423,.00046077787,.000087580709,.000021784595,0,0,0,0,0,0,0,0,0,0,0
.7320118,.47535273,.26543155,.15515381,.076355621,.028594622,.011176198,.0041392175,.0017533432,.00043673671,.00014816955,.000031713946,0,0,0,0,0,0,0,0,0,0,0,0
.550506,.25983697,.085804448,.024186956,.0076358207,.0014314937,.0002598119,.000058209993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.05372389,.12724337,.26152778,.46282491,.77671289,.85266894,.50302339,.32161662,.12445973,.054738563,.017705344,.0034941137,.0012231511,.00029927658,.000052090167,.000016489104,0,0,0,0,0,0,0,0
.11552848,.24376024,.46107864,.7350834,.89092666,.58021992,.33685231,.16536181,.079203829,.028025903,.0081223035,.0022923907,.0006342149,.00014095542,.000028441171,0,0,0,0,0,0,0,0,0
.22553495,.082590707,.027900336,.0073060631,.0017765255,.00032185577,.000062622799,.000010570724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.059668582,.019216008,.0056680567,.0013560647,.00030497825,.000068511603,.000015549893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.8331874,.77133632,.40724862,.21058111,.07396242,.02400378,.0056971419,.0015982556,.00032845529,.000060863022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.97166437,.56247258,.27468652,.10248315,.032114401,.0087164668,.00172899,.00052833837,.000054052656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.7996332,.90856385,.6396718,.39303276,.22439162,.10952635,.049172834,.021368673,.0094168102,.002754587,.00068889023,.00036534836,.00006880657,.000023953364,0,0,0,0,0,0,0,0,0,0
.24763285,.087790966,.020787641,.0056489231,.00075514946,.000096572963,.000016106424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.21748523,.1100538,.051526397,.021914775,.0088749472,.0029942258,.0009824828,.00028900043,.000087714659,.00002569836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.67486286,.3213411,.11425932,.031611361,.0062307753,.0014014179,.00030430444,.00004303805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.75194305,.95215321,.63686788,.42047167,.21710528,.11566187,.04433478,.018904675,.005551469,.0023391235,.00063987396,.00015633878,.000052036827,.000011189771,0,0,0,0,0,0,0,0,0,0
.71409369,.87727612,.53459138,.23098125,.091035314,.030362301,.0060954001,.0014588041,.00027333078,.000046018573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.19841187,.064066529,.015718166,.0032285645,.00042293227,.000064460211,.000010030924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.53562951,.96102637,.61908656,.25825936,.10346068,.028383926,.0071216542,.0013158151,.00015711757,.000033773573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.3223618,.63576716,.95899183,.54416353,.2453513,.083981864,.032530311,.0077670328,.0020676902,.00050020154,.000028365643,0,0,0,0,0,0,0,0,0,0,0,0,0
.51975131,.25141567,.10708264,.029622439,.0084192241,.0017690212,.00048986392,.00010627345,.000012232328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.91566014,.56073415,.21627784,.057315927,.012586677,.0017726399,.00017192107,.000016623104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.29786593,.62636822,.93465817,.49706814,.240274,.060255278,.021432865,.0039226161,.00086392782,.00011738088,.000015457174,0,0,0,0,0,0,0,0,0,0,0,0,0
.11044066,.038022492,.013135365,.0034588862,.00099907664,.00018917267,.000052905503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.057004482,.023207054,.0090364441,.0029927508,.00078689435,.00023374805,.000080015292,.000021300233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.1137411,.26584798,.51585126,.87534088,.73036128,.41391212,.17697598,.072447464,.019557698,.0054771169,.0012682284,.0002527445,.000044407814,0,0,0,0,0,0,0,0,0,0,0
.689089,.87313163,.51247472,.21101241,.071110666,.020312184,.0048586158,.00091092521,.00013725014,.000021328546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.26483744,.12313845,.047684152,.019056385,.0047616949,.0014527276,.00040353221,.000095390184,.000022438142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.57705444,.27471659,.10825746,.029916137,.0071911719,.0019271108,.00030807211,.000064088286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.76037467,.45125303,.22629768,.10107084,.033102855,.010890851,.0036015469,.00064701191,.0001716652,.000032002812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.46349326,.81150609,.72924328,.37592855,.15316655,.056199919,.012928111,.0034273271,.00068574504,.00010099931,.000014065144,0,0,0,0,0,0,0,0,0,0,0,0,0
.06009547,.014207551,.0028849971,.00041145168,.000047022331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.78918159,.43807662,.21351822,.083976246,.028014923,.0093366448,.0019933882,.00035637428,.000079211757,.000014138988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.9809556,.55086732,.22761393,.069201797,.018254995,.0028862744,.00048943766,.00007881489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.99450195,.5342803,.21529783,.070532404,.018090464,.0031803211,.00060706038,.000088274988,.000013595409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.77226031,.41038707,.15484218,.05480079,.015057463,.0028693771,.00049057388,.000075566582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.66917503,.38510987,.20762745,.087747589,.031012623,.011711329,.0031817064,.00075829547,.00026126386,.000042899537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.19588807,.53462493,.88459718,.42871192,.13322042,.0278624,.0041079959,.00047069404,.000046887413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.99899685,.57559717,.24317908,.074383795,.022945322,.0045636552,.00085447408,.00011322761,.000021018652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.67020297,.44435823,.2419194,.12758468,.060379691,.025572747,.010342205,.0033189068,.0013290772,.00034452759,.00011551195,.000028766081,0,0,0,0,0,0,0,0,0,0,0,0
.24533811,.48224965,.84286588,.77881157,.44077969,.20626755,.074965514,.024522586,.0058633313,.0017738487,.00035550082,.00007387418,.000014829793,0,0,0,0,0,0,0,0,0,0,0
.46353337,.773,.90261114,.56627542,.32060912,.1423566,.061348803,.024450488,.0064356076,.0018139391,.00039367256,.00013179095,.000028694169,0,0,0,0,0,0,0,0,0,0,0
.79079604,.59265423,.1931162,.03885499,.0053377096,.00041536175,.000051163159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.5359301,.24756172,.10183877,.030614899,.0062772674,.0014334611,.00030795691,.0000388058,.000010256485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.85960484,.4622978,.2059401,.069223262,.021008257,.0055573867,.0010637458,.00016759193,.000024631809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.50655061,.73515213,.96944165,.73570925,.48096958,.3059386,.18333802,.091603115,.048454013,.019237306,.0078161778,.0026026936,.00092214072,.00036603387,.00010799556,.000039943705,.000010987082,0,0,0,0,0,0,0
.99891531,.56364775,.25533414,.095399588,.025481939,.0059641479,.00095085253,.00028597884,.000030589956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.10395934,.26127571,.52002972,.86415482,.71023923,.38047844,.18380734,.058575805,.014725248,.0059812805,.0006713685,.00012819745,.000037000053,0,0,0,0,0,0,0,0,0,0,0
.44265458,.79775524,.7727679,.39598042,.16232042,.061200768,.018063862,.003313717,.00071683916,.00012431676,.000021764754,0,0,0,0,0,0,0,0,0,0,0,0,0
