p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.33348486,.54386508,.85334271,.9033761,.6218347,.3338632,.19151297,.084034488,.032496151,.017196573,.0042638043,.0016317872,.00055795664,.00013159394,.000023844568,0,0,0,0,0,0,0,0,0
.54862338,.33271578,.15338919,.083339967,.038883235,.015437403,.0046306523,.001599547,.00031277034,.00013310094,.000032797514,.000011332481,0,0,0,0,0,0,0,0,0,0,0,0
.37281784,.82838994,.70362854,.26022708,.05505611,.016344365,.0019314048,.00033085584,.000023160776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.28271258,.092995107,.017216645,.0041973107,.00064320851,.000077782708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.69351792,.27294737,.06851346,.010667111,.0013213134,.00034970551,.000017522363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.028977016,.0036092352,.00030558888,.000015312131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.13809508,.019460917,.0023695205,.00010525592,.000010374297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.39237839,.71552783,.871494,.47138149,.20795548,.080674082,.027662793,.0077655632,.0015855973,.00027848326,.000045103614,.000015876494,0,0,0,0,0,0,0,0,0,0,0,0
.93922573,.3543961,.057657558,.009635265,.0006170969,.000045212462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.40140373,.19561264,.074112587,.030397011,.0086747436,.0023439834,.00058431487,.000085667278,.000034278975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.97889596,.59951127,.23481055,.098321751,.023930591,.0053033098,.0011213808,.00015611987,.000019964016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.52533674,.90973371,.68962902,.3673349,.14504422,.047083519,.011635124,.0030747252,.00077145512,.00017834525,.000021411994,0,0,0,0,0,0,0,0,0,0,0,0,0
.21360588,.42195812,.78227282,.82685184,.48885509,.21193571,.080671482,.035609279,.0074570067,.0021101895,.00026926681,.000078340738,.000013489145,0,0,0,0,0,0,0,0,0,0,0
.8122279,.41839373,.17066932,.048068669,.014084128,.0019449133,.00047485702,.000091628797,.000010559096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.56265682,.21347481,.058011785,.014283385,.0017961861,.00024297877,.000037488986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.81152874,.40058526,.17488787,.056935336,.012380906,.0021755793,.00034609597,.00006915698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.67787385,.26278925,.074782267,.019364512,.0025364954,.00032648124,.000052418651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.84058881,.76239991,.43036535,.20048583,.07943406,.025547128,.0064874995,.0021248187,.00053327426,.000048769962,.000013566388,0,0,0,0,0,0,0,0,0,0,0,0,0
.32544279,.75774956,.65487182,.27813751,.076533236,.01798472,.0026965805,.00035535157,.0000314356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
