p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.44422153,.43651068,.4110581,.37312561,.3576186,.29824793,.32594267,.28594455,.22728184,.25392643,.15854204,.20693728,.15543395,.15132375,.13528606,.15394561,.13549207,.12208951,.12963006,.10531463,.076998718,.068693548,.074353479,.075048454
.32005718,.29395804,.23330836,.2456329,.20967346,.20732073,.19824629,.15677412,.15321669,.14459643,.10405512,.087553628,.081666209,.083336435,.093657523,.079357326,.072096176,.060650598,.070869029,.045466222,.039011553,.026215425,.030819219,.030493423
.0065779365,.0083392886,.010237975,.012408332,.019443724,.025371548,.035825904,.032042909,.035009727,.044418506,.049773294,.087041929,.085399233,.072045416,.14223933,.15450698,.15957288,.24647591,.37953863,.41339672,.35850844,.44992501,.56278074,.75400454
.15130706,.13316633,.12583141,.11972377,.10822061,.076800212,.088800371,.067613415,.060692564,.048271306,.054174758,.046754692,.027868539,.031011067,.02602431,.024474084,.016836565,.019309152,.012416033,.011782124,.0083544906,.0080317706,.0061211088,.0048045758
.66956127,.72074521,.78735942,.83949929,.85934013,.91508389,.99788004,.95756257,.89624339,.87309015,.8275376,.79739434,.71570861,.55705762,.63544732,.53102916,.45796776,.51316929,.38837326,.28424314,.2813496,.35212579,.24536243,.18865314
.94297653,.99774534,.94700038,.84612435,.81982881,.83441371,.77399015,.74212366,.55414736,.5706659,.55969548,.45872542,.40210575,.32718539,.37387449,.34057704,.26627475,.23541683,.27872807,.18111974,.18069626,.16252691,.13079485,.14637861
.2732462,.30440998,.33245081,.3219611,.380472,.40790606,.41051519,.46784917,.43827051,.55248976,.64633292,.58462578,.56069785,.67056471,.76064605,.71966767,.75005805,.76758212,.92821634,.91445565,.95127821,.95858961,.94388312,.90947556
.82205033,.81156749,.79001909,.75519788,.67002672,.67113584,.58375013,.61351061,.61685884,.54251409,.51246303,.53980297,.53493047,.46419513,.43593326,.45179674,.45801196,.38790578,.36330801,.37802479,.39638984,.24604267,.25561586,.27413499
.87305689,.81761014,.77201855,.74531513,.67559904,.60922408,.62680447,.60455018,.5296585,.49860638,.45019579,.38464281,.32485902,.3098599,.29366252,.3124595,.17815825,.27688688,.21083128,.14527461,.12099071,.10630171,.098531775,.11417224
.16433993,.1499867,.1238289,.10454486,.11394554,.10044207,.083049148,.079254061,.072657429,.063296385,.055026472,.061857324,.047102701,.032179814,.024481367,.022275509,.022982392,.02084291,.0087271528,.015107,.02308467,.015660889,.010956454,.0072335578
.53570306,.57175595,.63758618,.69164646,.68528193,.75401378,.72903752,.77244943,.89421624,.92551202,.90450102,.94972432,.92696035,.80837071,.84209841,.74299538,.83825099,.66233581,.61193091,.61980891,.59801239,.52369189,.47657782,.38726276
.97635049,.9366945,.89251667,.8111732,.84711701,.75516254,.70126945,.65188259,.57488441,.59891504,.53623265,.51058882,.48130769,.42828697,.45386606,.37673151,.33632275,.24041304,.19897488,.27492943,.16502179,.15872613,.14139673,.24121705
.3496547,.32642177,.30609581,.28355473,.25743571,.23436713,.17103915,.15876769,.16615574,.16650206,.11874514,.083648443,.091625296,.086774223,.083466455,.082578644,.070902646,.064983271,.050498035,.038701605,.030039228,.025710801,.023005575,.019399462
.5283215,.59857398,.62621748,.72275645,.78252459,.84142363,.82713461,.89467478,.92820728,.99566078,.99855155,.88180387,.73571843,.70317268,.65875202,.58235371,.55875075,.53929359,.54154432,.43860817,.34080154,.32896829,.26725084,.26343867
.84370679,.79645598,.75519186,.73610437,.7137208,.63430941,.62590432,.58861023,.54744476,.52280182,.48843235,.39534029,.39057237,.36080119,.36212021,.35038576,.30687881,.31291151,.24499674,.22411814,.18783282,.20550123,.1306918,.13189878
.11773379,.11313251,.09349671,.10105158,.088554204,.067166209,.066626154,.059880529,.042479068,.059603576,.042961296,.036322802,.034128074,.02936504,.034168679,.027027452,.028369982,.02707324,.014035583,.016921546,.013645418,.020687487,.010030223,.01103121
.70450258,.74031645,.81739724,.81607848,.89241338,.9781366,.91282558,.91443682,.80783331,.74629349,.79766637,.77139491,.74656576,.62681752,.64404982,.4830713,.35506651,.30343935,.30478826,.23973192,.26849738,.31454721,.27180573,.20474809
.20331542,.23278743,.24459741,.28469682,.29175693,.27015644,.36866483,.36451131,.46638659,.46179649,.57793528,.55933702,.69701487,.65565985,.68382299,.96960157,.91797698,.87524557,.98307699,.96759796,.95123327,.88964158,.87573308,.83886611
.44418108,.38603961,.38900977,.28260437,.27269873,.21807286,.20115893,.15139776,.1555668,.12996654,.093493886,.075249672,.068797052,.063299716,.044887275,.043996487,.035830744,.039632268,.02780214,.012854835,.0120317,.0064371116,.0050881593,.0088618165
.35618338,.30968791,.28039682,.23333529,.19825271,.18660156,.12356687,.098110445,.11565436,.089784771,.069994159,.038894065,.039623812,.037653334,.048061475,.027466167,.018562652,.011583216,.0062909448,.0054612583,.0034287749,.0049302182,.0043246606,.0019109824
.96487671,.98699838,.87747192,.92008877,.78580499,.79710895,.70568264,.64585227,.62283564,.62690836,.55613422,.56948519,.52304989,.38757434,.44808769,.36641133,.24488498,.33158726,.231655,.20795262,.22334267,.12874304,.16211919,.19368505
