p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20,p_storage21,p_storage22,p_storage23,p_storage24
.34519479,.21544743,.097204357,.047945708,.023097726,.0066943746,.0031089976,.0016610007,.00055490225,.000096920288,.000020728205,0,0,0,0,0,0,0,0,0,0,0,0,0
.53221118,.34059054,.13678493,.078769609,.0403383,.01590972,.0056740264,.0011771906,.00072680903,.00014972808,.000027379583,0,0,0,0,0,0,0,0,0,0,0,0,0
.83355713,.90576762,.64802033,.46104619,.2579281,.1321369,.062849961,.039984927,.016850702,.007707526,.0029939236,.00045324879,.00016766385,.000090982619,.000042733995,0,0,0,0,0,0,0,0,0
.68517864,.42414644,.21028768,.1159301,.047816735,.012626381,.0039867302,.0013187403,.00077538739,.000096619988,.000031405689,.000017187105,0,0,0,0,0,0,0,0,0,0,0,0
.41452932,.72614121,.93492615,.51087546,.37155658,.12168943,.055421058,.016389498,.0024416281,.0014105476,.00070055522,.000095893476,0,0,0,0,0,0,0,0,0,0,0,0
.51805121,.28803861,.10454791,.034499962,.016908187,.0059265997,.0021575305,.00021783034,.000031461263,.000019962261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.8713643,.6294114,.42378545,.2878978,.13325913,.099852875,.039628983,.02263754,.012792369,.0037903308,.0011618063,.00041612925,.00011066063,.00001906748,.000032062573,.000012386015,0,0,0,0,0,0,0,0
.33936083,.43191907,.52528244,.68383837,.84111798,.91087532,.89238214,.74861205,.65124434,.4954375,.43611747,.27343556,.22939789,.18169855,.12088898,.092224628,.03859143,.041460611,.024580956,.020254483,.0075043831,.0044917339,.0013914894,.001283442
.76335949,.88919783,.47283328,.26500139,.1122572,.032460991,.01287799,.0053417417,.00088061398,.00019110188,.000053135205,0,0,0,0,0,0,0,0,0,0,0,0,0
.94209391,.81130672,.52709568,.35719585,.23662122,.12810643,.074163742,.034205321,.017702401,.0056033819,.0037384448,.0011115393,.00041931361,.00007413065,.00003387325,0,0,0,0,0,0,0,0,0
.23099878,.10486266,.035285328,.014876683,.0059921201,.00085368659,.00040319789,.00017190095,.000036339508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
