p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20
.21526401,.012301304,.00028299727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.29914135,.63844419,.05169088,.0010806831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.059546381,.0073261303,.00069661957,.000055369175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.46863464,.023379333,.00016672714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.097291492,.0014746013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.92977208,.11718161,.0018684085,.000012968126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.61964846,.07580892,.0023907069,.000054051678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.05575604,.0050234739,.00028838168,.000012935418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.73855889,.29674059,.014877656,.0001185693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.055603962,.00041622878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.55684245,.026536133,.00017562897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.33067819,.007521424,.000040694224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.50960189,.19035673,.0022167426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.09177874,.0047042137,.00012280204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.027762722,.39635649,.48227304,.030807229,.00038374128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.64503735,.10071819,.0066995891,.00017911258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.3891542,.036299605,.0011040249,.000015524967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.09130051,.90223622,.0424532,.00042012532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.017617125,.000014752172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.014460179,.000054764496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.17837846,.0098210024,.00021677473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.32954818,.030436067,.0010345487,.000025180023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.63250238,.1046582,.00071624661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.33503005,.006764668,.000025254598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.3360925,.74573207,.11880891,.0042202291,.000064832522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.35639709,.0047789742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.00013458868,.01605553,.43527499,.33714798,.0078436714,.000048417696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.84933847,.19228363,.0078530079,.000083741339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.67842412,.008054113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.8036921,.14452794,.0028580385,.000019476118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.52490991,.046558801,.0010407157,.000020934396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.16664755,.000086892593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.74277377,.11259518,.0045170831,.000098307661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.95649183,.21792556,.013975938,.0002600555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.33176678,.64315665,.053537834,.0013547916,.00001372821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.15370457,.88305551,.092162281,.0014026726,.000012268781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.48782581,.034499113,.00074120139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.40034801,.31841147,.0064165378,.00003608724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.24912325,.028277008,.0016930399,.000056173685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.53003025,.19546098,.0027851961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.21171109,.011506237,.00038460019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.083350584,.87305617,.030573735,.00013270258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.69716531,.40880427,.043552108,.001987631,.000052974687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.38274604,.44163728,.012585851,.000075489799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.98364741,.16908689,.010166052,.00022370316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.65829283,.36811575,.02281075,.00050507451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.50380391,.038269497,.00067653996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.44417369,.72757035,.14290078,.013537847,.00033466108,.000015991272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.17412296,.0052201138,.000046389196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.82439405,.34339589,.040024608,.0018475065,.000060234182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.25030556,.87313247,.34688553,.055014502,.0042621004,.00016931692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.037047565,.00013290167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.9108386,.13433044,.0031540359,.000040382089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.89082479,.11552792,.0059525124,.000094047726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.75829607,.14583384,.002398798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.9459312,.16405244,.0078720944,.00017452124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.047360878,.00039698172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.53876078,.0088249054,.000022509857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.96991229,.052131448,.00014411948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.95173144,.23361228,.026235063,.00090718269,.000026245423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.7093237,.060361221,.0015616737,.000011988832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.063178003,.75660253,.17867346,.0033964512,.000020656333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.0032743465,.000023641944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.87067723,.13643296,.0016360901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.22758569,.0081062391,.00010458274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.83252794,.29308704,.057680964,.0073521095,.00055352878,.000039464441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.004972619,.23737158,.61477113,.027278719,.00019668404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.63146365,.36496711,.02729325,.00055721228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.070361696,.73739368,.0099963387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.24830619,.49525166,.013383374,.000047827434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.68855309,.067755297,.0012544899,.000010316803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.33555597,.022774948,.00044716545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.0492125,.001944836,.00003691547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.7260235,.49849308,.087333933,.0088635674,.0003045302,.000013372122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.62160534,.4257583,.04610296,.001155259,.00001514117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.16913529,.656232,.59330738,.11734388,.019841513,.00080356357,.000034623215,0,0,0,0,0,0,0,0,0,0,0,0,0
.74881107,.5326522,.1098153,.014955658,.00088981877,.000047703852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.13633141,.0019463571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.2490713,.60913414,.032718726,.00044703551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.97215855,.28341007,.028736958,.0013171285,.000043711934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.94404465,.048944857,.00013328242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.059675705,.00030994171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.52019513,.087996237,.006517747,.00020292262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.11421677,.001538117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.17910759,.0074537778,.000081497121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
