p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20
.68739808,.91336465,.5455839,.27707466,.10808464,.034599785,.0082482146,.0017737423,.00036659549,.000050219613,0,0,0,0,0,0,0,0,0,0
.86920869,.38873729,.12607677,.032084927,.0046476219,.00082841184,.000070588081,0,0,0,0,0,0,0,0,0,0,0,0,0
.18279555,.080886185,.033869363,.011303,.0032425625,.00084349664,.0002035314,.000049887356,0,0,0,0,0,0,0,0,0,0,0,0
.54394168,.92429507,.66755134,.34248617,.13835743,.045565169,.010941433,.0028056498,.00059192476,.000082137718,.000010330548,0,0,0,0,0,0,0,0,0
.0023549034,.00048129019,.000087333239,.00001337088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.85432619,.36403981,.10311097,.022504294,.002728811,.00028899041,.000021120841,0,0,0,0,0,0,0,0,0,0,0,0,0
.66821003,.93258089,.55010366,.26757345,.11543312,.035122916,.0093389954,.0025719318,.00043767723,.000077655219,.000011821618,0,0,0,0,0,0,0,0,0
.2611194,.40047598,.56541377,.7872197,.98538369,.72662312,.52417409,.34371439,.1990725,.10743628,.052698921,.026511403,.010974355,.0040075253,.0014700077,.00043814525,.00013254378,.000046284415,.000011156119,0
.59643185,.31235281,.14101559,.052375756,.015694598,.0043757455,.0010831909,.00020131152,.000035699493,0,0,0,0,0,0,0,0,0,0,0
.95675349,.6362974,.36616632,.17162362,.071106814,.026560146,.0089560682,.0022751712,.00051237474,.00011754039,.000017941034,0,0,0,0,0,0,0,0,0
.56183535,.26642784,.097376533,.026398188,.006667207,.0011006662,.00018590374,.000027429811,0,0,0,0,0,0,0,0,0,0,0,0
.17574349,.047887042,.0099963797,.0016607655,.00018004037,.000017277614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.28056791,.11771104,.041117746,.012904489,.0030848731,.00062939682,.00010986972,.00002034303,0,0,0,0,0,0,0,0,0,0,0,0
.32506999,.14362435,.055937015,.01774662,.0048294943,.001072933,.00026269892,.000041105566,0,0,0,0,0,0,0,0,0,0,0,0
.44530526,.75414282,.85138512,.51441437,.25822547,.10152604,.037861887,.012446741,.0023020715,.00047045885,.000086646301,.000018503248,0,0,0,0,0,0,0,0
.20487218,.069400035,.020307837,.0046082139,.00085666467,.00012656214,.000019534666,0,0,0,0,0,0,0,0,0,0,0,0,0
.31969699,.10466335,.022068486,.0039488412,.0005102281,.000052578045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.41337585,.7560854,.79671055,.42890114,.17216559,.055747747,.012918363,.0021703097,.00034453991,.000079812722,0,0,0,0,0,0,0,0,0,0
.17054199,.47076002,.97622031,.54143715,.19207345,.046188235,.010065266,.0011176382,.0001410728,0,0,0,0,0,0,0,0,0,0,0
.81233943,.50739068,.12648232,.018139653,.0013523473,.000066690096,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.78097439,.77042955,.38641807,.15978462,.045075655,.010306132,.0019019807,.00030482752,.000037706784,0,0,0,0,0,0,0,0,0,0,0
.13865355,.037556943,.0094458414,.0012024122,.00019637898,.000021841448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.70356303,.944776,.61029804,.34813428,.16118817,.062590599,.021670707,.0061664772,.0013614082,.00042729854,.000075762968,.000012893494,0,0,0,0,0,0,0,0
.66726422,.26686466,.073115267,.015789161,.0024384374,.00029713809,.000027428589,0,0,0,0,0,0,0,0,0,0,0,0,0
.84660369,.71744913,.37756488,.14747332,.047719464,.01049557,.0025718177,.00040809464,.000056823632,0,0,0,0,0,0,0,0,0,0,0
.56207001,.21732046,.061253808,.01263497,.0019094313,.00028387803,.000026123871,0,0,0,0,0,0,0,0,0,0,0,0,0
.46573263,.98245561,.49321812,.14915222,.031008694,.0060261283,.00051192066,.000037067788,0,0,0,0,0,0,0,0,0,0,0,0
.80030811,.40250719,.16896752,.048712511,.011694926,.0024404961,.00034899198,.000046136276,0,0,0,0,0,0,0,0,0,0,0,0
