se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.95265377,.94502544,.93930656,.93005657,.93541044,.90964079,.92070889,.90559298,.90115386,.89995754,.89110702,.89393085,.87891954,.89204794,.87473828,.85150766,.85976535,.83152014,.84354728,.84554857,.82119834,.81802315,.83637297,.82516605
.6287545,.62271488,.62060726,.61601555,.61446327,.61636299,.61219811,.63656944,.62322849,.60450464,.62606758,.59507573,.60600322,.61024004,.60262537,.59259385,.59396011,.62630957,.59752703,.55941004,.57864755,.60274804,.54895008,.55040276
.49586692,.49002579,.49340504,.49065155,.48174116,.47246137,.4833045,.47751567,.45978847,.48231751,.46598122,.47142324,.46180138,.4833158,.43938187,.46651265,.44066116,.45285049,.45895344,.45412964,.43918058,.43862376,.47127351,.43563294
.54577923,.54099572,.53711885,.52355301,.52553368,.52853328,.52458137,.52167422,.4975583,.51136714,.51449019,.51512355,.50521469,.51755172,.48218626,.51415342,.47713369,.48730099,.49490196,.45981765,.47431934,.5019384,.45388058,.47603339
.51813769,.51281369,.50220382,.51260859,.51817805,.51172256,.49735171,.51392788,.48293608,.51159889,.4982366,.49173111,.50131774,.47264144,.50071967,.49952069,.46449712,.49585542,.45204383,.43700776,.44475368,.49736997,.4485167,.49103957
.73364407,.72841269,.73624444,.72196329,.7166,.72828096,.70785505,.7126047,.7183972,.69265878,.69983488,.69715881,.69953156,.70510793,.67625791,.66301286,.65469545,.66187018,.68054068,.65930212,.66524589,.65295887,.63323706,.64090937
.71732765,.72090483,.71013004,.71066982,.69492137,.69873691,.70105731,.71507329,.69675738,.68830782,.70550495,.66764224,.69437689,.6597243,.66879141,.62991029,.66323262,.66053563,.64339054,.67655611,.64280671,.64205539,.65834546,.64341801
.37862447,.37159088,.36771244,.37663788,.3713716,.38281101,.37634549,.35418794,.35717443,.37765375,.39745983,.3526977,.35299677,.37597978,.35504729,.4070411,.35770983,.34687749,.34305558,.38636014,.32696846,.35898933,.30146298,.34452724
.81435937,.81271893,.80713052,.80289119,.79390216,.78968668,.78372663,.78068632,.79959309,.76849735,.76501828,.76807708,.7742753,.77414888,.77513599,.78406006,.74656266,.74319869,.73521882,.7335965,.72589374,.72301549,.73105699,.73378938
.75941259,.76067507,.75549656,.734056,.73882627,.73980081,.7373001,.72790325,.72162962,.72921473,.71113586,.6847738,.70852762,.70689553,.67081666,.70113647,.68208402,.67794955,.67378277,.65276331,.68979323,.69482607,.63901776,.65599209
.76416492,.75334132,.75385284,.75514024,.73657262,.73686123,.75874794,.72391468,.72709465,.73708254,.75371271,.72266185,.7007525,.74323827,.67975187,.73890215,.68023169,.70223451,.67055196,.701693,.67688382,.71771282,.64741313,.64136088
.92085993,.92201412,.90946132,.90975517,.90416622,.88278055,.88249457,.90340191,.88885981,.88120395,.87964576,.87782675,.88213569,.86656624,.85824704,.85222763,.86017233,.84749347,.83178097,.83152431,.82357264,.83358818,.81267494,.81436622
.34196076,.33702487,.34522808,.32472587,.33674586,.33904377,.32360098,.34555468,.31586418,.33021837,.32445574,.32227924,.33140469,.32051113,.30824351,.28470784,.31360891,.33383232,.32361907,.32007959,.32847455,.30647764,.30070004,.28825328
.66577464,.66593385,.65829778,.66019148,.65759021,.64676535,.63222218,.63654387,.65320742,.65081376,.64314401,.62772286,.63822526,.61769706,.60112816,.59667683,.6180141,.62354815,.59652722,.60301018,.58006859,.59011108,.57124704,.58817923
.71151036,.70744038,.69903791,.70730639,.71419489,.69178599,.68100846,.69827831,.69144255,.70287997,.68507743,.67591721,.70768726,.66832632,.64714551,.66634756,.67555159,.68674809,.6767329,.65800726,.68432581,.58727843,.65989065,.63641214
.68113172,.67234451,.67087495,.66918069,.66266108,.68652362,.65475309,.65406299,.66769791,.63882792,.6396789,.64315051,.61761463,.63207662,.61973614,.63975787,.61826944,.6041292,.6096226,.61396885,.58268529,.62516379,.61765569,.58464366
.43919381,.42869508,.43829179,.43985602,.42274264,.41773725,.44618881,.43090108,.42555547,.42169863,.42484444,.42638129,.42044598,.40301666,.43292162,.40761229,.40968096,.40154469,.42655161,.40265,.42210689,.39162174,.39645001,.43629017
.70927501,.69523698,.69768995,.70025235,.67874867,.69604272,.66741073,.6837166,.6713317,.66805327,.66896558,.64376104,.66030878,.67212021,.65431046,.63582438,.64437556,.61176145,.61633819,.60607439,.60728508,.62405366,.61304235,.61076218
.569677,.55679947,.56494224,.56251734,.55832362,.55134588,.5493778,.5532127,.54696155,.54707396,.54250169,.52090013,.53749657,.53504473,.52692819,.53225875,.49856359,.52821362,.50357199,.48790857,.52540809,.49801832,.50050974,.50570405
.83977866,.83035672,.82741183,.81777561,.82189828,.81192088,.80428398,.80518168,.829319,.81136,.79193836,.81801146,.79120821,.78589475,.81128138,.77814919,.77528048,.77976179,.77287787,.77729094,.76609844,.72520071,.71663225,.73749161
.18841319,.19060968,.18382621,.1893611,.17996828,.17960638,.1886037,.1858819,.19851518,.17357787,.17382811,.15914452,.17621706,.17722371,.17508379,.17673367,.15791853,.16624071,.17167711,.16737188,.16001663,.14705759,.16870062,.15874043
.67764288,.66998154,.6793201,.67073703,.66726005,.65655005,.6444273,.65405214,.67047215,.63578355,.64182454,.67970794,.63524824,.64840531,.65093386,.62319547,.62871611,.61803401,.64093232,.66003585,.60886973,.62512624,.62274903,.61319733
.24778233,.24427365,.24805957,.24445549,.23096669,.22263472,.23364301,.24183854,.23330459,.24700589,.24639036,.24680677,.25219911,.25427872,.21507221,.21322367,.24067007,.22626127,.24621867,.21890108,.21407323,.24135976,.23832014,.23662923
.3362242,.33010769,.34089243,.34380221,.32736823,.32938638,.31803101,.3229447,.33181196,.32256559,.3161943,.34488186,.34540674,.32275751,.32682335,.31879267,.3196792,.31747842,.32542214,.31611216,.30872467,.30067539,.31297693,.31343058
1.0603077,1.0550566,1.0500134,1.0487267,1.0396616,1.0329976,1.0349537,1.0370551,1.0347232,1.0158559,1.018079,1.0045122,1.0176107,1.0035225,.94594318,.99686825,.9569425,.9780097,.95882297,.93671829,.9296869,.98729384,.98829836,.94265854
.5713017,.56403446,.56580764,.57421464,.55855894,.5646013,.56783479,.57585651,.54691839,.55101871,.53934991,.55315912,.54607916,.54908222,.53897375,.54710042,.51738721,.54919475,.50410849,.53392738,.49940267,.51394677,.50642383,.50562859
1.0478185,1.0427309,1.0398058,1.0241144,1.0160162,1.0209236,1.009082,1.0067518,1.0124146,.98828584,.99084431,.98722923,.97998315,.97568125,.96412599,.9551664,.98011041,.99258089,.99033517,.94165558,.9314366,.91072249,.9302994,.92918622
.645392,.63782269,.64371747,.63784117,.62721258,.61569846,.62234455,.60919964,.61926836,.60300261,.60765815,.58640385,.61592412,.56308323,.58161402,.58532363,.57042921,.55408365,.56413639,.57161689,.57847196,.56170481,.53568077,.53321362
.4176774,.41605425,.41688171,.40053076,.40637651,.40580964,.40543941,.40593565,.40322101,.38256717,.40384746,.40164346,.37748545,.40536007,.39182299,.38633162,.37053645,.39127705,.3946,.38821921,.3636817,.34105033,.37992179,.36032382
.73056936,.7231279,.72093606,.72612721,.72541237,.7083869,.7314468,.70700556,.7085855,.69338107,.68611234,.69011742,.70288283,.69774967,.68101645,.67973405,.69040459,.67733002,.65635598,.7045427,.67751235,.65553093,.60811716,.62049878
.49182674,.49144655,.482409,.48269543,.48506877,.47554624,.4793146,.48387015,.49185517,.47427127,.45988825,.4691374,.48421919,.45527115,.44611889,.44505557,.45226339,.46110019,.45076507,.45059395,.44422829,.41483366,.43497029,.45457387
.24506941,.24381723,.24139035,.24177404,.24221526,.24604595,.24137343,.23616891,.24443702,.22997004,.22974747,.23016408,.24513459,.22415017,.22174282,.22204998,.22066265,.22533113,.21647476,.21691017,.21710698,.24557321,.22705835,.22621986
.38663706,.38907173,.38147503,.37504134,.37443087,.3704567,.3905066,.37961635,.38114581,.37330222,.3615225,.36237058,.35662189,.34931436,.36384213,.35418496,.36319995,.3624526,.33282965,.37576652,.38620353,.35813862,.3570351,.33737871
1.2284588,1.2203033,1.2152725,1.2051373,1.2122025,1.2055421,1.1811942,1.1846716,1.1721838,1.1796104,1.1677047,1.1581564,1.1634654,1.1506641,1.1487949,1.1503885,1.134221,1.13943,1.1264536,1.1077012,1.0937485,1.107787,1.0941042,1.0982001
.94899404,.94510841,.93487835,.94411045,.93296218,.9390555,.92943972,.90716797,.8937667,.90403283,.92394292,.92600507,.90621507,.90536368,.88779646,.83155096,.86945176,.88099849,.88196868,.82318747,.82710731,.84671819,.85085005,.81868875
.64305627,.64336228,.64132798,.63003743,.63161558,.64705789,.59962809,.63824689,.6128211,.58493817,.60260433,.59847093,.62953496,.60487545,.61731678,.56261253,.62280518,.56900924,.59933174,.59404618,.59127843,.59283125,.6075747,.56474906
.61809593,.61611813,.61541474,.61533386,.60327899,.61224961,.59668404,.59859943,.60438257,.5950737,.59633189,.57289815,.58405733,.57294637,.60447371,.57724291,.56765378,.59310782,.58499932,.57598716,.58085048,.60259217,.56921947,.55368847
.41207647,.40880767,.41278967,.40321916,.3994045,.39714247,.3922303,.40020284,.38626724,.3816511,.41501707,.38187212,.37903491,.39225498,.38020882,.38131034,.38317254,.38110957,.37231353,.37261003,.37827277,.38143128,.35802692,.37277874
.57534444,.57200414,.5700289,.56407988,.56472987,.55601192,.55870974,.55762476,.55296695,.55733585,.54467046,.5447852,.54336876,.53932297,.5304026,.53723621,.53821486,.52097636,.52076036,.53193718,.51576024,.50481558,.51265347,.5038588
.70987749,.70781738,.70754015,.69239175,.68536294,.67181545,.70350182,.68441403,.69381613,.68343139,.65383887,.67976165,.68670982,.63566786,.64711905,.64939684,.66342562,.62085855,.67749155,.64284801,.61639237,.6025719,.60992795,.59570509
.89211643,.89588714,.88625616,.88022012,.91287816,.8704164,.86900628,.86851633,.9072153,.91283232,.87591004,.86161613,.84982562,.83676958,.87977594,.87391776,.82357699,.88999045,.9335081,.87206751,.87286049,.85171127,.88329321,.82792878
1.4975065,1.4930574,1.4840653,1.4676473,1.4712149,1.4545608,1.4502573,1.4488195,1.4410365,1.4304075,1.4288449,1.4345769,1.4009074,1.3877324,1.389786,1.399477,1.3863693,1.3745468,1.3886276,1.3483446,1.3475251,1.3401939,1.3475661,1.3597963
.76505506,.76232737,.75458312,.7556026,.7386415,.74425197,.75190657,.7401253,.75069278,.72858673,.72678381,.69488883,.72814542,.71849197,.70791847,.70207292,.68915588,.66683453,.68592894,.67039204,.65681726,.65647739,.69767803,.69578463
.83453727,.82991201,.82098687,.83075035,.80842006,.8259691,.80014873,.80327982,.7796098,.7981621,.80177182,.78551465,.80582303,.78669775,.8010087,.77102643,.74711096,.7510829,.76003981,.77593178,.73548657,.75143921,.74166596,.77400166
.62445188,.61805928,.62213391,.61480761,.61727577,.62905407,.58961934,.58109194,.58273387,.59444261,.56749183,.58242095,.57488167,.58574098,.53268498,.58576405,.55236268,.55619419,.5453372,.53353757,.53306967,.54554766,.54107785,.53764451
.9177745,.90724254,.90008962,.90438467,.8815769,.88747042,.90332472,.87104309,.8786031,.88790995,.85364491,.85060406,.84088582,.8413524,.81906873,.84746349,.82178277,.81152034,.78421456,.77349085,.79689211,.79571831,.7766726,.75730586
.54730326,.54480517,.53202343,.55673432,.54557109,.5373621,.54389286,.53747755,.51109111,.51964265,.55901158,.53767812,.5254938,.54760331,.49205711,.5041362,.50486815,.52111238,.51715779,.50565755,.51140356,.47342512,.51306695,.48519143
1.3062894,1.2936218,1.2929653,1.2905942,1.2698659,1.2720613,1.2926819,1.280611,1.2572126,1.2335546,1.2318518,1.2530003,1.2172554,1.2239659,1.2137873,1.2252083,1.2025762,1.2008299,1.1523709,1.1778346,1.2119062,1.2178036,1.1591214,1.1195182
.8894133,.88815129,.88413316,.86104685,.88566667,.87748957,.87122017,.8741886,.83904076,.8400861,.88512963,.85179287,.85604429,.83626062,.83757889,.86254209,.83437133,.83689058,.8085618,.85655469,.82390344,.76360995,.81457245,.79862463
1.0160948,1.0098711,1.0060771,1.0093153,.9915306,.99980247,.96435249,.98824835,.97751778,.98442441,.96069789,.97540104,.9550544,.95827764,.94462365,.9401446,.92555279,.91757327,.9620083,.93244195,.92274958,.94820774,.8824566,.92733943
1.1844256,1.1764044,1.1703485,1.1676219,1.1564238,1.1457254,1.1418129,1.1265186,1.1313218,1.1316833,1.1182723,1.1122358,1.1037778,1.0986207,1.0844482,1.0887612,1.0747603,1.0773423,1.0489998,1.05353,1.0529414,1.0345525,1.0380255,1.0374298
.49491245,.49747667,.48944923,.48859414,.49960542,.47853687,.48194286,.48802328,.47827497,.46063757,.47428647,.47746348,.49113902,.45215866,.4562206,.46994549,.4629584,.47210547,.44948453,.47818455,.47399953,.45754993,.44089696,.43604171
.66069925,.65952784,.64896107,.64459276,.66042382,.63188791,.63764608,.62858188,.62858653,.61124271,.62311435,.62882578,.60526532,.59190458,.6151011,.60296708,.5965544,.58882719,.57968944,.58873838,.58734739,.58242863,.60871196,.56263983
