se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.0103663,.99706751,1.0040317,.99337846,.99180025,.97860849,.96109128,.97321045,.96218336,.97618508,.95579392,.92776948,.9339419,.9614445,.92055124,.89234108,.92052913,.90951979,.89746678,.89779657,.88650054,.87589175,.89771259,.8572287
.82483143,.81786132,.81628489,.80951804,.7965548,.81073743,.80333591,.81997132,.81159037,.79633498,.81424826,.7842949,.79364246,.79467773,.77663213,.77129412,.76611733,.81105924,.78180158,.74626982,.76509011,.79453194,.73056012,.72969437
.45211169,.44961986,.44763857,.43716335,.44013304,.43100551,.44050369,.42677757,.42480102,.44607615,.42513302,.44664195,.3967829,.4556275,.39604908,.43151423,.4078778,.4169434,.42609379,.40668654,.39765546,.39610827,.43581408,.40226102
.77175206,.76174355,.76414686,.73570824,.7429176,.74978435,.74972808,.73080581,.71384561,.73128814,.72204047,.71142644,.71330065,.71980304,.69931954,.71102226,.70078945,.70178378,.66856581,.64513373,.68236768,.70497662,.64772159,.68797481
.7710619,.75919169,.75365752,.77260923,.77442431,.76588434,.75550407,.77202475,.74382907,.76043087,.75081348,.74957806,.75453621,.70457548,.7497685,.73518848,.68106627,.75237453,.70095348,.67276061,.64318234,.69370562,.67024195,.70492452
.61687946,.6137206,.61064214,.61270541,.60270029,.59054017,.594935,.59395933,.56609923,.58658403,.59770972,.60731584,.56386614,.56718946,.57811809,.57353139,.59849995,.59117693,.55146289,.57039589,.55790633,.5715487,.56557602,.55932075
.99709249,.99936634,.98673177,.9909876,.97592705,.97708374,.96483475,.98670328,.96355063,.94849402,.97356129,.92641109,.96825063,.91442657,.92637515,.89149696,.9275918,.91084582,.90370613,.92805022,.88937479,.90191537,.90196353,.88360703
.4433127,.43554002,.43085304,.4403033,.42704454,.44050983,.43204471,.41077194,.41538605,.43273026,.45159107,.40882152,.40824467,.43739438,.40520296,.45936671,.42171109,.3921487,.39351466,.44006774,.37783924,.41394624,.35553426,.40923983
.62618113,.61701429,.62095267,.62388742,.61770302,.62073725,.59778577,.58440381,.59862417,.58722299,.60373628,.57577288,.57453746,.59603667,.58906347,.57316583,.57461601,.57045764,.55959451,.56772643,.58428067,.57413131,.52185446,.5515309
.4989292,.49953216,.49501032,.47724569,.47884467,.48026833,.48183733,.47669533,.46542314,.47618976,.46189821,.43517479,.45238543,.45746532,.4461582,.46299228,.44357827,.44213936,.42829505,.41890875,.44107807,.44374818,.40083399,.4121663
.98582089,.97637373,.97149771,.97810918,.95289361,.95985311,.98994553,.93637043,.936701,.95975107,.98343533,.93958306,.90977466,.95450014,.87785643,.97274303,.88574857,.90832943,.88940978,.90703541,.89279956,.94157153,.8473736,.8511613
.39372629,.39461067,.38392735,.39442313,.37166715,.38171956,.39340824,.38239792,.37544534,.37196839,.38838825,.37073418,.37267449,.36349183,.35473263,.36239982,.37476763,.36950687,.35325706,.3530935,.32327375,.35143194,.33820301,.35566053
.44204351,.42982304,.44914553,.43174553,.41759321,.43388203,.40763265,.43539953,.44095734,.42876863,.40874034,.40489161,.41171151,.38608405,.39855224,.36712673,.4119013,.40908799,.3553077,.36825097,.38725737,.39474872,.34198159,.39363122
1.017489,1.01135,1.0021236,1.0132883,.9991625,.98735553,.94991225,.97522086,.99063385,.9907527,.99676538,.97319889,.96194106,.93547136,.92913198,.91057754,.93534124,.94869584,.92259765,.89552408,.86485988,.89872158,.8249234,.88700408
.51015019,.51454014,.50307429,.50227553,.50143152,.48888028,.49217281,.49244174,.47448751,.49281985,.49504375,.44670266,.48110902,.45734787,.48391128,.45510533,.48980284,.44198605,.4322162,.50057811,.46245,.42890584,.44772699,.46193725
.53166515,.519714,.51906389,.5182423,.51333839,.53119344,.52190977,.50267452,.50833577,.51700884,.49932674,.49740627,.48400101,.49432716,.48657802,.50265867,.48822409,.4784618,.47520536,.49248037,.46212626,.48316073,.46392584,.44922286
.78809977,.77236217,.78167677,.78463537,.75695491,.75410712,.77685982,.74038559,.73872119,.7249676,.74504954,.75643522,.7388221,.68658721,.75089294,.69864047,.68485528,.7026664,.69606233,.71510559,.70383459,.64137203,.70172495,.6978519
.47636819,.46344247,.46944523,.46514845,.45121226,.46237844,.44279793,.4667131,.44101655,.44771501,.4391754,.45132953,.41438034,.42783618,.45186388,.4297404,.43183845,.39287743,.41602746,.40996006,.40503848,.40096831,.40328124,.42123455
.781654,.76167399,.78388226,.76533896,.76619774,.7667132,.75481355,.75794339,.76421934,.75941277,.74176466,.72487891,.74060905,.74366063,.74011868,.73844641,.6949513,.7427702,.70238757,.66339147,.72694379,.69021428,.70802295,.67939359
.57858181,.57581204,.56804383,.57327253,.56493825,.55468875,.56020027,.56380218,.54393882,.52467149,.54209632,.53430152,.53774291,.53304243,.51554108,.51734132,.51532507,.50972605,.52927065,.51667333,.49946105,.5476619,.52181768,.49959993
.17644919,.17889957,.17916203,.17882116,.16895887,.17251295,.17442651,.17079993,.17313288,.16662349,.14995895,.15337726,.17973328,.17756104,.16518399,.16337474,.14651431,.13907321,.16525413,.16144338,.1525349,.15867259,.16561484,.13985212
.79584038,.78514928,.79528153,.78667873,.79141825,.7795077,.75468034,.76346105,.78271681,.74408734,.74846029,.79546446,.73706943,.76976484,.77648652,.72305095,.74540699,.73602748,.73789626,.78223497,.71938336,.75213891,.75463337,.72153193
