se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.68039155,.67854291,.67431772,.66982734,.66515511,.66567391,.66224396,.65780181,.6477055,.64848375,.64807385,.64548743,.64358467,.63622963,.63878584,.62544584,.63317657,.61614615,.61882579,.61728871,.61468518,.60940486,.60663879,.59898841
.79113495,.78673494,.78296429,.77899152,.77568972,.77017379,.76923138,.76345414,.75866342,.75587147,.75170642,.7489264,.74678105,.7425853,.74025035,.73498982,.73060846,.72399199,.71957582,.71615869,.71205342,.70748317,.70543569,.70036989
.622141,.61914355,.61702555,.61442214,.61130607,.60812169,.60186428,.59849274,.5979268,.59485716,.59192896,.59031236,.58457559,.58642626,.57934344,.57717168,.57102472,.56864238,.57236588,.564147,.56308275,.55851805,.56096375,.55585891
.75443649,.74984676,.74722493,.74463075,.74104846,.7342217,.7300303,.72747707,.72544938,.71945077,.71305972,.71393234,.71037346,.70650017,.70522708,.69784862,.69068927,.69241542,.68968809,.68195629,.67756367,.67279476,.67699879,.66402346
.90325409,.89951009,.89372617,.89030343,.88543487,.87902927,.87504405,.87129414,.86637503,.86407554,.85922098,.85535264,.8470794,.84147769,.84080029,.83413398,.8316586,.82654727,.82669836,.81694973,.81106848,.80787992,.79902178,.79749018
.61013073,.61044616,.60526139,.60132617,.59574062,.5911749,.59386909,.59171051,.5850293,.58211386,.57847542,.56923646,.57216686,.56473833,.57141709,.56609219,.56340146,.5531069,.55755341,.54599226,.55122566,.55130267,.54223561,.54344147
.61429012,.61018145,.60842878,.6069665,.60173208,.5986957,.59491372,.59321409,.58810586,.58736867,.58526278,.58147597,.58034647,.57733542,.5728901,.56903714,.56842309,.56422579,.56413704,.56046671,.5523203,.55009997,.54916656,.54547286
.6167919,.61392564,.61021709,.60763723,.60366505,.60217136,.59889382,.59182745,.59576672,.588664,.5806036,.59015864,.57793158,.57789457,.57108885,.57201725,.56717837,.56773812,.56485605,.56349695,.55597371,.55612743,.55766034,.55962646
.71954507,.71571839,.71168017,.7081874,.70470643,.7016713,.69682992,.69513804,.69149691,.68942881,.68414068,.6809929,.67641509,.67423809,.66876811,.67227894,.66155362,.66253531,.65381896,.65469521,.65392476,.64177209,.64012229,.63788754
.83131737,.82725447,.82136589,.81968307,.81401807,.80798656,.80548406,.80443811,.79727793,.79400623,.78878033,.7861039,.78002,.78068095,.77268916,.76748002,.76598173,.75882596,.75625515,.75341165,.75044203,.7463122,.73951054,.73394603
