se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.4546597,1.4483944,1.444015,1.4316643,1.4224701,1.4184635,1.4098231,1.3990942,1.3929199,1.3827497,1.3852396,1.3740914,1.3676668,1.367278,1.3550282,1.3375803,1.3252366,1.3291949,1.3169278,1.2948768,1.3041008,1.2978232,1.3047296,1.2661537
1.2960718,1.2887441,1.2776413,1.2731134,1.2737854,1.2659571,1.2675226,1.2448137,1.2408389,1.224912,1.2353495,1.2314246,1.228927,1.2134064,1.2072239,1.2071645,1.1888833,1.1893524,1.1731695,1.1684406,1.1536241,1.1689638,1.1249843,1.1322851
1.6571031,1.6492856,1.6406761,1.632946,1.6235375,1.614861,1.6087201,1.6026297,1.5914592,1.5845485,1.5729308,1.5633568,1.5557824,1.5522578,1.5412,1.5409911,1.5207938,1.5154146,1.5077525,1.5009694,1.4957108,1.4924954,1.4794074,1.4634
1.6554437,1.6462669,1.6381824,1.634159,1.6209846,1.6177356,1.6103685,1.5998255,1.5845597,1.5824008,1.5739611,1.5515823,1.5560225,1.5413519,1.5321958,1.5231346,1.5130377,1.5261838,1.5010579,1.5007964,1.4845545,1.4760607,1.4697509,1.4577836
1.5200326,1.5150908,1.5062726,1.4986748,1.4875289,1.4770097,1.4709269,1.4649575,1.4593084,1.4517934,1.4437566,1.4387231,1.4200039,1.418586,1.414461,1.3910146,1.4027404,1.387332,1.3781071,1.3521085,1.3667619,1.3764553,1.3513846,1.3335177
1.1241729,1.1252841,1.112167,1.1073467,1.0941495,1.0858546,1.090575,1.0718096,1.0784224,1.0677207,1.0606683,1.0607748,1.0563002,1.0371977,1.036787,1.0323888,1.0380442,1.0035092,1.0185019,.99843192,1.0177752,1.0076644,.98984498,.9735834
.95615155,.94914347,.9437983,.94359338,.9350782,.93078721,.9285152,.92469329,.91161424,.91396075,.90364695,.89514482,.88287377,.89899349,.90178818,.88778454,.87906402,.8914423,.87300044,.87026799,.85709071,.83693463,.84706104,.82732391
1.258022,1.2500138,1.2468265,1.229321,1.2315686,1.2247251,1.2196589,1.1999987,1.2051263,1.1892729,1.1943526,1.1854599,1.1758629,1.164894,1.1458646,1.1493214,1.1391631,1.1465118,1.1281204,1.1495575,1.1315198,1.1236286,1.1218662,1.1275641
1.7462308,1.7382935,1.7284585,1.7192746,1.7087809,1.7025533,1.6863056,1.683284,1.6789932,1.665774,1.6603335,1.6452365,1.6336951,1.6316706,1.616394,1.6227009,1.6162903,1.6027682,1.5851983,1.5798177,1.5744506,1.5510402,1.5511751,1.5444618
1.4372928,1.4283447,1.4199586,1.4137744,1.4046121,1.3930779,1.3895727,1.3878263,1.3803093,1.3607895,1.3643692,1.3563486,1.3485965,1.3368196,1.3317627,1.3219236,1.3193965,1.3084702,1.3023149,1.2892311,1.2932434,1.2756624,1.2759664,1.2625967
1.206582,1.200473,1.1965861,1.1815877,1.1734028,1.1728158,1.1627674,1.1599325,1.1501266,1.13938,1.1477005,1.1371309,1.1364384,1.1227453,1.11483,1.0970407,1.1098326,1.0943483,1.0937871,1.0953524,1.0802233,1.0823296,1.0631379,1.0643129
2.7245359,2.7120886,2.6995146,2.6842258,2.6706331,2.6528554,2.6429956,2.6279233,2.6170039,2.5965343,2.5864923,2.5734808,2.55951,2.5441227,2.5330484,2.5181978,2.5114539,2.4980996,2.4817364,2.4618874,2.4490879,2.4397528,2.4272146,2.4104247
