se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.84757882,.84531105,.84522605,.83665764,.82663119,.82337815,.82157135,.81476277,.80970359,.80223554,.80757141,.80259603,.79462701,.79686081,.78954905,.77339673,.76908141,.77107841,.76561958,.74415463,.75234491,.76669121,.76279736,.72352552
.97063285,.96440566,.95919716,.95220733,.95373994,.94799554,.94969511,.93219334,.93132728,.91805559,.92530948,.9218173,.91008627,.90381587,.89883167,.89818269,.8889522,.8879683,.87966716,.87159222,.85963207,.86155897,.83623022,.8446418
.7108084,.7068457,.70205063,.69904035,.69696409,.69312114,.69445217,.69084924,.68777406,.68505335,.66704321,.66233504,.66688406,.67352057,.6593594,.67505723,.65592164,.65213162,.65927118,.64351463,.64325887,.65284222,.64494359,.62407696
1.1170113,1.1105908,1.1056139,1.104136,1.0963305,1.0914032,1.0859333,1.0816542,1.0685526,1.0632602,1.059806,1.0430454,1.0556736,1.0338293,1.0422398,1.0290198,1.0247217,1.0371391,1.0158501,1.0207554,.99805826,1.0060229,.99879158,.9842937
1.1591806,1.1563921,1.1491165,1.1428353,1.1338173,1.1258842,1.113463,1.1172258,1.1091188,1.106135,1.0980661,1.0943805,1.0834985,1.0819288,1.0775412,1.0568244,1.0708381,1.0596418,1.0517292,1.0235655,1.0446604,1.0494111,1.0181057,1.0195143
.75248682,.7559818,.74144435,.7433365,.73019898,.72069305,.7304374,.71383369,.72347844,.70931822,.70757443,.70731151,.70172733,.69532204,.69262886,.68708569,.69120169,.66181248,.67881852,.66025937,.68005747,.68044311,.65788382,.6397016
.68657309,.68069315,.67680842,.67685199,.6697374,.66575974,.66816103,.66278064,.655195,.65166384,.64717942,.64211577,.63272464,.64874291,.65310544,.64039016,.63192827,.64168924,.62488484,.62919772,.61734688,.59849614,.61549979,.59264261
.86066079,.85709268,.8549996,.84081173,.84231436,.84281427,.83416641,.81965411,.83060634,.8173281,.81425166,.81767285,.80647057,.80317903,.77907109,.78122729,.77187556,.78451812,.77475017,.78419125,.77605301,.77688265,.78015131,.78359973
1.1783707,1.1732528,1.1660299,1.1622095,1.1499672,1.1481746,1.140002,1.1326901,1.133312,1.128076,1.1219214,1.1104357,1.0988307,1.1006092,1.0903469,1.0980219,1.0956738,1.0815902,1.0686409,1.065997,1.0659181,1.0466648,1.0580754,1.0417026
.83981413,.83442223,.8289839,.83021986,.81646848,.81300187,.80694449,.81046599,.80906296,.79113483,.79087836,.78775054,.79103786,.77496779,.76862812,.7755391,.76508528,.76361614,.75649297,.76477247,.75533456,.74481004,.74322438,.73666316
.92121565,.91639286,.91169107,.902951,.89458066,.89771694,.88843584,.88130832,.87856174,.87177616,.87594706,.86849195,.86707622,.85620701,.85155576,.83227026,.84701669,.83496982,.83641255,.8391602,.82091945,.82690704,.80254477,.81503874
1.3361843,1.3334529,1.3269397,1.3136363,1.3111258,1.2989819,1.2932585,1.2943726,1.2858396,1.2763065,1.2643722,1.2592221,1.2562841,1.2540065,1.2404636,1.2410719,1.2351553,1.2417825,1.2142214,1.2055236,1.203663,1.1909062,1.1920257,1.1844672
.6779207,.67134178,.67079836,.66278589,.66880351,.65798348,.64463282,.65792066,.63696659,.65362853,.64185113,.63048846,.64106691,.61999416,.63521099,.62579459,.61595535,.63024628,.61710924,.59510493,.60475194,.59829915,.58621234,.59546846
