se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.7367543,.73426551,.73549587,.72612256,.71758252,.71800679,.71357012,.70333529,.70225316,.69473833,.70268804,.69624114,.69081706,.69672024,.68534631,.66851079,.66462833,.67364138,.66191155,.63557118,.65145773,.66048819,.66925693,.6188001
.73892891,.73338878,.72978497,.7237246,.72598314,.72297758,.72906333,.70535553,.70888734,.69209421,.70740515,.70175695,.69577247,.68401855,.68574959,.68826365,.67216837,.6746574,.67164373,.66262293,.65086365,.65392733,.61945903,.63584083
.91264153,.90756649,.90220314,.89886677,.89438707,.8915661,.89026159,.88268757,.88001168,.8783654,.86212611,.85584402,.85421556,.86022073,.84590763,.85998315,.83966887,.83840948,.83735019,.82448357,.82667428,.82746452,.81859976,.8055709
.80568415,.80104619,.79695779,.79899663,.7891469,.79161769,.78755379,.77975315,.76809645,.77093285,.76232255,.74169558,.7578817,.73888761,.73712671,.73506421,.72450536,.75403333,.72591245,.73510814,.7181285,.71443534,.71811986,.6959579
.79584384,.79670209,.78992939,.78689933,.77696842,.76937103,.76307315,.76620686,.76334101,.7607128,.75553286,.75225431,.73897403,.73911691,.74455559,.71523315,.74272138,.7255345,.71956325,.68261057,.72453779,.73490381,.69934589,.69175518
.79645032,.79926193,.78548729,.78611559,.77299374,.76406795,.77311659,.75646329,.76615536,.75319314,.75030094,.74852151,.74265039,.73467618,.73208314,.72840083,.73271573,.70158887,.71995413,.69924575,.72089028,.71923709,.69550437,.67773998
.71171755,.70584202,.70122141,.70288247,.69310069,.69103074,.69172496,.68540651,.67954999,.67653674,.66915846,.66697866,.6560899,.6723389,.67251104,.66050345,.65259683,.66332334,.64834344,.65130913,.63985509,.61993897,.63299876,.6156587
.76822901,.76570523,.7622236,.74907142,.75043058,.74967009,.74157673,.73050791,.74238211,.72746211,.72699505,.72718894,.72085804,.7161842,.69346291,.69280463,.68309933,.69588906,.68852127,.69236398,.69169503,.69273883,.69345188,.70072222
.80895936,.8058235,.80082035,.79876548,.78892434,.78606296,.77766877,.7776795,.78119922,.77590942,.77014494,.75496447,.74904639,.75554353,.74024296,.75763798,.76100951,.74657792,.73012596,.73133552,.73069066,.70838374,.72624654,.71796787
.77924818,.77292567,.76582885,.76778239,.75706202,.74955088,.74837315,.7548548,.75144249,.73310679,.73572749,.73197854,.73313302,.71867824,.71461159,.71633995,.7076866,.70612234,.70061463,.70276451,.69729477,.68651718,.6940794,.68187284
