se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
3.3810108,3.3315134,3.3175755,3.2728741,3.287312,3.2886078,3.2399161,3.2447424,3.2447646,3.1155884,3.2090385,3.1883283,3.1187687,3.0426905,3.1006985,3.0678842,3.0998743,2.9450762,2.9030571,3.0493248,2.9106777,2.7982635,2.9169543,2.9166269
1.7523074,1.7517104,1.7172614,1.7271467,1.6866453,1.6956835,1.7009044,1.6863228,1.7175993,1.6737043,1.6598589,1.6065563,1.5787971,1.6746912,1.5950265,1.5423347,1.608187,1.591009,1.6382253,1.495137,1.5365093,1.4707321,1.5449138,1.4549435
1.7862028,1.777239,1.7525454,1.756132,1.7300903,1.7392588,1.7184221,1.6946892,1.7044352,1.7251217,1.6666565,1.6580043,1.6351551,1.6623881,1.6340442,1.598285,1.6333146,1.6487228,1.5832576,1.592546,1.5743802,1.557806,1.5594606,1.5667249
2.3656633,2.3509295,2.3333411,2.3206975,2.306473,2.3020482,2.3030403,2.2757432,2.2670727,2.233474,2.2417982,2.2022822,2.2138534,2.1722412,2.161145,2.1839139,2.1646366,2.1599741,2.1541612,2.0783398,2.1020973,2.0684321,2.0342383,2.0226583
2.0022018,1.9987903,1.9916109,1.9560982,1.9497051,1.9438146,1.9206613,1.901225,1.9014465,1.8931797,1.8795227,1.8551776,1.8519807,1.8198249,1.8588749,1.7853551,1.8225015,1.789207,1.7889968,1.7305503,1.7179922,1.7508672,1.7231824,1.7489418
2.0513234,2.0409725,2.0175066,2.0093749,2.0158496,1.9985138,1.9831238,1.9574999,1.9337285,1.9300582,1.9357169,1.9117821,1.9009564,1.8808241,1.8924239,1.8926018,1.8492886,1.863183,1.8400826,1.8050902,1.8283329,1.7900457,1.7753881,1.7590494
2.1078236,2.0944564,2.0816908,2.0591679,2.0593183,2.0455813,2.0340481,2.030369,2.0177946,1.9929202,1.9863626,1.9686481,1.947299,1.9387544,1.9345922,1.9181768,1.8984542,1.9145229,1.9132516,1.8777579,1.8527131,1.8506253,1.8331958,1.8458152
2.6815276,2.6848402,2.6529508,2.6564114,2.6361554,2.6081629,2.5287778,2.5930462,2.4963381,2.6430819,2.4385293,2.5207291,2.5174556,2.4003217,2.3110096,2.4546092,2.3756702,2.2703311,2.233578,2.1979065,2.3497052,2.3116424,2.4384823,2.209146
2.324883,2.3129787,2.289572,2.2864931,2.2664785,2.2789145,2.2322721,2.2191229,2.2320595,2.1820378,2.2336566,2.1870723,2.1659548,2.1821687,2.1686339,2.1133409,2.1272666,2.0924571,2.0537457,2.04445,2.0373557,1.9960049,2.0386362,2.0230038
1.3139865,1.3008924,1.270498,1.3038732,1.23756,1.2598848,1.2622021,1.2373383,1.2547866,1.1867158,1.2495638,1.1733457,1.1961194,1.1419072,1.1673802,1.0950176,1.1989754,1.0763514,1.1336675,1.1815625,1.1104831,1.0442808,1.0511919,1.066251
2.1117594,2.0949264,2.0946293,2.0720959,2.0787473,2.0592196,2.0617583,2.037437,2.0141647,2.0352046,1.9724799,2.0045297,1.9670084,1.9627794,1.9326897,1.950399,1.9121032,1.9309564,1.8966814,1.9078546,1.8938068,1.8457334,1.8523198,1.8928168
1.9462361,1.937143,1.9200878,1.897498,1.8964461,1.8778644,1.8848414,1.8172795,1.8635916,1.8498535,1.8194276,1.7889999,1.8096482,1.8078696,1.7589297,1.771224,1.7229437,1.6676377,1.7604469,1.7078092,1.6998262,1.7357635,1.6655011,1.6620846
2.2665462,2.2561607,2.244421,2.2191668,2.2236543,2.2002788,2.1878498,2.1782289,2.1917911,2.153945,2.1220899,2.1115732,2.0771956,2.0730243,2.0678229,2.0930223,2.078351,2.0424914,2.069953,2.0028954,2.0193298,2.0096226,2.0242736,1.9503279
