se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.0886581,1.077642,1.0765622,1.0756209,1.063643,1.0605203,1.0692825,1.0551963,1.0486941,1.0320349,1.036499,1.0364119,1.0194296,1.0075576,1.0066596,.98933351,.97942007,.97435147,.98093408,.92769688,.93497306,.98604953,.95067692,.98149216
1.498679,1.4873192,1.4847776,1.4765809,1.4737642,1.4676394,1.4539716,1.442868,1.4161353,1.4195054,1.4222997,1.4138691,1.3814251,1.3891826,1.3771729,1.3696611,1.3568022,1.3608458,1.3566709,1.3558288,1.3322731,1.3361893,1.3178424,1.3010291
1.1289506,1.1249428,1.1206219,1.1024958,1.1135241,1.1054564,1.0994923,1.0903139,1.0951341,1.0880663,1.0887243,1.0909553,1.0819874,1.0674472,1.0542388,1.0531744,1.0727675,1.0495156,1.0271816,1.0473689,1.034905,1.0213544,1.0356559,1.0307347
1.5644735,1.5548706,1.5422163,1.5424063,1.5384574,1.5155964,1.5221523,1.5096769,1.5080909,1.4992942,1.4910779,1.4656186,1.4776312,1.4667594,1.4757341,1.4580938,1.4256219,1.4374746,1.4252534,1.435791,1.4048686,1.4171776,1.4161329,1.3920155
1.3230046,1.3162447,1.3006052,1.3128638,1.3072038,1.3019438,1.2802873,1.2838755,1.2703661,1.2649331,1.2831062,1.2444912,1.2454951,1.224527,1.2331738,1.2107592,1.2348747,1.2369506,1.1877086,1.2079117,1.1749891,1.1893612,1.1801533,1.1279538
1.1197274,1.11675,1.1061407,1.101614,1.0874633,1.0906463,1.0682476,1.0565566,1.0662346,1.0602924,1.0250537,1.0572659,1.0193315,1.0227054,1.0193013,1.0116563,1.0308367,1.0082365,.99255556,.99814975,.9754644,.99316007,.9761641,.97543848
1.0754958,1.0750132,1.0638994,1.05391,1.0581156,1.0352081,1.0365399,1.0201876,1.0368938,1.0440164,1.0108285,1.0230166,1.0016885,.98486429,.98356581,.98889887,1.0105038,.96906745,1.0088242,.97631997,.96627825,.94842613,.92761928,.9731192
1.271457,1.2603519,1.2484012,1.2453182,1.2383496,1.2559378,1.2409688,1.2384988,1.2173296,1.2163991,1.1906395,1.2157563,1.2099912,1.1910561,1.1960962,1.1802763,1.1510216,1.160506,1.1553251,1.1543072,1.1538833,1.1146547,1.1534185,1.1218024
1.7873634,1.7836884,1.7701875,1.7634755,1.7526674,1.737964,1.7337797,1.7238631,1.7057884,1.6875859,1.7012848,1.6804519,1.6861732,1.6799916,1.6717678,1.6414496,1.6481334,1.6478741,1.6307482,1.6205026,1.6073173,1.6034209,1.6044736,1.5943964
1.3571643,1.34394,1.3419694,1.3467163,1.3189764,1.3130095,1.3270346,1.2995344,1.3215386,1.2982379,1.2776074,1.2617379,1.2491235,1.2745583,1.2498941,1.253903,1.2310958,1.2463297,1.2186704,1.2183467,1.1871157,1.2049637,1.1944463,1.1725397
