se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20
8.1528187,8.0700531,7.8635802,7.8449583,7.7357535,7.5646091,7.5448561,7.4064183,7.3643193,7.292563,7.0384955,6.9440446,6.9017363,6.95503,6.845953,6.705337,6.48243,6.4829421,6.305582,6.1011219
6.8651705,6.8210406,6.6627297,6.576715,6.4831023,6.3134346,6.1047702,5.9375906,6.2548194,5.8950171,6.0639029,5.6559081,5.8321815,5.8006306,5.4995027,5.5474968,5.1432719,5.1410432,5.1234751,4.7258868
6.4580832,6.3787956,6.3463573,6.2091208,6.1584415,6.0774927,5.9769783,5.9164453,5.8743801,5.8472524,5.6938076,5.5894547,5.5602398,5.5091023,5.3671613,5.3946719,5.2188888,5.160605,5.1166654,5.1854639
6.9158988,6.836205,6.7659035,6.6446533,6.6041737,6.4990683,6.4582791,6.3659215,6.2508545,6.2220721,6.1093636,5.9171615,5.8155313,5.786768,5.5190339,5.5806847,5.5782685,5.4393539,5.3843179,5.2511582
7.463357,7.4005609,7.3193355,7.2061357,7.1141677,7.103992,6.9337568,6.8629599,6.6731591,6.6171932,6.6083031,6.5468826,6.3000946,6.2941208,6.2538295,6.1435847,6.0998492,5.9692206,5.9744258,5.719893
6.0631886,5.9993858,5.9626207,5.7810173,5.6899199,5.593411,5.6301913,5.5837359,5.460629,5.3794351,5.1698804,5.1480932,5.2546711,5.1448998,4.9660168,4.6114845,4.7876153,4.5008502,4.4286175,4.3585553
7.3528061,7.303206,7.1728625,6.9724011,6.9484253,6.8158545,6.7643352,6.6314254,6.6111321,6.3199625,6.4442229,6.142674,6.2529321,6.160779,6.1163998,5.9132361,5.7052555,5.7010283,5.6237702,5.6005287
6.3766241,6.3123035,6.2187853,6.1872044,5.8144126,5.9792671,5.9273214,5.868093,5.650414,5.6534214,5.7358212,5.528317,5.2811728,5.3079729,5.3545012,5.2496343,4.921226,4.9230256,5.00453,4.7580953
8.5877666,8.4341154,8.3497448,8.1711283,8.0305386,7.941256,7.8500018,7.531074,7.6137052,7.5626493,7.4039464,7.4191294,7.268188,6.9710126,7.1428418,7.0013185,6.1994553,6.614646,6.4221764,6.2245946
8.8925171,8.7828217,8.5308361,8.5043583,8.4060249,8.2011814,8.2470903,7.9963131,7.9526563,7.6948533,7.3982458,7.4989719,7.2968588,7.1701651,6.8381596,6.899292,6.7479782,7.0615468,6.2048678,5.7538447
8.9319391,8.8460712,8.2836571,8.2994404,8.1657066,8.1510983,7.8715987,7.4501147,7.7223749,7.0770588,7.1887007,7.3688331,7.1975417,7.1078138,6.212235,6.4232373,6.2854481,6.50769,5.6065397,5.8986778
9.2415504,9.2082233,8.9764433,9.0067844,8.7659321,8.5785446,8.3828602,8.04673,8.4102859,7.5839682,7.8466754,7.7420459,7.4252381,7.727129,6.8175759,7.2653174,6.5238347,6.9968953,6.0337543,6.5317531
5.004096,4.9463415,4.7897391,4.7589102,4.6299434,4.5218129,4.7731328,4.6339526,4.4474373,4.5269871,4.4355507,4.2043371,4.2947164,4.0657158,3.9893713,3.5527604,3.8436139,3.6424522,3.5714998,3.5520513
8.6925802,8.6048708,8.5130291,8.4107103,8.3158646,8.219943,8.1736975,8.050807,7.9074726,7.8436246,7.673552,7.5537481,7.5625892,7.4984455,7.3606753,7.2475538,7.1516933,6.9640861,6.9850841,6.767343
8.2408333,8.1698818,7.9962535,7.8905258,7.9000444,7.7127428,7.6105423,7.5992742,7.5147343,7.283534,7.1502523,7.1374907,7.1305761,6.93787,6.8586917,6.8148518,6.5791111,6.513123,6.4558272,6.1594934
9.7470016,9.3726883,9.2111139,9.1537895,9.2240791,8.8606176,8.7434568,8.1689911,8.3008099,8.2400799,7.6404624,8.3678446,8.0603991,7.638783,7.3476944,7.440033,7.7214227,7.5148802,7.1298089,6.1430697
6.5757446,6.41046,6.1317501,6.2362852,6.0868506,6.3112993,5.8710432,5.7402158,5.7614369,5.6845975,5.9003816,5.4706378,5.257628,5.101182,4.9995027,4.6524754,5.017519,4.8488417,4.7292843,4.2934933
15.204593,14.72955,14.862237,14.574835,14.304029,13.934855,13.754577,13.701567,13.061097,13.128106,12.916695,12.51347,11.931725,12.374232,11.588067,11.684801,11.5813,11.711001,11.057934,10.798834
5.959465,5.8621302,5.7920313,5.7078972,5.5795751,5.5905619,5.4163113,5.4288073,5.3325925,5.3053346,5.2797623,5.1507769,5.0440865,5.0820017,5.0307274,4.8475738,4.732379,4.6586313,4.5300145,4.6005569
4.2470689,4.1646986,4.1000743,4.1387329,4.0304594,3.9363387,3.9331543,3.8497183,3.7404823,3.7288876,3.7293255,3.5342925,3.5951555,3.5231347,3.4730961,3.3156703,3.3098073,3.3580849,3.2139826,3.0684595
5.4989524,5.4333687,5.3557005,5.2841125,5.1711388,5.122715,5.0364604,5.0347519,5.0815392,4.9431076,4.7199421,4.6906114,4.6603756,4.6121721,4.4169698,4.5363393,4.3031044,4.3042822,4.1992383,4.1248813
5.4006443,5.3239069,5.1907792,5.1187682,5.197176,5.0538559,4.8112679,4.8772669,4.8015461,4.8011212,4.6320357,4.4962258,4.4319229,4.4285045,4.2598948,4.1703253,4.1701059,4.0026269,3.984473,4.1573257
7.3541985,7.2133389,7.0776148,6.9987512,6.9299917,6.8068719,6.7930231,6.4619155,6.5393553,6.2469611,6.2661247,5.9717369,5.9177885,5.8016028,5.8567929,5.4482002,5.5555615,5.4030271,5.3226743,5.3279343
5.5585356,5.4479537,5.3771925,5.2859178,5.2315674,5.2509198,5.0228758,4.8584657,4.9396448,4.8839583,4.8255992,4.7890148,4.5465403,4.5187917,4.6205792,4.5832839,4.3822536,4.3193545,4.3824987,4.2722039
