se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.0885751,1.0823873,1.0795742,1.0646356,1.0541892,1.0495648,1.0495597,1.051283,1.06374,1.0300138,1.0368954,1.004927,1.0128448,1.0105295,1.025213,.99325722,.98899156,.98597491,.99220157,.98755622,.98183262,.95962858,.98507828,.96136659
1.1512867,1.145283,1.1363904,1.1202581,1.1343405,1.1288128,1.1154194,1.1071132,1.0800961,1.0769185,1.0877889,1.0868636,1.0882767,1.0429041,1.0532697,1.0466326,1.0164152,1.0348541,1.0285908,1.0444219,1.0056726,1.0051131,.99451876,1.0119147
.83645505,.83145559,.82823658,.829656,.81505185,.81465298,.81363678,.81571251,.80299157,.79889488,.78842258,.792476,.78163326,.78236592,.77876645,.7757256,.77527958,.75799966,.76042128,.74844265,.74954718,.74487585,.74929482,.73855442
1.2244123,1.2131778,1.2185341,1.1963899,1.1912955,1.1971503,1.1935995,1.1814157,1.1619872,1.1633435,1.1514478,1.1580327,1.1825399,1.1181462,1.1033231,1.143515,1.1135534,1.0859467,1.1136643,1.1261977,1.1127607,1.0780759,1.0931581,1.0621858
1.7827792,1.775879,1.7654654,1.7604495,1.7447064,1.7330128,1.7269667,1.7146111,1.7106769,1.700954,1.6840402,1.6851944,1.6690977,1.6545707,1.6531826,1.6359215,1.6333179,1.6376461,1.6116962,1.603745,1.6083583,1.5971593,1.579816,1.5613828
1.0630902,1.063044,1.05753,1.0502678,1.0370517,1.0319169,1.0327258,1.0220063,1.0188822,.99702144,1.0142864,.99614978,1.0050094,.96558183,.9824698,.97385204,.96151465,.97570372,.95860028,.95039701,.95943058,.93492067,.93695569,.9374119
.82976121,.82701987,.82177788,.82555741,.80595541,.81223828,.80912584,.80577022,.78620797,.78738326,.78675956,.78616667,.77472103,.76589763,.76616013,.74617946,.76311475,.76163983,.75005311,.75006312,.73737049,.73399305,.70856601,.70399064
1.0125335,1.0058665,.99443322,.99874818,.99832857,.96792758,.98294264,.95867199,.94867706,.95749032,.94914031,.9389472,.92331427,.96541357,.93564302,.91412431,.93821102,.91225791,.91169095,.89391875,.91700757,.94549334,.86589855,.90618312
1.2416811,1.2346978,1.2265893,1.2214234,1.2147706,1.210247,1.2043217,1.2021765,1.2019691,1.1937494,1.1824242,1.1721243,1.1531401,1.1669841,1.1609457,1.1436766,1.1479108,1.1288865,1.135433,1.1427039,1.1247715,1.1099443,1.085264,1.0768187
1.2304797,1.2236174,1.2174991,1.2127792,1.1965159,1.1806382,1.1908648,1.1720556,1.1759214,1.1740345,1.1640298,1.156785,1.1398277,1.1578674,1.1348081,1.1126953,1.1275442,1.1207135,1.0826797,1.0954157,1.1018543,1.0758475,1.077304,1.0475825
