se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.92172134,.92232269,.91168284,.91243964,.91122103,.89763403,.90430582,.89088655,.88150465,.86375469,.87322122,.8836872,.86634123,.86086428,.86386532,.8451612,.84918946,.84162277,.84675384,.85147095,.85430139,.82959706,.81197375,.8185975
1.1675624,1.1599506,1.1573768,1.1456959,1.1476674,1.1344198,1.1377604,1.1220313,1.1130292,1.1082064,1.1044128,1.0986456,1.0914561,1.0783783,1.0928857,1.068566,1.0514951,1.0436256,1.0496383,1.05269,1.0465236,1.0405378,1.0219038,1.0402776
1.2151332,1.2033236,1.2068814,1.2051945,1.1954566,1.1942477,1.1862494,1.1610535,1.1650469,1.1667091,1.1577636,1.1601542,1.1465905,1.1481926,1.1311527,1.1373355,1.1318158,1.104556,1.1184244,1.1114246,1.1229382,1.0823314,1.0918956,1.0737919
1.365517,1.3593863,1.3514619,1.3439337,1.3414767,1.3354264,1.3303068,1.3083321,1.3180573,1.3077587,1.3044498,1.292899,1.2932144,1.2883706,1.2645731,1.2634497,1.2623676,1.2619737,1.2391181,1.2329484,1.2356418,1.2202756,1.2183322,1.2140769
1.5140798,1.5110135,1.4963992,1.4918822,1.4795541,1.467185,1.4682788,1.4521877,1.4495975,1.4333782,1.4438424,1.4308336,1.4258459,1.4098078,1.4084644,1.3856875,1.3997562,1.3934027,1.356318,1.3852309,1.3584684,1.3492268,1.3503786,1.344493
.9922595,.99050581,.97699112,.97625452,.96505642,.96979141,.9543364,.95583129,.94609773,.95584232,.94274908,.93670428,.91499835,.90535659,.92093831,.913109,.87855101,.90392429,.89906138,.90895134,.90596837,.85991842,.8709746,.85314238
1.0620005,1.0551596,1.0518614,1.0414443,1.0345751,1.051033,1.0214666,1.023441,1.0133305,1.0175103,1.0175773,1.001037,1.0047785,.99254513,.99370921,.98356086,.97807068,.97573155,.9568181,.95994073,.94533288,.94555622,.94489026,.93991232
.86361098,.85866767,.86379784,.85330737,.84638375,.84856063,.8278088,.83290017,.82966131,.81557202,.81216317,.81358159,.82691509,.80373055,.79923701,.79963654,.7896412,.78603333,.78313762,.79065263,.79127932,.76930106,.76997375,.7705065
1.3986545,1.3942645,1.3825742,1.378269,1.3725182,1.3658069,1.3602632,1.3480024,1.3589696,1.3342673,1.3214327,1.3224479,1.3117373,1.3113767,1.3015937,1.3023632,1.2777326,1.2831734,1.2780219,1.2677261,1.2618973,1.2353767,1.2469958,1.2474549
1.1023563,1.0968438,1.0902303,1.0855356,1.0774106,1.0754405,1.0653716,1.0579007,1.0535164,1.0574162,1.0556487,1.0346342,1.0447134,1.0305978,1.0303766,1.0145582,1.0098902,.99985164,.99214709,1.0005587,1.0018522,.97423768,.98248857,.97396129
1.1882889,1.1834012,1.1798654,1.1643409,1.1546439,1.1539338,1.1535816,1.1471504,1.1327751,1.1244884,1.124027,1.1226748,1.1182505,1.1202646,1.1079737,1.0978631,1.0992613,1.0832224,1.0611336,1.0641011,1.0581208,1.0557957,1.0545126,1.0495652
1.2316059,1.2251779,1.2195194,1.2142928,1.2087635,1.1948301,1.1973879,1.1868985,1.1903127,1.1679312,1.1652473,1.1603736,1.1547197,1.1499007,1.1361086,1.1545796,1.1338758,1.1301012,1.1126642,1.1044911,1.1180085,1.0913016,1.0881895,1.0721087
1.0172669,1.0138645,1.0026947,1.0007018,.99635845,.99699807,.99073803,.97547454,.97090381,.96414697,.97082931,.96750867,.92824751,.94473016,.93759412,.93345094,.92047095,.93928123,.92350602,.9077934,.91490942,.89745915,.89116853,.89351159
