se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.62555909,.61797905,.6173358,.62107521,.6107102,.61571884,.61308771,.60185498,.61645943,.60811269,.58783925,.60319459,.57221526,.57998627,.6101653,.56753862,.61149752,.58676773,.56430477,.56002349,.59510779,.58712775,.55839431,.5835973
1.0750644,1.0727607,1.0642248,1.0499469,1.040735,1.0426993,1.0539778,1.0290906,1.0042089,1.0217552,1.0201385,.99293858,.99977773,.997881,.9760884,.98013562,.97443175,.96819258,.95462161,.98478949,.91939408,.93145615,.95310491,.91271734
.90258783,.89863819,.8958174,.88807058,.87369066,.86686033,.868891,.87272018,.8690775,.87587327,.85626727,.85359532,.86609632,.84742725,.83999091,.84475118,.84475607,.83406365,.85021895,.80614895,.83390182,.81488198,.81132793,.80804527
1.0880924,1.0819846,1.0782816,1.0587585,1.0513306,1.0612962,1.0530851,1.0365858,1.0659821,1.0420047,1.0318762,1.0480869,1.0154691,1.0007193,.98540378,.98814422,.99408889,1.0178043,1.0151961,.96769238,.94982404,.99469656,.95464861,.97684759
1.2101094,1.2068797,1.1906208,1.195519,1.1850982,1.1747419,1.1940801,1.1643541,1.1653409,1.1473821,1.1290221,1.1316967,1.1259114,1.1141102,1.1246223,1.1281396,1.1113672,1.1082567,1.0989022,1.0679294,1.0745589,1.054818,1.0943612,1.0426353
.87075686,.87022847,.85142618,.85503954,.84728253,.84931958,.85542125,.84496188,.83957601,.85268766,.81573063,.80588019,.81085771,.79360217,.79900861,.78474832,.77856451,.77848703,.76118708,.74823105,.76278913,.76727104,.72648191,.77727318
.80177659,.79993403,.79334533,.79200661,.78185391,.79195374,.76788419,.78378189,.77441961,.76364022,.7730363,.741822,.74364465,.75038379,.74084085,.73353207,.71621192,.70946038,.69280678,.72142792,.72865289,.69244611,.69105244,.71383744
.96525174,.95920795,.95316166,.96615851,.95174557,.94362617,.92357522,.93688196,.93230879,.93072581,.90048528,.91178507,.90325266,.88784623,.92356336,.88967007,.87515926,.86155546,.84155005,.90946347,.88282853,.83740133,.87284404,.857858
1.6119159,1.6055707,1.5970417,1.5864916,1.5752808,1.5742582,1.5572039,1.5607868,1.5502828,1.5383575,1.5277301,1.5224733,1.5186608,1.504862,1.4889908,1.499415,1.4768151,1.4766165,1.4623567,1.4707582,1.4497577,1.4486312,1.4309996,1.4139884
.98692101,.9786306,.98013234,.96094674,.96565443,.9680258,.94023794,.93060046,.94931751,.94390845,.95000786,.93787163,.9221198,.91628987,.91656762,.90206373,.89711726,.91558802,.89476806,.87985903,.88038576,.87039286,.89035779,.84707505
