se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.3283178,1.3163153,1.3118613,1.3008447,1.2956761,1.2969589,1.2685091,1.2764747,1.2331746,1.2564605,1.2639152,1.2298297,1.2659018,1.229803,1.2166547,1.2484632,1.2216282,1.1979342,1.1604755,1.1616106,1.1948709,1.1508726,1.1599059,1.1707158
1.5276934,1.5212995,1.5087363,1.5052452,1.5026735,1.4807173,1.4842408,1.4653374,1.4483558,1.4671388,1.4368143,1.4227252,1.3942477,1.4167379,1.3847136,1.3817973,1.3862594,1.3538209,1.3581674,1.3397141,1.3436511,1.3655164,1.2970827,1.3345392
1.0182658,1.0177128,1.0069493,.99955708,.99007934,.98834491,.98578131,.97659349,.98065358,.95733166,.96395499,.95555985,.96121264,.96184576,.93792009,.94869173,.92531025,.93196172,.91285938,.90905964,.90871185,.91641444,.90513903,.87462854
1.4263475,1.419549,1.4036022,1.4007657,1.3950725,1.3682419,1.3740276,1.3783946,1.3599102,1.3469033,1.3504775,1.3400096,1.3472314,1.3350451,1.3135985,1.3124617,1.2992744,1.2850298,1.2895536,1.2722832,1.2584592,1.2802564,1.2499141,1.2442509
1.7779822,1.7648934,1.759047,1.7515262,1.7393308,1.7403177,1.7226146,1.7154621,1.6962026,1.6975901,1.6834514,1.680226,1.6716642,1.6490487,1.66594,1.6500041,1.6296979,1.6195577,1.5975664,1.618034,1.5907441,1.5847331,1.542969,1.5497711
1.094573,1.0886638,1.0859619,1.0735115,1.0550954,1.0661597,1.0375528,1.0554849,1.0413153,1.02816,1.0172616,1.0087422,1.0069256,1.0237687,.96599275,.98875284,1.0186288,.98005974,.97765619,.98659194,.98033106,.97530204,.99202442,.96148771
.86154068,.86309147,.85046464,.83713377,.8401019,.82983333,.83177406,.8104707,.84680623,.81088161,.79626769,.785725,.80539429,.81560677,.79528517,.81981111,.78083456,.78488678,.77637547,.76564187,.76049793,.79668653,.79430312,.76876515
1.4981588,1.4930757,1.4808875,1.4743212,1.4632051,1.470746,1.4595068,1.4683762,1.4609045,1.4360334,1.4153214,1.4237723,1.3959398,1.3966854,1.3918144,1.3865571,1.3713132,1.3700495,1.3492879,1.3722924,1.3430321,1.3519413,1.3270968,1.3254234
1.0736253,1.0709447,1.0663702,1.0387636,1.0435884,1.0501336,1.0332274,1.0309335,1.0153586,1.019792,1.0141118,1.0007033,.99046302,.96950269,1.011176,.99277246,.97072035,.97166419,.95824134,.96162891,.93902284,.98529232,.9496246,.96355468
1.5328754,1.5277379,1.5218145,1.5019877,1.4916942,1.4957963,1.4760301,1.4687418,1.4738697,1.4630673,1.4414245,1.4258262,1.4192775,1.4135374,1.3916512,1.4140999,1.4197361,1.3778301,1.3986695,1.3799829,1.3570555,1.3830506,1.3756,1.3180383
1.4236053,1.4147674,1.4145223,1.4034473,1.4082069,1.3762228,1.3795078,1.3631638,1.3597608,1.3389299,1.3882788,1.3354992,1.3194485,1.31328,1.2879393,1.3085055,1.2864852,1.299517,1.2704499,1.2934196,1.2806064,1.2387553,1.2298257,1.2247103
2.017045,2.0078719,1.9987563,1.9836006,1.9776132,1.9721689,1.9621261,1.9390763,1.9382981,1.9317964,1.9278642,1.9110371,1.8940196,1.8911265,1.8581589,1.8810108,1.871897,1.8373942,1.8334861,1.826269,1.8323436,1.8023907,1.7955853,1.779002
.98826975,.98515028,.97698569,.97076607,.95647448,.96324146,.94903588,.95468622,.97281784,.92021561,.92111802,.94608521,.91745174,.9031198,.92250085,.92489982,.92199779,.8601442,.8687585,.87915885,.86625129,.88500661,.88360381,.87650096
1.0262513,1.0177702,1.0020616,1.0110925,.99867117,.9983303,.99853247,.98062694,.9785071,.98739016,.97942364,.97172737,.9732303,.94248599,.94661534,.94378519,.94150913,.93729669,.93169993,.9236086,.92537999,.95182848,.92485368,.90279305
1.2689356,1.2624086,1.2571946,1.2475204,1.2396755,1.2147402,1.2272724,1.2136842,1.2145901,1.2156962,1.2010792,1.1991798,1.1640462,1.1675636,1.1597191,1.180104,1.1752849,1.122701,1.1241537,1.1187857,1.1285517,1.110303,1.0754902,1.0714817
1.7072818,1.7047253,1.674107,1.6661942,1.6780467,1.655044,1.6411769,1.6210332,1.6063675,1.5838445,1.6037278,1.6153611,1.5840195,1.5972538,1.5695007,1.5385706,1.5126145,1.5203689,1.5310947,1.5081458,1.4787352,1.4800277,1.4895226,1.4615785
1.2148827,1.2068138,1.2042205,1.1909552,1.1910708,1.1856973,1.1686326,1.184589,1.1685836,1.1300689,1.1642717,1.1550622,1.1342322,1.1329962,1.1552126,1.1134486,1.1070795,1.1284128,1.1301848,1.1066569,1.0829723,1.0870148,1.0732162,1.0547426
1.4380251,1.4332366,1.4207,1.417726,1.4155701,1.4102929,1.3906406,1.3842212,1.3639659,1.3721154,1.3682697,1.3533926,1.3312304,1.3392732,1.33077,1.3392785,1.3268973,1.3026173,1.3171047,1.2912878,1.303241,1.2822868,1.2809266,1.2638966
.95040268,.94760209,.93020612,.93512213,.92870659,.90942466,.91381842,.92306298,.92487562,.8873018,.90067601,.87797505,.89521742,.85682696,.87562484,.91049224,.83002621,.84501046,.85263467,.83155721,.83026356,.83030832,.82937771,.85176927
1.0367992,1.0277895,1.0278417,1.0251757,1.0203406,.99693042,.99257356,.98906523,.99017262,.99737674,.98043746,.98715955,.9861744,.94771194,.98127967,.92585802,.95247853,.92014402,.96623904,.90870017,.9210608,.88029534,.96103972,.92800242
