se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
4.2876434,4.2665048,4.2383037,4.1788397,4.1728024,4.1773939,4.1641855,4.1010947,4.1179519,3.9925981,4.0454745,4.0694308,3.9207308,3.8687983,3.9523916,3.8527188,3.8428402,3.886981,3.8056107,3.7613041,3.7973316,3.7360864,3.6627567,3.7878156
3.1523879,3.1472979,3.0970027,3.0792766,3.1008754,3.0571041,3.0132585,3.0234578,3.0362005,2.8954237,2.9359028,2.9534323,2.7958615,2.8126407,2.8185427,2.8374834,2.857877,2.7587826,2.7126579,2.7661383,2.7176747,2.6351748,2.8076155,2.7019801
3.2942469,3.2731078,3.2365894,3.2245746,3.2182119,3.225872,3.2076359,3.1739888,3.1924314,3.1648338,3.1042778,3.0988569,3.1027515,3.0502651,3.0355699,3.0533864,2.9424303,3.0431433,2.9643872,3.0053542,2.9556887,2.9469078,2.8869464,2.8877177
3.6015365,3.5813706,3.5661776,3.4768004,3.5624328,3.5270808,3.4584818,3.4968746,3.4676995,3.4035592,3.3038707,3.3545401,3.3601754,3.3148968,3.1914241,3.2382765,3.2520399,3.2367463,3.1608562,3.0234969,3.0240328,3.1280499,3.1117404,3.1195021
4.3102708,4.2971673,4.27912,4.2205348,4.2207999,4.1858387,4.2015419,4.1640306,4.151722,4.1224265,4.0664563,4.1243234,4.0644832,3.9819298,3.99068,3.9961329,3.9127653,3.9192226,3.8787169,3.9611375,3.8634591,3.8729703,3.7733884,3.8101115
3.3137758,3.2754889,3.2578754,3.2633162,3.2289264,3.184304,3.1290061,3.1059556,3.1321032,3.0482686,3.125026,3.14393,3.0950725,3.1071169,3.029716,3.0146713,2.9219239,2.9498084,2.9327717,2.9489231,2.789053,2.8542542,2.9011266,2.836072
3.0963998,3.0740423,3.0573325,3.0444148,3.0248542,2.9430549,2.9323788,2.9410288,2.9077163,2.9387436,2.8821635,2.8742545,2.8302786,2.8236065,2.7959926,2.7808313,2.7289984,2.717766,2.7471249,2.6989925,2.7075393,2.7162631,2.5668404,2.5462835
3.8194101,3.7926254,3.7380552,3.7627084,3.733969,3.6508052,3.6873579,3.6730597,3.6084325,3.5884175,3.5793607,3.4604321,3.5184526,3.4997463,3.4381406,3.3480549,3.4397724,3.4270039,3.4831274,3.3681228,3.3950319,3.2803507,3.3013859,3.1949561
5.9892616,5.9566307,5.9085455,5.8988357,5.8717794,5.8378429,5.8108063,5.7804341,5.7411666,5.6991467,5.6564198,5.6635661,5.6008549,5.5723968,5.5630503,5.4632077,5.4551253,5.4419818,5.4103365,5.3953843,5.3449669,5.351264,5.3105927,5.2574191
3.0113573,2.9890723,2.9537432,2.9657066,2.8536451,2.8658648,2.9095433,2.853157,2.8555794,2.7211254,2.8139999,2.6843982,2.7492995,2.6983001,2.6138215,2.664943,2.5654497,2.6621332,2.5507843,2.717073,2.568574,2.5183871,2.4921031,2.4117241
3.5016723,3.4902534,3.4513745,3.4440384,3.4232619,3.3890777,3.3470159,3.3633213,3.2925839,3.3382833,3.230458,3.2755346,3.2471883,3.1971862,3.1591649,3.1281977,3.1507163,3.0704777,3.0701036,3.005614,3.0883591,3.0185468,3.0363252,2.9144678
3.3121336,3.3176124,3.2883625,3.2404015,3.2337155,3.2014282,3.2295201,3.1871793,3.1871433,3.1404965,3.1504364,3.1428416,3.1528392,3.0610178,3.0350535,3.0922225,2.9993072,3.0611491,2.9598773,3.0120053,2.955025,2.9789793,2.9042275,2.8949418
