se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
5.0712638,5.0604882,5.0855227,5.0173297,5.0428329,4.9751992,4.9507518,5.0493202,4.9040465,4.9355788,5.0227857,4.9538603,4.8515086,4.9013147,4.8933029,4.7962213,4.8623633,4.7771173,4.8716516,4.7723269,4.7850208,4.8352509,4.7547164,4.6192489
4.0551863,4.0477133,4.0409956,4.0761762,3.9674397,3.9972138,4.0003972,4.018384,3.9627259,3.9736898,3.9637368,3.9134951,4.0678473,3.9365447,3.8868856,3.9135571,3.9988654,3.8865767,3.845449,3.9383023,3.8903604,3.7594512,3.8920581,3.7651784
4.3477507,4.3365502,4.3042197,4.2877712,4.2942772,4.3224049,4.3192201,4.2004499,4.4263425,4.2365365,4.2685165,4.2294264,4.1961665,4.3691583,4.2027583,4.1393981,4.3547363,4.2170134,4.2310152,4.0478048,4.2347822,4.1822128,4.3482919,4.3097925
3.8909757,3.8868704,3.8752751,3.8536673,3.8613572,3.8139,3.8461025,3.8082733,3.852176,3.8010132,3.8564761,3.7701175,3.7374716,3.7216823,3.7816854,3.7626102,3.7200103,3.6884513,3.7289536,3.7271397,3.6575243,3.7879691,3.5497646,3.673991
4.3607898,4.3724756,4.3975143,4.4586325,4.2746239,4.3165579,4.404161,4.3759842,4.3098307,4.3466659,4.1427159,4.4424167,4.3856916,4.4868274,4.3747334,4.371264,4.5012431,4.4340758,4.39187,4.1181793,4.17623,4.4411216,4.4366512,3.8760226
4.5356627,4.5319381,4.5226007,4.484951,4.5173779,4.4987836,4.5030308,4.4625854,4.5067196,4.2996793,4.4267783,4.4322214,4.385087,4.3900347,4.3294177,4.3273931,4.3039007,4.3715768,4.3379874,4.344573,4.4411178,4.3111982,4.3750896,4.3045058
3.658428,3.6629989,3.6850886,3.6708913,3.6655519,3.6790159,3.6047409,3.6133926,3.652133,3.5358157,3.6901367,3.5353463,3.5859997,3.5149829,3.4664905,3.4771543,3.4812398,3.5261474,3.3884799,3.4055386,3.316726,3.386404,3.3655109,3.161248
3.723717,3.7068205,3.723464,3.6894469,3.623085,3.7294221,3.6847017,3.67045,3.6687429,3.5459139,3.6712406,3.5723832,3.5293522,3.5812938,3.4889557,3.3815713,3.5965323,3.4066925,3.5835969,3.5867386,3.496115,3.4212408,3.5607216,3.6395731
4.2297535,4.2127442,4.2511415,4.2067275,4.1949172,4.2434125,4.1303225,4.1747479,4.2652903,4.1711693,4.1266141,4.0525517,3.9935265,4.1410427,4.1494813,4.1270123,4.1393909,4.0463157,4.1009231,4.109776,3.9145908,4.0424509,4.1214275,4.1851621
2.3172865,2.3281748,2.3093951,2.2855062,2.3070245,2.3679144,2.2872338,2.2456446,2.2018657,2.2507269,2.2900622,2.305048,2.309283,2.2672687,2.3277242,2.2998245,2.1273587,2.2408454,2.1061893,2.1986542,2.1019628,2.3486311,2.2815747,2.1764467
4.2577667,4.235364,4.2398119,4.2232971,4.1908898,4.1674709,4.1758218,4.2019277,4.1304259,4.1263165,4.091291,4.1065249,4.0621552,4.1474037,4.1079669,4.0572815,4.0991735,3.9853406,4.1638293,3.9916687,3.9577084,4.0785384,3.9699745,4.0359335
5.8246493,5.8167648,5.7700267,5.7580376,5.8013525,5.7951274,5.6680598,5.6645141,5.6135535,5.6652794,5.4907188,5.767025,5.6198182,5.3867021,5.6714892,5.5993309,5.6057849,5.6346507,5.4900179,5.5180197,5.6060352,5.5798492,5.4669032,5.3652773
4.1092401,4.1655183,4.0852056,4.0477157,4.0975614,4.0389366,4.0990038,3.9455194,3.9304543,3.9387827,4.0713053,4.0510068,3.8892481,3.9384859,3.9009988,3.9158413,3.8263233,3.7809067,3.8910432,3.8332653,3.9501646,3.9836941,3.8161073,3.7652702
3.4402404,3.4972498,3.4251671,3.5120773,3.3453367,3.4720848,3.4120655,3.5729113,3.457803,3.3315222,3.3208525,3.4326463,3.28918,3.4758894,3.6508482,3.4061563,3.3958466,3.3738632,3.315856,3.3309119,3.4512832,3.2252407,3.2217281,3.4740024
4.0923729,4.0720439,4.075315,4.0734553,4.0839038,4.0973434,3.9881592,3.9944856,4.0221105,4.009306,4.0158968,3.9364362,4.0409598,3.8585453,3.9141192,3.8473449,3.9322653,4.0400348,3.8402524,3.9455554,3.6916587,3.7632451,3.7872453,3.9912882
4.3436475,4.2982154,4.3269148,4.3240781,4.2974005,4.31774,4.2941523,4.3154111,4.2041187,4.3724413,4.2182388,4.2094536,4.2749424,4.3349195,4.2043996,4.255157,4.190794,4.1638217,4.2025919,4.3421993,4.1961441,4.2785392,4.2425752,4.1761503
3.4481807,3.4189217,3.3900883,3.3717535,3.4167907,3.3935621,3.295783,3.3136661,3.3337443,3.2731845,3.3571756,3.3569448,3.2581961,3.290508,3.3407257,3.265867,3.2736361,3.1639371,3.3625073,3.2755554,3.1839643,3.1785517,3.2343345,3.3176141
4.2589073,4.2630897,4.2144399,4.2697811,4.2224636,4.2059827,4.2148666,4.2231522,4.1638746,4.0298567,4.1914539,4.2215166,4.186595,4.081295,4.0536499,4.1350975,4.1938324,4.0638151,4.0509076,3.9952941,4.0368667,4.1289034,4.0681152,4.1390376
2.7538431,2.7482753,2.8231869,2.6219516,2.82429,2.8923492,2.821816,2.7665703,2.743068,2.6199222,2.8487606,2.7928507,2.7886693,2.7952163,2.7723193,3.0854878,2.6831176,2.7635126,2.734705,2.7640924,2.9108567,2.7989411,3.0246234,2.928709
3.0535045,3.0474205,3.0825818,3.0424669,3.0602467,3.0611906,3.0108898,3.0235853,3.1222043,2.9077299,3.0652013,3.0229487,3.2049463,3.017549,2.9650779,3.1796739,2.9974556,2.9599292,3.1693065,3.1479597,3.0744274,3.0106812,2.9392266,3.0562203
3.26844,3.2573557,3.2070005,3.3750196,3.2513723,3.2085495,3.2846196,3.1818879,3.3398695,3.3317864,3.1215937,3.1303613,3.515336,3.190176,3.2759123,3.1249278,3.257982,3.3420329,3.2732296,3.3438094,3.2302618,3.3108027,3.2300382,3.2214925
5.2752571,5.2519312,5.2339501,5.2073779,5.1717486,5.1822801,5.1846228,5.1754704,5.1513085,5.1798396,5.1545992,5.0878644,5.0614629,5.0113053,5.0586004,5.0196652,5.0382371,5.035296,5.0452857,4.9508696,4.9214535,5.0195842,4.9618587,4.900001
3.2943203,3.2952583,3.2433043,3.2129164,3.2711291,3.1741886,3.3468325,3.3237634,3.1458521,3.1704106,3.311635,3.3632162,3.3879149,3.250149,3.0756233,3.4312239,3.387619,3.3208914,3.1396868,3.1722593,3.1812165,3.1529849,3.2396965,3.316267
2.6262786,2.6115844,2.5620995,2.6923215,2.6056018,2.664593,2.5612414,2.5967245,2.7344744,2.6931863,2.5526664,2.321317,2.6528909,2.690762,2.6161382,2.5223138,2.6078923,2.7015867,2.7990992,2.5204165,2.5525608,2.467418,2.549473,2.5591123
3.7996337,3.7810528,3.7720175,3.781019,3.7393739,3.752687,3.7487676,3.707305,3.7130096,3.7113953,3.6654229,3.6554561,3.5951593,3.6203673,3.5637326,3.6139293,3.5653515,3.6397913,3.6084707,3.610487,3.5956535,3.5105119,3.5301015,3.5482125
3.5521538,3.4886625,3.515197,3.4795089,3.4955218,3.4847579,3.5471618,3.6142819,3.4719679,3.5487494,3.3876324,3.5589106,3.4530277,3.5095599,3.7575142,3.5117102,3.59519,3.5256646,3.4971445,3.4786749,3.5686312,3.3695166,3.4977117,3.5390606
4.0480123,4.0390363,3.9989204,4.0312552,4.0620098,3.975363,3.9803958,3.9690535,3.9479644,3.8693256,3.9665382,3.9439106,3.7779734,3.8432903,3.8331363,3.8381386,3.7601573,3.6810338,3.8302426,3.8067789,3.7950795,3.7696559,3.7078512,3.8634317
4.4662991,4.4604383,4.4809794,4.4744372,4.4138794,4.4340119,4.3941875,4.3964543,4.2482677,4.3499193,4.4791379,4.5335784,4.3440971,4.4556265,4.3938398,4.3525219,4.3921318,4.303679,4.7205787,4.4370313,4.4225307,4.1971335,4.3841362,4.3974085
3.3627455,3.3494108,3.3922122,3.3894205,3.2899072,3.4111063,3.2870052,3.3277249,3.2339678,3.2383246,3.4176998,3.4790313,3.7329857,3.4794869,3.5260665,3.4561667,3.5675032,3.5365081,3.3345182,3.5170436,3.291564,3.4912064,3.3688798,3.401037
