se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
3.1273375,3.0946898,3.1029415,3.0710695,3.0332425,3.0035567,3.0305624,2.9803348,3.005065,2.9249756,2.9153771,2.8766894,2.9062011,2.8884375,2.8243201,2.8310473,2.747489,2.7292261,2.7643824,2.7794514,2.7411473,2.7705843,2.6512682,2.7129395
2.2287893,2.2257564,2.2086525,2.1880431,2.1535492,2.1726787,2.1101222,2.1004062,2.1281042,2.1813316,2.0645511,2.121912,2.0317106,2.0447021,2.0303011,2.0473599,2.006815,1.9825302,2.0110662,1.9971929,1.9742479,1.9057881,1.9034255,1.8829119
2.0106695,2.0140409,2.0067048,2.0001316,1.9479641,1.9529618,1.9498329,1.936739,1.8788466,1.9258225,1.9290282,1.8861247,1.838648,1.8705621,1.8597168,1.8829584,1.8039458,1.8142025,1.7689031,1.7444412,1.7492195,1.756819,1.7720727,1.7526637
2.7809126,2.7437632,2.748291,2.6683784,2.74825,2.7091625,2.6987636,2.6631415,2.6050472,2.6109471,2.5423257,2.5770953,2.5272574,2.4438038,2.4824266,2.4847903,2.4442508,2.3773875,2.3579774,2.399703,2.3779743,2.3627272,2.2459772,2.4836533
3.485625,3.4727707,3.4567521,3.4138143,3.4153736,3.379514,3.3796029,3.3544848,3.3328643,3.3297014,3.27899,3.3103967,3.2875443,3.2575939,3.2198019,3.2362607,3.1935692,3.1795065,3.1877232,3.1057086,3.1243403,3.1186886,3.0568659,3.0822585
2.7075307,2.6935003,2.6872509,2.6523969,2.652868,2.6063714,2.6335144,2.5695379,2.5471611,2.5662839,2.5758047,2.519228,2.5340006,2.4624441,2.476789,2.42677,2.4088478,2.4064877,2.4309552,2.3970728,2.3183212,2.3683603,2.3821931,2.3484333
2.5608554,2.5481293,2.522413,2.5187933,2.4946156,2.4854653,2.4654303,2.4518998,2.4265029,2.4591682,2.4414449,2.4132993,2.349417,2.4325531,2.3370752,2.3291714,2.3143988,2.3155291,2.2771208,2.2326062,2.2238634,2.2468948,2.1883883,2.2360506
2.462857,2.4382124,2.4215536,2.4160519,2.3850522,2.3927183,2.4061739,2.2457428,2.3151803,2.2844901,2.3003538,2.2770908,2.289289,2.320132,2.2290471,2.2060573,2.1530306,2.1768248,2.1812196,2.138226,2.0992975,2.1416292,2.0661376,2.0573452
1.9589384,1.9464691,1.9174112,1.9281415,1.9213988,1.9103309,1.8907841,1.867427,1.8803927,1.8724501,1.8339756,1.7568529,1.7907091,1.8017308,1.7506163,1.7562642,1.7232287,1.7791603,1.7606652,1.7968829,1.7137535,1.7073565,1.6760625,1.7319803
2.3545024,2.3314683,2.3380141,2.3269432,2.3054955,2.3388922,2.2157862,2.2233012,2.2176046,2.2350349,2.1412618,2.1612253,2.1514599,2.2168708,2.17486,2.1838613,2.1393576,1.9986606,2.0774376,2.105547,2.0609128,2.1228168,1.9522402,1.9716386
3.2570243,3.2293329,3.2292922,3.2138596,3.1861954,3.1747041,3.1301081,3.1397526,3.1295855,3.0682185,3.0894184,3.0537484,3.061645,3.0401402,3.0071833,2.9704516,2.9861007,2.8996956,2.938859,2.8813345,2.9270396,2.8682997,2.8592792,2.7946744
2.3855722,2.3667085,2.326715,2.3515344,2.3213537,2.3064189,2.2938566,2.3028693,2.2207835,2.2450583,2.2673485,2.2288065,2.1835434,2.2296755,2.2489812,2.1624231,2.1563437,2.1017973,2.1123457,2.0706456,2.120805,2.0621312,2.0312593,2.0284176
2.5347164,2.5399036,2.4811943,2.5072739,2.4517572,2.5018141,2.4397657,2.4452853,2.3894181,2.3941934,2.3612516,2.3398559,2.3136649,2.3310812,2.3230958,2.2842643,2.3107662,2.2818685,2.1435289,2.3411765,2.2914484,2.2054574,2.1308093,2.1268306
2.3119621,2.2927904,2.2622166,2.2754917,2.2331254,2.2675054,2.2109759,2.2015445,2.2145491,2.1886709,2.151248,2.1761403,2.1745331,2.1507254,2.1524577,2.119627,2.1413596,2.0454247,2.0301785,2.0568573,2.0379779,2.0271995,2.098923,1.9837239
