se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
2.1508827,2.1276417,2.1150177,2.0361211,2.0785997,2.1420114,2.0093935,2.0487759,2.0942531,1.967671,2.0836387,2.0059083,1.9708706,1.8861376,1.9875296,1.9036219,1.9707731,1.8817812,1.842593,1.9378438,1.8909142,1.8296728,1.8791649,1.8697398
1.8613049,1.8627,1.8472166,1.8443028,1.8144385,1.8042035,1.7940414,1.7974474,1.7956512,1.7886047,1.7469951,1.7139262,1.7205875,1.7784545,1.6881741,1.6673529,1.6919196,1.6746228,1.702415,1.6376404,1.6664758,1.584609,1.6138996,1.5824026
2.0979509,2.0846744,2.0834641,2.0646424,2.0593553,2.0422211,2.0395522,2.0311449,2.0205894,1.9950513,1.9800485,1.9717661,1.988464,1.9631207,1.9312998,1.9396487,1.9335014,1.8998176,1.9213634,1.9211564,1.8772337,1.871847,1.8609638,1.853255
1.4399003,1.4552209,1.3930641,1.4023618,1.4213129,1.3810951,1.393411,1.3865452,1.3552626,1.3743446,1.3490512,1.3139912,1.3267244,1.3136411,1.3387065,1.3242478,1.2526309,1.3411934,1.2766961,1.227391,1.2419906,1.2764105,1.1399271,1.1681252
2.0319555,2.0279298,2.0052722,1.9898282,1.9764638,1.9907445,1.96347,1.9493328,1.9332191,1.9417717,1.8884748,1.9163512,1.9224815,1.8863262,1.8676833,1.8623993,1.868906,1.8375967,1.8257236,1.8160862,1.7721068,1.798371,1.7918428,1.8035631
1.7979218,1.8016788,1.7695701,1.7739903,1.7683437,1.7714962,1.7194935,1.7388979,1.7447877,1.6992151,1.6910145,1.69094,1.7029816,1.662133,1.6256717,1.6590558,1.6512809,1.6612644,1.6437409,1.6342821,1.599337,1.5945811,1.6069007,1.5565373
1.3968081,1.3883227,1.3766874,1.3808943,1.3587421,1.3421195,1.337297,1.3453915,1.3512126,1.3298903,1.3089952,1.284392,1.2856303,1.3050418,1.2608148,1.2634008,1.2588619,1.2738687,1.2848957,1.2729021,1.2441721,1.2361058,1.2037473,1.2081308
2.0417197,2.0525663,2.0055547,2.0036309,1.9986988,1.9914552,1.8938059,1.9753325,1.9073956,2.0213535,1.8786228,1.9329349,1.9516962,1.7578578,1.7002876,1.816028,1.7774829,1.6706132,1.6519805,1.6952466,1.7879753,1.7449814,1.9636742,1.6743056
1.7263747,1.7201898,1.7053884,1.6881577,1.6923044,1.6797088,1.6703186,1.6562532,1.6590525,1.6402019,1.6252909,1.6462837,1.625055,1.6256895,1.6034541,1.5848298,1.5696284,1.586376,1.5519987,1.5895572,1.551209,1.5443839,1.523187,1.4778947
1.1103414,1.0925785,1.0770833,1.1286139,1.0448298,1.0756917,1.0728219,1.0432669,1.077695,.98790669,1.0625415,.99200517,1.0233021,.94563895,.98949718,.90951288,1.0544987,.92567813,.96268332,1.0616057,.93493396,.88922006,.87419456,.89285654
1.668564,1.6612898,1.6517121,1.6373918,1.6477159,1.649852,1.6219627,1.6155598,1.5980569,1.6162848,1.5714445,1.5856816,1.5648178,1.5695965,1.5716646,1.5219505,1.5409842,1.5322952,1.5379947,1.4941981,1.4922889,1.485538,1.4671305,1.5127631
1.348276,1.3430132,1.3252125,1.3038781,1.2932975,1.3032336,1.3182707,1.2322655,1.2909471,1.2814311,1.256629,1.234872,1.2519679,1.2665398,1.1941366,1.2183081,1.1929072,1.1576161,1.2324317,1.1900177,1.1834261,1.1885715,1.1664432,1.1618128
1.6592755,1.6455753,1.6505481,1.6473864,1.6218649,1.6407237,1.6294328,1.6116747,1.6038475,1.5685014,1.5949775,1.5772775,1.5182118,1.5578541,1.5311747,1.5276079,1.4871975,1.5307164,1.5595112,1.441795,1.5284063,1.4619521,1.5367846,1.4386408
1.2454503,1.2419233,1.2349547,1.2251296,1.2603319,1.223313,1.2387958,1.1828574,1.203359,1.170884,1.1761132,1.1556239,1.1967615,1.1259648,1.1417528,1.1762711,1.1603814,1.2332582,1.1199936,1.1249725,1.1338397,1.1229025,1.0845618,1.135371
1.1825172,1.1683272,1.1742562,1.1607312,1.1409348,1.195202,1.101685,1.138332,1.0886569,1.1293099,1.1447114,1.1176766,1.0859768,1.1182243,1.0833408,1.111043,1.0615293,1.0435368,1.0673716,1.0249904,1.0073305,1.0272207,1.1030889,1.0497298
2.1976371,2.1897874,2.1611834,2.1763399,2.1278424,2.1440573,2.1325154,2.1141503,2.0758879,2.057086,2.1043758,2.0805385,1.9881701,1.9848652,1.9245433,2.0100436,2.0164096,1.9582758,1.9621147,1.9170862,1.934714,1.9994721,1.8948946,1.8509129
1.6393529,1.6286644,1.6336223,1.6135601,1.6009215,1.5958455,1.5942543,1.6110569,1.5803393,1.5755801,1.5921792,1.5535097,1.5386424,1.5630642,1.5193014,1.504855,1.519892,1.5037888,1.4791169,1.5229475,1.4913702,1.5052614,1.4580876,1.4777062
2.7217598,2.714354,2.6924624,2.6881149,2.6571352,2.6315215,2.620681,2.6215584,2.5692022,2.5493186,2.5626264,2.5367792,2.539022,2.5264287,2.4794106,2.5008249,2.4644208,2.4057317,2.4347363,2.3973305,2.4136248,2.4166923,2.3682337,2.3629768
1.5512238,1.5452379,1.5387945,1.5100839,1.5199249,1.5220479,1.5045944,1.4764898,1.4721107,1.4562123,1.4709253,1.4724121,1.4571466,1.3644346,1.4173864,1.4229822,1.3804077,1.4182254,1.3870001,1.3761808,1.3915844,1.3598355,1.3737447,1.3666525
2.7275577,2.7142587,2.6992021,2.690716,2.6764541,2.6576064,2.6396768,2.6314592,2.6119683,2.6043139,2.5800803,2.5874233,2.5709291,2.5368574,2.5316417,2.5168753,2.4886351,2.4796729,2.4807258,2.4738283,2.4412646,2.4419413,2.3977878,2.4217319
1.782164,1.7716098,1.7679883,1.7632438,1.7452322,1.7349362,1.7249911,1.7279779,1.7254877,1.6891195,1.7005317,1.6902789,1.6873212,1.6597486,1.6878222,1.6362383,1.631485,1.6582886,1.638117,1.6181977,1.602497,1.6133187,1.6220416,1.5706546
1.6672332,1.6581407,1.6577649,1.6511503,1.6065316,1.63668,1.6101028,1.6186366,1.6125634,1.5530044,1.5561979,1.5548737,1.5742064,1.5323998,1.5059228,1.51416,1.5206608,1.5117488,1.5047243,1.4943805,1.4639146,1.4912311,1.4869587,1.4822526
1.8741714,1.8597779,1.8386966,1.8504021,1.8439771,1.8088958,1.7932931,1.8055534,1.7990909,1.7946714,1.7808441,1.7440374,1.7649328,1.7401258,1.7919916,1.6767858,1.7011751,1.7246209,1.6384875,1.6641824,1.6312677,1.6518567,1.62104,1.6544732
1.8934847,1.8863801,1.8891438,1.8769592,1.8567606,1.8756183,1.8229648,1.8409263,1.8321513,1.8060093,1.7815236,1.7930212,1.8003787,1.7844995,1.7379888,1.7520584,1.7245787,1.7566391,1.7487136,1.6954441,1.7097152,1.7025647,1.6851897,1.7134931
1.6115401,1.6033263,1.5981106,1.5906997,1.5700816,1.5349443,1.5403222,1.5385797,1.540072,1.5220972,1.5214535,1.4659634,1.4620973,1.474629,1.4804546,1.4447877,1.4892691,1.4466259,1.3926436,1.4322907,1.4166726,1.4482397,1.3429337,1.4064889
1.3337234,1.3350191,1.3091136,1.2989961,1.2972879,1.2731519,1.2531136,1.2874333,1.2965324,1.2252738,1.3169292,1.2655177,1.2030809,1.2264408,1.2160108,1.2559178,1.2488952,1.2269174,1.1915312,1.1560128,1.183022,1.1661593,1.2430753,1.2641449
1.7804505,1.7659413,1.7615045,1.7415166,1.7315741,1.729489,1.6990058,1.720838,1.7192487,1.6997976,1.7143898,1.6690239,1.6782026,1.6538283,1.6440964,1.640485,1.6279325,1.6205125,1.602066,1.6078978,1.5712463,1.560194,1.5769863,1.5901315
1.6404318,1.6319423,1.6284537,1.6176964,1.6009406,1.6040854,1.5941281,1.601586,1.5701962,1.5622258,1.5418465,1.5455222,1.5379605,1.5024635,1.5010198,1.5179197,1.4895734,1.4903325,1.46315,1.4793409,1.4773077,1.4646523,1.4407812,1.4555277
