se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.0487944,1.0384866,1.0502152,1.0455381,1.0280609,1.0174403,1.0383093,.99794811,1.0357715,.98903775,.98382384,1.0021634,.9841944,.98144662,.99937159,.97223783,.94196361,.95595157,.99191481,.91405618,.91573453,.94945472,.94271994,.94570744
1.0779116,1.0676863,1.076179,1.0676911,1.0588222,1.066179,1.0346947,1.0354445,1.0077556,1.0282407,1.0161494,1.0164626,1.0161464,1.0077621,.99618423,.97865963,.98598689,1.0008073,.97295994,.9804877,.96131361,.95539242,.96357322,.91014868
1.6114426,1.6048278,1.5988523,1.5857663,1.5840311,1.567206,1.5608938,1.5604966,1.5497516,1.5453954,1.5354209,1.5281175,1.5200671,1.5067691,1.4939537,1.4929143,1.4873052,1.4802672,1.4675174,1.4606653,1.4672663,1.4363954,1.4386827,1.4371641
1.1029192,1.0959822,1.0862418,1.0831629,1.0841097,1.0717399,1.0714716,1.0685751,1.0568166,1.0493749,1.0572044,1.0406983,1.0548345,1.0482608,1.0545411,1.0274693,1.0008093,1.0238332,1.0139673,1.0280992,1.0194048,1.0178201,1.0018498,.99750298
1.3609047,1.352191,1.3408616,1.3427746,1.3464319,1.3335741,1.3165733,1.3186791,1.3201879,1.3050387,1.3104296,1.2981802,1.2975688,1.2810013,1.2690163,1.2704346,1.275124,1.2508249,1.2419932,1.2494698,1.2183233,1.2368112,1.2384024,1.2115362
1.0676233,1.0572906,1.0555514,1.0544883,1.0405191,1.0380846,1.0252013,1.0251304,1.0248475,1.0200446,1.0011681,1.0038527,.99636626,.97076279,.98785686,.98221558,.97677279,.98960078,.97751933,.98590153,.93742883,.96022958,.94639879,.95624065
.94791335,.94734746,.93459362,.93415064,.93034625,.9223544,.90301466,.89666885,.91178942,.91298497,.88855678,.88844031,.88715172,.87800825,.87221169,.87679821,.8793934,.86887246,.85300541,.83708107,.83818448,.87882131,.81916821,.80829239
1.1756656,1.1558768,1.1537433,1.1489784,1.1400825,1.1329209,1.1413827,1.11737,1.1418672,1.1139921,1.1026915,1.1113707,1.1129458,1.1456554,1.0910691,1.0841032,1.1094364,1.0634633,1.1070359,1.0683633,1.0688406,.99560535,1.0453459,.99654067
1.2376374,1.2397134,1.2220144,1.2204182,1.2123827,1.2049315,1.2046237,1.2008226,1.1828027,1.1559911,1.1775198,1.172055,1.1738548,1.1684071,1.1716803,1.1391188,1.1434721,1.1643584,1.1381881,1.1155819,1.1313568,1.1171623,1.1256491,1.1148636
.79722339,.78319782,.79464561,.80134785,.77944756,.77447724,.78829128,.7570436,.7826001,.76424861,.74451733,.72413325,.71956289,.75333047,.73332733,.72394806,.71885478,.75498134,.66118008,.73677242,.7190066,.68615329,.71347481,.74695933
1.0142215,1.0155107,1.0069221,1.0129405,.99451089,.97940725,.99445438,.96700728,.96167535,.95829827,.96036899,.95883346,.94384098,.93819392,.91329432,.92292565,.88883919,.92143226,.94973624,.92865783,.88860911,.94195765,.87949121,.91739631
1.9631916,1.9553779,1.9424608,1.9327016,1.9189895,1.9087675,1.9021602,1.8848026,1.8791128,1.8725796,1.868246,1.8577349,1.8509481,1.8343536,1.8267947,1.81699,1.8167828,1.8078699,1.7938014,1.7789696,1.773955,1.7624918,1.7556002,1.7505392
1.4406774,1.4401689,1.4259486,1.4073611,1.4099171,1.4053483,1.386202,1.3943801,1.3809638,1.3713026,1.3499105,1.3670254,1.3564141,1.3502358,1.3319379,1.3537575,1.3250575,1.2935581,1.2942536,1.3019429,1.3142315,1.2799314,1.2849048,1.2641701
1.3249078,1.3167555,1.3128003,1.3072779,1.306301,1.3070168,1.2919776,1.2703453,1.2645626,1.2431811,1.2517476,1.2626113,1.2559135,1.2365441,1.2459667,1.2184078,1.2337368,1.2199455,1.202919,1.1884713,1.212662,1.1716969,1.1973304,1.1861601
1.5241663,1.5138856,1.5056173,1.5015072,1.489772,1.4800136,1.4814763,1.4689771,1.4730948,1.4511125,1.4385798,1.4369409,1.4311731,1.4364905,1.4112412,1.4099816,1.4063011,1.3734521,1.3702706,1.3732766,1.3649974,1.3509786,1.3492994,1.3396549
1.0555098,1.051398,1.0363756,1.0427976,1.0454116,1.018407,1.0162808,1.0203083,1.0241929,.98361593,1.0163101,1.0122017,.97652417,.9783147,.96929729,1.0000973,.97999763,.97730601,.97897887,.93551141,.93876731,.9531076,.9484303,.92923611
.95671678,.95866644,.9392637,.94809324,.93675506,.92545134,.93107361,.94430435,.90808111,.93854237,.91664201,.88045478,.89427227,.87683856,.8741774,.86638522,.85719717,.86679161,.86017054,.87974542,.86140275,.83290076,.86254203,.86880255
1.1680013,1.1624355,1.1509818,1.1485918,1.1414274,1.137732,1.131754,1.1146688,1.141122,1.1218874,1.0914807,1.1061326,1.0979844,1.08218,1.1059461,1.0959101,1.0380077,1.0577703,1.0497222,1.0938518,1.0539312,1.0657624,1.0484269,1.0616888
1.3697954,1.3630377,1.353734,1.3488967,1.3388935,1.3247714,1.3308285,1.3204324,1.3229984,1.3221576,1.3003106,1.2986765,1.2913812,1.2890955,1.2902479,1.2855157,1.2785343,1.283486,1.247086,1.2591059,1.2330198,1.244746,1.2179481,1.2158346
1.0893652,1.0827733,1.0822295,1.0869097,1.080058,1.0612137,1.0514406,1.0538033,1.0438447,1.0513684,1.0256468,1.0318739,1.018626,1.0286646,1.010084,1.0133528,1.0058146,1.0091734,1.033326,1.0214735,.9904533,.9858166,.99479753,.94994348
1.1747634,1.1744579,1.1564379,1.1631874,1.1561803,1.1517162,1.1543148,1.1314241,1.1249831,1.1454169,1.1218742,1.1229905,1.0955753,1.1207788,1.1207516,1.0773747,1.0953966,1.1072431,1.0400616,1.0573962,1.0769004,1.0505936,1.0561227,1.0809249
.97871095,.96697789,.96306419,.96041536,.9817757,.94757056,.9513455,.93878096,.94909006,.93715805,.92924386,.9205181,.92754805,.9011243,.92097372,.89694089,.91362357,.87392747,.87291729,.91184747,.86097115,.8742649,.88080227,.87116325
1.5586264,1.5505514,1.5433866,1.5382441,1.5380299,1.511843,1.5060606,1.5036629,1.5034919,1.4954011,1.4877448,1.473825,1.4664146,1.4423285,1.4412364,1.4317299,1.4445213,1.4488739,1.4158173,1.4045559,1.4067481,1.398527,1.3976715,1.3794241
1.3560699,1.3473431,1.3489373,1.3332326,1.3207881,1.3305494,1.324512,1.298973,1.291396,1.3155023,1.306268,1.3011473,1.2688173,1.2836531,1.2561792,1.2692242,1.2570758,1.2421182,1.2499509,1.2423759,1.2294976,1.2286279,1.1782393,1.2137247
1.1959574,1.1883671,1.1848855,1.172141,1.1710809,1.1626166,1.1431026,1.1471162,1.1526393,1.1437036,1.1276327,1.121016,1.1331068,1.1077718,1.1177166,1.1041522,1.0982422,1.1147027,1.0813165,1.0857304,1.0595905,1.0577754,1.0555539,1.0340201
