se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20
5.8946695,5.848165,5.6253772,5.6234913,5.6331577,5.4687366,5.3445292,5.2686343,5.3101063,5.2896719,4.9955969,4.9721942,4.8429461,5.0575314,4.9144263,4.6792817,4.5955138,4.5842676,4.4451451,4.2639155
5.5435314,5.5165715,5.412262,5.3209701,5.271831,5.1451259,5.0494876,4.8463922,5.0118961,4.8702903,5.0982671,4.7653189,4.7184687,4.7712474,4.4614382,4.5022945,4.4393492,4.3763218,4.2624321,4.1478667
3.4246342,3.3520758,3.3383636,3.2491052,3.2181852,3.1192834,3.1193726,3.1025269,3.0250363,2.9599357,2.8548017,2.8942492,2.864434,2.8712661,2.6504588,2.6383693,2.6046722,2.5957763,2.5113966,2.6568112
5.2153449,5.1684661,5.1113515,5.0066109,4.9664841,4.9364529,4.8613491,4.7943401,4.7247181,4.706996,4.6134281,4.5084982,4.4599895,4.4477968,4.2567863,4.3038898,4.3222313,4.1893935,4.1198907,4.0697355
3.246567,3.2163498,3.1731942,3.1200042,3.0755942,3.0827525,3.0117581,2.9916945,2.9114957,2.9244034,2.8973751,2.8301623,2.7714713,2.7956963,2.788573,2.7098057,2.7101116,2.6425481,2.5876303,2.5820458
4.7784886,4.7303576,4.6725807,4.5951748,4.5597367,4.4668117,4.4687462,4.421061,4.385129,4.3087215,4.1307898,4.0873175,4.1178327,4.0947318,3.9556618,3.8121433,3.7893701,3.8128455,3.6653264,3.648072
6.4652419,6.3998733,6.3135982,6.2419147,6.1417508,6.1079106,6.0372601,5.943501,5.8708849,5.8474689,5.6941776,5.7110901,5.6089349,5.5914946,5.4711733,5.3583002,5.3496718,5.2292657,5.1881275,5.2171383
4.4488182,4.3831325,4.3334808,4.3801827,4.1127143,4.1863623,4.2961488,4.0980072,3.9238272,3.9718561,4.1370106,3.9090922,3.8100302,3.9397349,4.0420551,3.7013702,3.6139243,3.5023687,3.5084994,3.5269547
6.7011752,6.6125016,6.5386577,6.461174,6.356122,6.3045306,6.1695747,6.1311278,6.0305223,5.9659548,5.9215298,5.839972,5.7233205,5.7092223,5.6242137,5.5492172,5.4408402,5.3777962,5.2216263,5.1398878
6.3204579,6.2216263,6.1855688,6.0731044,6.0280685,5.9822869,6.0936694,5.709651,5.7190871,5.5872989,5.3057332,5.5600867,5.3599429,5.3978901,5.2450356,5.1651978,4.7699165,5.0976939,4.7163205,4.293087
5.6535125,5.6208501,5.1579971,5.2527204,5.1780019,5.1190538,5.0321455,4.780354,4.8638697,4.5876555,4.6373286,4.6087174,4.7311134,4.5216131,3.9772544,4.0619411,4.2559128,4.0613852,3.6889367,3.8091354
4.6773582,4.6511025,4.6211505,4.745441,4.2903385,4.4134493,4.3810506,4.1873269,4.2685456,4.1806412,4.3771486,3.8534636,3.9643352,4.6350036,4.2680769,3.5838242,3.6503892,3.6028912,3.4886079,3.6643572
4.5271368,4.4800754,4.4025412,4.347837,4.265933,4.2055149,4.3369312,4.2459984,4.131937,4.0730624,4.082262,3.9631584,3.9967372,3.9313967,3.8092923,3.7457705,3.6843455,3.6773884,3.6548944,3.5235064
5.2461033,5.1926103,5.1406498,5.0824909,5.0162349,4.9456038,4.9160943,4.7999334,4.7307568,4.7109981,4.6361556,4.4607067,4.5502701,4.5122232,4.4385638,4.3013411,4.2406073,4.1761928,4.2059913,4.0386486
6.8912258,6.8252711,6.7180271,6.6415005,6.5823975,6.4754696,6.4007053,6.3408051,6.2865577,6.158865,6.0904245,6.0346117,5.938714,5.8604941,5.81285,5.6902566,5.5926685,5.5929828,5.5164289,5.3270483
7.4088116,7.0887847,7.0097895,6.908587,6.9867859,6.7126451,6.5456705,6.1923275,6.2485671,6.165174,5.8840837,6.4544048,5.885498,5.8669167,5.5577664,5.7599759,5.7808685,5.8699789,5.2961831,4.6277986
