se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
1.0014538,.9925769,.99112326,.96941882,.97648221,.96952832,.96843076,.96285975,.98163819,.93734461,.97207803,.93866801,.92941922,.94267601,.9544062,.91406208,.88303143,.90538073,.91719496,.92312437,.90281433,.87522358,.91940492,.90031981
.91309512,.90866357,.90194118,.89289004,.9017747,.89446968,.89025199,.87078226,.8598097,.85573006,.86488342,.85822386,.85469228,.82639045,.83486688,.82795846,.8124578,.83067173,.827223,.82785922,.80100369,.80176163,.78397602,.80422199
1.0048106,1.0009438,.99387425,.98660553,.97740239,.97344595,.96922719,.9641118,.97443306,.95731616,.9458285,.94309157,.94742477,.92490315,.92573923,.92520279,.90868849,.91099203,.91651624,.90762281,.88276541,.90787196,.89233088,.9058848
.8430593,.83414048,.84060496,.81938565,.82299536,.82219726,.81444311,.82262665,.79541129,.81290859,.78630775,.79794109,.81650811,.77359283,.74332696,.78462869,.76201224,.75169176,.75610822,.76501727,.79091656,.71971458,.75417238,.72391659
1.5560936,1.5479676,1.5412236,1.5343266,1.5271107,1.5134947,1.5141215,1.4996862,1.4971217,1.4839315,1.475575,1.485562,1.458959,1.4536949,1.4431713,1.427739,1.4171958,1.4163326,1.4088806,1.4039673,1.4027858,1.3884126,1.3897296,1.3731704
1.075114,1.0713298,1.0684754,1.0596968,1.0516008,1.0441041,1.0539008,1.0344236,1.0320685,1.022346,1.0203277,1.0163858,1.0207118,.98777044,.98938972,1.0006021,.98766756,.99552834,.97257274,.96996832,.97383767,.94212323,.95818198,.94475609
.75437009,.75416923,.74326909,.75414056,.73501134,.73466313,.73627222,.72619927,.71970624,.721084,.72738785,.72710615,.69824773,.70610076,.69690329,.69600385,.69791412,.69071311,.68309498,.68888879,.6670509,.67964512,.67519879,.63799912
.80321193,.79788375,.79333091,.78531873,.79525357,.78055817,.77640885,.74853116,.74711484,.75986534,.7481752,.73800379,.71285057,.77921051,.74165815,.71709847,.74671251,.73158616,.72537243,.6856879,.70403081,.75880921,.70481712,.7232998
.73527122,.73372811,.72613537,.71577281,.72112286,.71709692,.71550316,.71256,.70466453,.71813065,.69079143,.6824432,.67823845,.69657898,.69163805,.68223274,.67667449,.64110672,.67283005,.69184172,.68089867,.63483691,.61392939,.63574183
.68651938,.67830813,.67149949,.67505741,.6622386,.6648888,.66042405,.66609269,.64846694,.65540266,.65132695,.65310949,.61722815,.64668602,.61108708,.62482655,.61353093,.6255579,.62689197,.60277575,.6157521,.62320107,.6031099,.58935213
.91265535,.90944707,.90830994,.89398408,.88859499,.88442218,.88441449,.87322885,.87296903,.87669075,.87225962,.86829811,.86089307,.85948288,.85195547,.86185926,.83437276,.83770978,.80546063,.81967235,.81572115,.80513501,.82347822,.81533319
1.7773707,1.7696385,1.7554886,1.750182,1.7407464,1.7319025,1.7233775,1.7190608,1.7092053,1.6939871,1.6832676,1.687495,1.6837543,1.6617289,1.6531605,1.6332562,1.6353333,1.6383265,1.6224421,1.5990708,1.5967041,1.5944397,1.5824777,1.5721712
.80709571,.80763167,.80402929,.80057299,.79092783,.78269732,.76120228,.77797693,.79795927,.74337411,.77371502,.77454162,.75166804,.74409324,.73795831,.75555462,.73810661,.73140025,.69572395,.69129318,.73440659,.72225642,.7211023,.680969
.87817085,.8742801,.86337191,.85892242,.86812007,.85480946,.85451812,.84511238,.84373271,.84606212,.82793409,.81602919,.8223545,.81966084,.80968577,.81184381,.7747637,.78729892,.79207981,.79056048,.78374952,.77633715,.77916545,.78848201
.79497486,.78796273,.78836399,.78101075,.77105707,.78609073,.76952058,.75842351,.75478554,.73571658,.76260298,.74174201,.73997146,.7320261,.72262526,.72767985,.72806054,.71074998,.67698109,.71971911,.69724566,.68329555,.70207989,.69951743
1.0254774,1.0194941,1.0106521,1.0073876,1.0019454,.99983817,.97903496,.97615528,.96805626,.95396423,.9620741,.95948315,.94366342,.94156724,.95246977,.91420883,.94712895,.90524811,.91170359,.91478223,.91619235,.88315958,.87535864,.86124432
1.2830048,1.2774392,1.2711619,1.2625417,1.2590821,1.2498909,1.2412213,1.2420607,1.2297614,1.2203428,1.2198085,1.2086443,1.2054751,1.197251,1.1895092,1.1897078,1.1745696,1.1769404,1.1659249,1.1563938,1.1531795,1.1472304,1.1430659,1.1354524
