se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.69535542,.6934284,.69025475,.68470836,.67992121,.67838454,.67706561,.67750251,.66868913,.66563076,.66550404,.66078407,.65822059,.65034521,.65262884,.64558131,.64458585,.6388697,.63659042,.63107491,.63026619,.62432057,.621153,.61648476
.75159353,.74758941,.74374026,.73904061,.73761708,.73168248,.73046505,.7259348,.72047389,.71843767,.71391129,.71055478,.7110284,.70461899,.7043618,.70050216,.6956659,.68782985,.68231386,.68345904,.6793887,.67499495,.67040539,.66535246
.87021148,.86614603,.8621878,.85833186,.85308522,.84997529,.8421998,.83925498,.83508205,.83213025,.82774937,.82471794,.81689388,.8157956,.81126148,.8041712,.80144441,.79869139,.79283923,.78920078,.78562534,.77950948,.77631587,.77111179
.73407727,.73041999,.7271505,.72500205,.71986288,.71528697,.71412671,.71097207,.70356941,.70045644,.6964407,.69627017,.69102746,.68592274,.68637788,.67765874,.67690897,.67088485,.67499113,.66555941,.66163266,.65765393,.66038632,.65055335
.83652544,.83291352,.82751346,.82347775,.82031977,.81548393,.81092399,.80803889,.8025381,.79875398,.79549068,.79314905,.78604591,.77935266,.77862698,.77408355,.76806855,.76647234,.76519018,.75904262,.75325817,.74980301,.74366069,.73954821
.64462548,.64174551,.63874286,.63580108,.63203204,.62701827,.62677032,.62275559,.61723191,.61706448,.61425292,.60723263,.60493326,.60330164,.60332447,.59635389,.59282851,.59054613,.58940113,.58276069,.58226186,.58139372,.57959944,.57307154
.62280566,.61950082,.61741924,.61530089,.6107704,.60687232,.6026454,.60297573,.59641033,.59631455,.59447944,.59140211,.59017885,.58234775,.58025068,.58288997,.57666194,.5762853,.57291859,.56921071,.56401891,.55773383,.55844611,.55401957
.59487081,.59118193,.59040809,.58562875,.58089656,.58103448,.57653242,.56961101,.57704341,.5692541,.56009543,.57065934,.56063777,.55468577,.55145252,.54734397,.54795569,.54482168,.54427636,.54005712,.53017426,.54069942,.54425609,.5362187
.74285102,.73843467,.73442721,.73272055,.728109,.72333658,.72147077,.71778119,.7125361,.71160454,.7063182,.70498341,.69883305,.69441235,.69215256,.6904335,.68391448,.68251348,.67573464,.67492431,.67438543,.66476971,.6611979,.6569193
.96081883,.95606613,.95013577,.94768763,.94201922,.93480104,.93197006,.92909783,.92301458,.91877967,.91249645,.90967786,.90201646,.90264952,.89444149,.88839191,.88835013,.87764305,.8761254,.86991805,.86845064,.86322248,.85564452,.84834194
.74617636,.74270982,.73829597,.7343232,.72954488,.72832221,.72411603,.72132081,.71642375,.71441334,.70845717,.70704478,.70545805,.69850123,.69368005,.69098043,.6908052,.68542063,.67977738,.68030751,.66977882,.66638041,.66436452,.66457748
1.8594044,1.8506008,1.8414261,1.8312572,1.8236212,1.8131034,1.8041124,1.7927579,1.7871684,1.7764966,1.7666396,1.7556975,1.7471921,1.738857,1.7285537,1.7186179,1.7147565,1.6997154,1.6930013,1.6806109,1.6718687,1.6621283,1.6529517,1.6451197
.77813739,.77485687,.76980573,.76766819,.76204538,.76017535,.75610489,.75104839,.74866301,.74348485,.74125469,.73597795,.73360711,.72646582,.7251606,.72147727,.71700555,.71932423,.71254951,.70703,.70410591,.70227557,.69823319,.695445
.63978022,.63622862,.63353133,.63086671,.62633318,.62648934,.62070632,.6193893,.61274785,.61147195,.60800803,.60712051,.59999675,.60297167,.59366286,.59164852,.59136385,.59064204,.58191419,.58195484,.57596749,.57390261,.57475013,.57315588
.70897478,.7054792,.70122331,.69920844,.6957739,.69185394,.68569261,.68450606,.68364167,.67835408,.67312783,.6691587,.66748101,.66405672,.66540569,.65754998,.65659809,.64874768,.64898288,.64379466,.6389609,.63779414,.63177824,.63033551
.74560505,.74204022,.73776722,.73621464,.7322973,.72648436,.72187501,.72177559,.71542341,.71413231,.71100098,.70667934,.70044434,.70028305,.69581443,.69046515,.68679565,.68283963,.67612422,.67692256,.67399853,.67247355,.67002368,.66402811
.91065711,.90574449,.9022004,.89806175,.89280975,.88789541,.88356799,.88012338,.874268,.86944282,.86546814,.85964519,.85543633,.85271192,.84874499,.84488392,.84002733,.83300996,.82899708,.82696074,.82217896,.81744486,.81072044,.80601496
.74273014,.73957133,.7359336,.73202938,.72784966,.72515458,.72300363,.7175163,.71401298,.71129876,.70774704,.70390201,.69892651,.69832909,.69528079,.68979108,.68560779,.68310243,.67839229,.67465895,.67279309,.67031193,.66377652,.65831053
.60548997,.60174847,.60015553,.59501034,.59460562,.59068114,.58847022,.58545327,.57683176,.58384943,.57752228,.57199484,.56987298,.5696854,.56147581,.56093252,.55525124,.55407995,.55538243,.55069363,.54388773,.54685229,.54309165,.53799206
.95866799,.95371902,.94860321,.94397628,.93978316,.93574399,.93094504,.92475468,.9224754,.91439688,.91231519,.90501988,.9016614,.89820057,.89304584,.88724363,.881405,.87947673,.87427604,.86929739,.86398858,.85871542,.85504484,.84963876
.80310148,.79939181,.79561579,.79188859,.78640705,.78277618,.78217375,.7772969,.76979053,.76825136,.7646271,.76260418,.75644767,.75121123,.75167984,.74688733,.73666513,.73516852,.73649937,.72832471,.72730303,.71982479,.71687651,.70957893
