se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.78461331,.78014094,.79084802,.77642983,.7620514,.75874215,.77061921,.75701004,.75338435,.74421597,.75122195,.74582905,.73914742,.74274367,.73525488,.72622031,.72720987,.7238394,.72824967,.68761343,.70480579,.70316344,.72310787,.67340648
.82068521,.81611574,.81225854,.80575323,.80378222,.8031618,.80658656,.79155833,.78355819,.7877847,.78681737,.77851361,.78161794,.76558882,.76846153,.76563799,.75610626,.76985288,.74595934,.74154687,.72610486,.74130291,.71084005,.73259944
1.0046653,.99992305,.99706835,.98918557,.9860999,.98049349,.97299671,.97167456,.96378398,.96008807,.96080118,.95299679,.94568092,.9396587,.93675447,.92909151,.92624742,.91786969,.91014296,.91583228,.90842056,.90678161,.89006037,.89353126
.70092261,.70030671,.69180888,.69514674,.69225359,.67931223,.68442386,.68199521,.67038655,.66367728,.65666521,.65254557,.66244781,.64570159,.65746546,.65310359,.64581496,.64167726,.64538348,.63622123,.61294395,.63271141,.63659561,.61684954
1.053081,1.0487217,1.0398549,1.0324161,1.0303178,1.0234698,1.0253764,1.0134559,1.0077815,1.0096111,1.0072516,.9982155,.9876039,.98748338,.98180759,.96556312,.96449262,.96611995,.96714932,.95236433,.94567478,.94079822,.94292778,.92679042
.74537909,.74378341,.73713636,.73877782,.72770077,.72242147,.72427982,.72050947,.70883775,.71638966,.71552694,.69397259,.70768344,.70544702,.6939705,.68167835,.684753,.66965699,.67731738,.66080981,.67872059,.67763084,.6694715,.65513688
.60626054,.60193855,.60331792,.59104884,.59333271,.58582979,.57861143,.58684844,.57816434,.58290172,.60723847,.56647921,.57124782,.56561702,.57634264,.583413,.57527649,.57450181,.5646106,.56055957,.55586785,.53257936,.53848654,.52166694
.74344915,.73842925,.74653548,.72414839,.73029298,.73983228,.71734232,.71548849,.73026752,.71011549,.71140146,.70028794,.71247292,.69508636,.68244332,.68823391,.6759516,.67567909,.658961,.67552865,.66448659,.69019473,.67526537,.65495545
.67787665,.67590433,.67250407,.67171466,.65562952,.65792841,.65481687,.65216088,.64880538,.65375704,.64593405,.63603145,.63732338,.62565976,.61922556,.63035494,.63480431,.63132656,.60064614,.60492253,.62991923,.60799128,.60871142,.60402691
.54875118,.5466125,.53814346,.54546463,.53704226,.52935779,.53132212,.53455442,.54550517,.52469987,.52728373,.51656133,.5166083,.51879781,.52149308,.51558948,.51541567,.49787351,.51887357,.48963568,.50553918,.49321684,.49681857,.48557088
.84990162,.84478962,.84352595,.83459419,.82351619,.82675272,.81650203,.8153407,.81518853,.81225681,.80803329,.80569065,.81174296,.78289497,.79471028,.77946633,.79240292,.77416366,.77498823,.77484071,.76441389,.76622409,.75574654,.7596131
1.6478634,1.6403391,1.6319687,1.6249861,1.6187183,1.6086179,1.5927657,1.588967,1.5920984,1.5733932,1.5677389,1.5565553,1.5483271,1.547322,1.526426,1.5279845,1.5175614,1.506421,1.5050644,1.479643,1.4864668,1.4766945,1.4669851,1.4674858
.7608943,.76433158,.75002968,.74956983,.74744964,.73684865,.73252207,.73862034,.72551841,.73253936,.7139582,.70036286,.71673089,.70310515,.69918132,.71472454,.6957016,.6982559,.72294104,.67638642,.68161118,.69755465,.67193013,.68073016
.73675179,.7321406,.72666448,.72464794,.72185796,.72372293,.72053033,.71258163,.70440716,.70414388,.70485729,.70376986,.69258934,.68774092,.68255401,.67332667,.68879515,.68217736,.67617291,.67308992,.66241008,.67414689,.67700857,.6582557
.88413656,.88055211,.87584555,.87098742,.86907041,.86072105,.85701376,.84754169,.85129887,.84748739,.83991081,.83276886,.82879329,.83123571,.83436573,.80793393,.81771737,.81145155,.7990436,.80355722,.78529817,.78480291,.79019988,.78738689
.79253757,.78686309,.77865195,.77876133,.7742542,.77709687,.75725061,.76743257,.76184702,.74928677,.75614834,.7575801,.74711245,.75819486,.74647105,.73338842,.73264956,.73250455,.71558899,.725694,.71488649,.72230881,.71352255,.71062505
.79642808,.79378349,.79033047,.7831223,.7792986,.78324884,.76982683,.77561641,.76170129,.75700587,.76166898,.75132543,.75146854,.74064487,.74389821,.73610449,.73072231,.7359795,.72176033,.73061895,.72816521,.72661912,.71285176,.71388584
.68893749,.68577027,.67984277,.67899454,.67078388,.66982353,.66498876,.66491133,.68238866,.6637339,.66353464,.65254182,.6520437,.65071827,.639494,.63341171,.6493082,.63916546,.63118315,.6236124,.6257053,.60533947,.61573148,.59740323
.60497534,.60041332,.59446245,.59691811,.60011125,.59498543,.58901465,.58228624,.57647258,.58972651,.58316261,.56825644,.56693941,.57844383,.56093353,.54973304,.54911304,.5586369,.55739528,.5433377,.54918295,.53608042,.54756278,.55365711
.98001194,.97519362,.96984166,.96361685,.96100074,.95646316,.9517979,.94110852,.94492292,.93857545,.94305569,.92437512,.91714454,.91513091,.91001755,.9070875,.8933816,.89990151,.90004009,.88175684,.87278843,.87975144,.87382329,.86163998
.54767007,.54360646,.54556328,.54535395,.52671796,.53319538,.54225475,.52812958,.53640133,.54010063,.52602202,.51731682,.51520497,.51536393,.51424873,.52472305,.5019325,.51056647,.50860792,.52589935,.51072276,.49364614,.50019735,.47820449
.51961946,.51111889,.51233441,.50980657,.51070094,.49773112,.49868748,.51068753,.48271558,.47720101,.49062413,.49524271,.48867428,.49533379,.4913432,.46717951,.48030317,.48485032,.46865532,.45514005,.46990153,.4693484,.46526301,.46777365
.84444755,.83622897,.84364611,.83121181,.83529121,.81319165,.81697595,.81235862,.81131804,.80327374,.79031432,.80249602,.79322809,.786183,.78749216,.77986735,.77871901,.75379485,.76952553,.77430278,.76157242,.74420649,.75948834,.74671465
.82377034,.81913358,.81580609,.81406403,.80776948,.80578971,.79672152,.80508101,.79760975,.77938271,.78761595,.77978265,.77489024,.76943946,.77653706,.76799899,.76030523,.76380312,.7582705,.73934907,.74037123,.73795938,.73465794,.74101949
.7163142,.71201986,.7161364,.70630634,.70735967,.69545865,.7010954,.68724459,.68479961,.6827299,.67804736,.67850691,.67210156,.66891468,.67101949,.65824169,.65697628,.63497442,.65361798,.66907752,.64674342,.64338601,.6185621,.62618643
.86335301,.86132264,.85334563,.84942716,.8447156,.8411057,.83183122,.83788764,.82623988,.82967472,.81914127,.82606053,.82195514,.81421524,.79771143,.79435307,.79455376,.80465186,.78319162,.78729045,.78582674,.77017564,.77295619,.74229139
.76381052,.75841248,.76077932,.75670159,.74983269,.74356645,.74022883,.73217672,.7332679,.73220825,.7304666,.72046548,.73273063,.71705449,.71598166,.70915997,.70867312,.69855297,.69474304,.67632729,.70481962,.67875451,.69963562,.67623305
.80345464,.79718512,.79833317,.79173219,.78895146,.78236496,.77725619,.77685767,.78213704,.76886111,.76020366,.75447291,.75358826,.75232816,.76028675,.74057746,.7321983,.72956127,.72661328,.70772415,.72026116,.71633232,.71893346,.70796871
.61022687,.60237825,.61015528,.60801595,.59439737,.59579289,.59100044,.58758885,.58618718,.58900321,.57496172,.57068443,.57182562,.56935555,.5706898,.55499822,.56554228,.56597292,.56512302,.56285626,.55269879,.55022025,.54458898,.54714739
.75728583,.75381738,.74802208,.74598509,.74957478,.74195695,.73841721,.72945756,.7321673,.73059034,.71932942,.72149831,.72202951,.7165938,.7185505,.70356309,.70038837,.70117974,.68733186,.68919879,.68258357,.68216085,.68390274,.67167819
.76374143,.75822115,.7579971,.75731224,.75319052,.74186683,.73643297,.7347787,.73579049,.72634381,.72761214,.72677386,.71572375,.71978611,.71739644,.70383286,.70713216,.69962984,.69911659,.68967462,.69830662,.68302852,.68288589,.67775798
.70242631,.70278347,.69556993,.69554961,.68333465,.6812247,.67432183,.67822933,.67418659,.67044365,.66665697,.67007494,.66196758,.65991342,.65766817,.64969677,.65697819,.63951421,.64061159,.63290852,.63975465,.63784319,.62821263,.62393278
.73077983,.72545004,.72313809,.71642756,.70966202,.71396798,.71617448,.71732134,.69446731,.70419186,.68972164,.70004255,.69202054,.67674726,.68304336,.681741,.69920301,.67396462,.68741328,.66521096,.66251922,.66913259,.66067511,.66682023
.48041475,.47824404,.47668514,.4818083,.47018635,.47334236,.45223653,.46045756,.47479066,.45703921,.4569259,.45357475,.4388684,.46601602,.46131787,.44220501,.43922615,.45130315,.43876421,.45618248,.44490632,.41753262,.4627268,.43628493
.74529022,.74269527,.73998022,.73522103,.73677653,.72278315,.72534204,.71536678,.71701103,.71469373,.70313364,.69836134,.68970001,.69070035,.70102197,.69924128,.69852537,.67127919,.67107016,.67651695,.66291624,.65503258,.65973753,.67033589
.57304305,.57143313,.56838578,.5644238,.57173181,.55334568,.55696964,.55607855,.55722052,.53736758,.54681051,.53845096,.5471102,.53945059,.53894573,.53490913,.53753686,.52452117,.52206165,.50929278,.52074909,.51274186,.53954166,.52824491
.71459317,.71421391,.70672089,.70743036,.70463854,.70435351,.69914323,.67726654,.68795568,.68723905,.68262672,.68017381,.67588425,.68261623,.666951,.6646077,.66063941,.64703292,.64660239,.64370161,.64701575,.65715832,.63091302,.63733792
1.0520697,1.0466675,1.04232,1.0323122,1.0289743,1.03044,1.0256697,1.0154893,1.0036935,1.0100734,.99339467,.98739171,.9842031,.99220651,.9803496,.98504364,.95784092,.97466528,.95749968,.94904417,.94156337,.93396181,.93854105,.942357
.68766308,.68560749,.6772449,.67601943,.67256182,.66866285,.66506112,.67178887,.66219527,.65802675,.65347397,.63977182,.64672816,.64281911,.6477986,.64393395,.64112496,.64664328,.62745446,.6236465,.6101914,.61150277,.62766767,.60644472
.57361656,.5680325,.56370908,.56988126,.55728477,.56526554,.5608536,.55334425,.55811113,.56131929,.55308759,.55398655,.53382319,.53587627,.53393704,.53235888,.52285945,.52335292,.50821251,.51868016,.51699144,.50329375,.51865673,.49624741
.75593555,.75297278,.74544859,.7439431,.74158478,.73852539,.72856671,.73104441,.72520435,.72441828,.70683223,.71583319,.71459866,.71670872,.7044543,.70849103,.69410855,.69452941,.70197546,.69016373,.68955147,.67372739,.66798109,.67755675
.674496,.67406642,.66970724,.6621151,.65702099,.65671289,.65637636,.64417231,.64898807,.64195877,.64255637,.63904381,.6159721,.63320994,.61334032,.61610782,.62664068,.60876101,.61355966,.60300964,.5971812,.60945517,.61656964,.61003095
.56249511,.55895329,.55253726,.55228603,.55243123,.54557317,.54769605,.53387541,.54963106,.55136627,.51144117,.53893089,.51711768,.5179702,.5043416,.52526903,.51578271,.52280331,.52810103,.52501118,.53051788,.50725192,.50192988,.50533569
.59317344,.58983707,.58401632,.58300751,.57726741,.57646757,.57563138,.57188201,.5732137,.56983566,.56187254,.55631179,.55857146,.56244463,.55949211,.55634153,.54655516,.55193639,.54079348,.53113806,.53935033,.55057091,.52579868,.52399158
.84542555,.84298462,.83626568,.82810956,.82234246,.82323223,.82730418,.81897449,.80644143,.81636971,.80138493,.79362953,.78867114,.80238384,.78791279,.78353441,.77314931,.77860487,.77283609,.76479346,.75347054,.75470436,.75675559,.75045431
