se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,se_storage21,se_storage22,se_storage23,se_storage24
.77295864,.76839525,.77844495,.76500088,.7508837,.74760705,.75944358,.74614853,.74283636,.7338922,.7401967,.73483115,.72804117,.73161191,.72380257,.71569604,.71750271,.71357572,.71751869,.67917573,.69448149,.69322276,.7114529,.66497678
.81477618,.81007016,.80655426,.79977387,.79776406,.79716057,.80101621,.78574663,.77828056,.78213423,.78117985,.77256632,.77574056,.75983727,.76253283,.75985152,.75069821,.76420212,.74092728,.7359916,.72056377,.73565447,.70535266,.72742975
.99405557,.98936611,.9863764,.97893101,.9757219,.97031891,.96268421,.96117079,.95331347,.95020568,.95182538,.94324332,.93492627,.92965239,.92751896,.91857362,.91663229,.90937871,.89963752,.90466237,.89838266,.8957445,.87956071,.88461089
.70345724,.70234853,.69497567,.69748992,.69443786,.68221885,.68759197,.68441969,.67350942,.66572213,.66016644,.65521401,.66386819,.64844191,.66004568,.65293747,.64773041,.64421135,.6477555,.63905704,.61640823,.63485903,.63793647,.62056231
1.0443704,1.0400779,1.0311362,1.0238025,1.0224527,1.0149319,1.0169891,1.005422,.99977797,1.0009565,.99863291,.99089962,.97857976,.97930592,.97400028,.95822084,.95642149,.95953459,.9590432,.94499272,.93757945,.93354368,.93480676,.91933191
.73504359,.73332745,.72690058,.72830057,.71820414,.71220452,.71423125,.71038872,.69900471,.70634103,.70569193,.6845569,.69791323,.69519389,.68417275,.67250794,.67533702,.66070163,.66775924,.6522404,.66979533,.66735166,.65904862,.64588696
.58605641,.58195323,.58348638,.57163274,.57341498,.56604016,.55891353,.56718051,.5588581,.56361437,.58811975,.54678452,.55200499,.54717672,.55764967,.56499094,.55742955,.55569965,.54641289,.54262263,.53778386,.5138731,.52124637,.50350434
.73446935,.7294122,.73766685,.71489418,.72133684,.73114198,.70834124,.70647043,.72221726,.70134664,.70285124,.69190842,.70403743,.6863302,.6737088,.67943704,.66745967,.66753525,.65012258,.66817564,.65634668,.68284643,.66716117,.64755851
.68854743,.68628532,.68273157,.68223184,.6659348,.66829109,.66548371,.66233712,.65868992,.66416019,.65541279,.64684522,.64751685,.63556719,.62955904,.63983357,.64395684,.64097655,.61076301,.61420572,.63845551,.61771685,.61823165,.61245883
.55853361,.55633926,.54780567,.55463809,.54681951,.538822,.54081357,.54445904,.55435646,.53416538,.53603065,.52599323,.52545518,.52812082,.53048539,.52431244,.52407831,.50676328,.52708071,.49795884,.51474404,.50167179,.50671327,.49342325
